CMPD_CHEMBLID,exp,smiles,transformed_solubility,transformed_smiles
CHEMBL596271,3.54,Cn1c(CN2CCN(CC2)c3ccc(Cl)cc3)nc4ccccc14,16.0,Adra{ADsAAD{AAs}ataaa{Z}aat}dauaaaaaru
CHEMBL1951080,-1.18,COc1cc(OC)c(cc1NC(=O)CSCC(=O)O)S(=O)(=O)N2C(C)CCc3ccccc23,94.66666666666667,ABaraa{BA}a{aarDA{~B}AEAA{~B}B}E{~B}{~B}DsA{A}AAataaaaast
CHEMBL1771,3.69,COC(=O)[C@@H](N1CCc2sccc2C1)c3ccccc3Cl,13.5,ABA{~B}{A**H}{DrAAassaaasAr}ataaaaatZ
CHEMBL234951,3.37,OC[C@H](O)CN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3,18.833333333333332,BA{A*H}{B}ADrA{~B}A{Aasaaaaars}DA{~B}ataauaa{Z}sau{dH}t
CHEMBL565079,3.1,Cc1cccc(C[C@H](NC(=O)c2cc(nn2C)C(C)(C)C)C(=O)NCC#N)c1,23.333333333333332,Aaraaaa{A{A*H}{DA{~B}asaa{ddsA}A{A}{A}A}A{~B}DAA^D}ar
CHEMBL317462,3.14,OC1(CN2CCC1CC2)C#Cc3ccc(cc3)c4ccccc4,22.666666666666668,BAr{ADsAAArAAs}A^Aataaa{aat}auaaaaau
CHEMBL1951182,-0.72,COc1cc(OC)c(cc1NC(=O)CCC(=O)O)S(=O)(=O)NCc2ccccc2N3CCCCC3,87.0,ABaraa{BA}a{aarDA{~B}AAA{~B}B}E{~B}{~B}DAasaaaaasDtAAAAAt
CHEMBL2030960,0.34,CNc1cccc(CCOc2ccc(C[C@H](NC(=O)c3c(Cl)cccc3Cl)C(=O)O)cc2C)n1,69.33333333333333,ADaraaaa{AABasaaa{A{A*H}{DA{~B}ata{Z}aaaatZ}A{~B}B}aasA}dr
CHEMBL13097,3.05,COc1ccc(cc1)C2=COc3cc(OC)cc(OC)c3C2=O,24.16666666666667,ABaraaa{aar}As~ABataa{BA}aa{BA}atAs~B
CHEMBL1527751,2.25,Oc1ncnc2scc(c3ccsc3)c12,37.5,Bardadassaa{ataasat}ars
