smiles,pic50,transformed_solubility,transformed_smiles
C#CC(=O)N1CCN(Cc2cccc(Cl)c2)[C@H]2CS(=O)(=O)C[C@H]21,5.32,72.09302325581395,A^AA{~B}DrAAD{Aafaaaa{Z}af}{A*H}fAE{~B}{~B}A{A*H}fr
C#CC1(C)CCN(C(=O)Cc2cncc3ccccc23)CC1,5.33,71.8816067653277,A^AAr{A}AAD{A{~B}Aafadaataaaaaft}AAr
C#Cc1ccc([C@H]2CCCCN2C(=O)Cc2cncc3ccccc23)cc1,4.85,82.02959830866808,A^Aaraaa{{A*H}fAAAADfA{~B}Aafadaataaaaaft}aar
C#Cc1ccc2c(c1)[C@@H](C(=O)Nc1cncc3ccccc13)CN(C)C2=O,4.66,86.04651162790697,A^Aaraaafa{ar}{A**H}{A{~B}Daradaataaaaart}AD{A}Af~B
C=C(C(=O)Nc1ccccc1)[C@H]1C[C@]2(CN(CC(=O)NC)C(=O)c3ccc(Cl)cc32)C(=O)N1c1cncc2ccccc12,5.59,66.38477801268499,A~A{A{~B}Daraaaaar}{A*H}rA{A*}f{AD{AA{~B}DA}A{~B}ataaa{Z}aatf}A{~B}Draradaafaaaaarf
C=C(C(=O)O)[C@H]1C[C@]2(CN(CC(=O)OC(C)(C)C)C(=O)c3ccc(Cl)cc32)C(=O)N1c1cncc2ccccc12,5.53,67.65327695560254,A~A{A{~B}B}{A*H}rA{A*}f{AD{AA{~B}BA{A}{A}A}A{~B}ataaa{Z}aatf}A{~B}Draradaafaaaaarf
C=C(C(=O)OC)[C@H]1C[C@]2(CN(CC(=O)OC(C)(C)C)C(=O)c3ccc(Cl)cc32)C(=O)N1c1cncc2ccccc12,6.17,54.12262156448204,A~A{A{~B}BA}{A*H}rA{A*}f{AD{AA{~B}BA{A}{A}A}A{~B}ataaa{Z}aatf}A{~B}Draradaafaaaaarf
C=C(CN(C(=O)C1CCOc2ccc(Cl)cc21)c1cncc2ccccc12)C(=O)Nc1ccccc1,6.45,48.20295983086681,A~A{AD{A{~B}ArAABafaaa{Z}aafr}aradaafaaaaarf}A{~B}Daraaaaar
C=C(CN(C(=O)C1CCOc2ccc(Cl)cc21)c1cncc2ccccc12)C(N)=O,5.56,67.01902748414376,A~A{AD{A{~B}ArAABafaaa{Z}aafr}aradaafaaaaarf}A{D}~B
C=C(CN(C(=O)Nc1cncc2ccccc12)c1cccc(Cl)c1)C(=O)NCC,5.77,62.579281183932366,A~A{AD{A{~B}Daradaafaaaaarf}araaaa{Z}ar}A{~B}DAA
C=C(CN(C(=O)Nc1cncc2ccccc12)c1cccc(Cl)c1)C(=O)O,5.49,68.49894291754757,A~A{AD{A{~B}Daradaafaaaaarf}araaaa{Z}ar}A{~B}B
C=C(CN(C(=O)Nc1cncc2ccccc12)c1cccc(Cl)c1)C(N)=O,5.19,74.8414376321353,A~A{AD{A{~B}Daradaafaaaaarf}araaaa{Z}ar}A{D}~B
C=C(CN(C(=O)[C@H]1CCOc2ccc(Cl)cc21)c1cncc2ccccc12)C(=O)N(C)c1ccccc1,5.55,67.23044397463002,A~A{AD{A{~B}{A*H}rAABafaaa{Z}aafr}aradaafaaaaarf}A{~B}D{A}araaaaar
C=C(CN(C(=O)[C@H]1CCOc2ccc(Cl)cc21)c1cncc2ccccc12)C(=O)NCc1ccccc1,5.24,73.78435517970401,A~A{AD{A{~B}{A*H}rAABafaaa{Z}aafr}aradaafaaaaarf}A{~B}DAaraaaaar
C=C(CN(C(=O)[C@H]1CCOc2ccc(Cl)cc21)c1cncc2ccccc12)C(=O)Nc1ccc(Cl)cc1,5.18,75.05285412262157,A~A{AD{A{~B}{A*H}rAABafaaa{Z}aafr}aradaafaaaaarf}A{~B}Daraaa{Z}aar
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)C(=O)c2ccc(Cl)cc21)c1cncc2ccccc12)C(=O)NCc1ccc(OC)cc1Cl,7.64,23.044397463002127,A~A{AD{A{~B}{A*H}rAD{AA{~B}DA}A{~B}afaaa{Z}aafr}aradaafaaaaarf}A{~B}DAaraaa{BA}aarZ
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)C(=O)c2ccc(Cl)cc21)c1cncc2ccccc12)C(=O)Nc1ccc(-n2cccn2)cc1,5.93,59.19661733615223,A~A{AD{A{~B}{A*H}rAD{AA{~B}DA}A{~B}afaaa{Z}aafr}aradaafaaaaarf}A{~B}Daraaa{Mdfaaadf}aar
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)C(=O)c2ccc(Cl)cc21)c1cncc2ccccc12)C(=O)O,5.46,69.13319238900635,A~A{AD{A{~B}{A*H}rAD{AA{~B}DA}A{~B}afaaa{Z}aafr}aradaafaaaaarf}A{~B}B
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)Cc2ccc(Cl)cc21)c1cncc2ccccc12)C(=O)N1CCCCC1,4.99,79.06976744186046,A~A{AD{A{~B}{A*H}rAD{AA{~B}DA}Aafaaa{Z}aafr}aradaafaaaaarf}A{~B}DrAAAAAr
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)Cc2ccc(Cl)cc21)c1cncc2ccccc12)C(=O)N1CCOCC1,5.25,73.57293868921776,A~A{AD{A{~B}{A*H}rAD{AA{~B}DA}Aafaaa{Z}aafr}aradaafaaaaarf}A{~B}DrAABAAr
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)Cc2ccc(Cl)cc21)c1cncc2ccccc12)C(=O)NC,6.72,42.49471458773785,A~A{AD{A{~B}{A*H}rAD{AA{~B}DA}Aafaaa{Z}aafr}aradaafaaaaarf}A{~B}DA
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)Cc2ccc(Cl)cc21)c1cncc2ccccc12)C(=O)NCc1ccc(Br)cc1C,6.84,39.957716701902754,A~A{AD{A{~B}{A*H}rAD{AA{~B}DA}Aafaaa{Z}aafr}aradaafaaaaarf}A{~B}DAaraaa{X}aarA
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)Cc2ccc(Cl)cc21)c1cncc2ccccc12)C(=O)NCc1ccc(OC)cc1Cl,7.695,21.881606765327696,A~A{AD{A{~B}{A*H}rAD{AA{~B}DA}Aafaaa{Z}aafr}aradaafaaaaarf}A{~B}DAaraaa{BA}aarZ
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)Cc2ccc(Cl)cc21)c1cncc2ccccc12)C(=O)Nc1ccc(-n2cccn2)cc1,5.55,67.23044397463002,A~A{AD{A{~B}{A*H}rAD{AA{~B}DA}Aafaaa{Z}aafr}aradaafaaaaarf}A{~B}Daraaa{Mdfaaadf}aar
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)Cc2ccc(Cl)cc21)c1cncc2ccccc12)C(=O)Nc1ccc(C(F)(F)F)cn1,6.53,46.51162790697675,A~A{AD{A{~B}{A*H}rAD{AA{~B}DA}Aafaaa{Z}aafr}aradaafaaaaarf}A{~B}Daraaa{A{G}{G}G}adr
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)Cc2ccc(Cl)cc21)c1cncc2ccccc12)C(=O)Nc1ccccc1,7.1,34.460887949260055,A~A{AD{A{~B}{A*H}rAD{AA{~B}DA}Aafaaa{Z}aafr}aradaafaaaaarf}A{~B}Daraaaaar
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)Cc2ccc(Cl)cc21)c1cncc2ccccc12)C(=O)O,4.88,81.39534883720931,A~A{AD{A{~B}{A*H}rAD{AA{~B}DA}Aafaaa{Z}aafr}aradaafaaaaarf}A{~B}B
C=C(CN(C)c1cccc(N(Cc2cccc(Cl)c2)C(=O)Cc2cncc3ccccc23)c1)C(=O)Nc1ccccc1,4.46,90.27484143763213,A~A{AD{A}araaaa{D{Aafaaaa{Z}af}A{~B}Aafadaataaaaaft}ar}A{~B}Daraaaaar
C=C(CN1CCc2ccc(Cl)cc2C1C(=O)Nc1cncc2ccccc12)C(=O)O,5.62,65.75052854122622,A~A{ADrAAafaaa{Z}aafArA{~B}Daradaafaaaaarf}A{~B}B
C=C(CN1CCc2ccc(Cl)cc2C1C(=O)Nc1cncc2ccccc12)C(=O)OC,6.11,55.39112050739957,A~A{ADrAAafaaa{Z}aafArA{~B}Daradaafaaaaarf}A{~B}BA
C=C(CN1CCc2ccc(Cl)cc2C1C(=O)Nc1cncc2ccccc12)C(N)=O,5.29,72.72727272727273,A~A{ADrAAafaaa{Z}aafArA{~B}Daradaafaaaaarf}A{D}~B
C=C(CNc1cccc(N(Cc2cccc(Cl)c2)C(=O)Cc2cncc3ccccc23)c1)C(=O)Nc1ccccc1,4.99,79.06976744186046,A~A{ADaraaaa{D{Aafaaaa{Z}af}A{~B}Aafadaataaaaaft}ar}A{~B}Daraaaaar
C=C1CN(c2cncc3ccccc23)C(=O)[C@]12CN(Cc1ccc(OC)cc1OC)C(=O)c1ccc(F)cc12,7.0,36.57505285412263,A~ArAD{afadaataaaaaft}A{~B}{A*}rfAD{Aaraaa{BA}aarBA}A{~B}araaa{G}aarf
C=CC(=O)N(C)c1cccc(N(Cc2cccc(Cl)c2)C(=O)Cc2cncc3ccccc23)c1,5.76,62.79069767441861,A~AA{~B}D{A}araaaa{D{Aafaaaa{Z}af}A{~B}Aafadaataaaaaft}ar
C=CC(=O)N1CCCCc2ccc(N(Cc3ccc(Cl)cc3)C(=O)Cc3cncc4ccccc34)cc21,4.56,88.16067653276956,A~AA{~B}DrAAAAafaaa{D{Aataaa{Z}aat}A{~B}Aatadaauaaaaatu}aafr
C=CC(=O)N1CCCc2c1cccc2N(C(=O)Cc1cncc2ccccc12)C1(c2cccc(Cl)c2)COC1,4.99,79.06976744186046,A~AA{~B}DrAAAafaraaaafD{A{~B}Aaradaafaaaaarf}Ar{afaaaa{Z}af}ABAr
C=CC(=O)N1CCCc2c1cccc2N(Cc1cccc(-c2ccc[nH]2)c1)C(=O)Cc1cncc2ccccc12,4.79,83.29809725158563,A~AA{~B}DrAAAafaraaaafD{Aaraaaa{Mafaaa{dH}f}ar}A{~B}Aaradaafaaaaarf
C=CC(=O)N1CCCc2c1cccc2N(Cc1cccc(C(=O)NC)c1)C(=O)Cc1cncc2ccccc12,4.2,95.77167019027483,A~AA{~B}DrAAAafaraaaafD{Aaraaaa{A{~B}DA}ar}A{~B}Aaradaafaaaaarf
C=CC(=O)N1CCCc2c1cccc2N(Cc1cccc(Cl)c1)C(=O)Cc1cncc2ccccc12,6.32,50.95137420718816,A~AA{~B}DrAAAafaraaaafD{Aaraaaa{Z}ar}A{~B}Aaradaafaaaaarf
C=CC(=O)N1CCCc2c1cccc2N(Cc1cccc([C@H]2CCCN2)c1)C(=O)Cc1cncc2ccccc12,4.26,94.5031712473573,A~AA{~B}DrAAAafaraaaafD{Aaraaaa{{A*H}fAAADf}ar}A{~B}Aaradaafaaaaarf
C=CC(=O)N1CCCc2ccc(N(C(=O)Cc3cncc4ccccc34)N(C)c3cccc(Cl)c3)cc21,8.19,11.416490486257947,A~AA{~B}DrAAAafaaa{D{A{~B}Aatadaauaaaaatu}D{A}ataaaa{Z}at}aafr
C=CC(=O)N1CCCc2ccc(N(Cc3cccc(-c4ccccc4)c3)C(=O)Cc3cncc4ccccc34)cc21,5.88,60.25369978858352,A~AA{~B}DrAAAafaaa{D{Aataaaa{Mauaaaaau}at}A{~B}Aatadaauaaaaatu}aafr
C=CC(=O)N1CCCc2ccc(N(Cc3cccc(Br)c3)C(=O)Cc3cncc4ccccc34)cc21,7.62,23.467230443974636,A~AA{~B}DrAAAafaaa{D{Aataaaa{X}at}A{~B}Aatadaauaaaaatu}aafr
C=CC(=O)N1CCCc2ccc(N(Cc3cccc(C(F)(F)F)c3)C(=O)Cc3cncc4ccccc34)cc21,7.4,28.1183932346723,A~AA{~B}DrAAAafaaa{D{Aataaaa{A{G}{G}G}at}A{~B}Aatadaauaaaaatu}aafr
C=CC(=O)N1CCCc2ccc(N(Cc3cccc(Cl)c3)C(=O)Cc3cncc4c(F)cccc34)cc21,7.41,27.90697674418605,A~AA{~B}DrAAAafaaa{D{Aataaaa{Z}at}A{~B}Aatadaaua{G}aaaatu}aafr
C=CC(=O)N1CCCc2ccc(N(Cc3cccc(Cl)c3)C(=O)Cc3cncc4ccccc34)cc21,7.74,20.93023255813954,A~AA{~B}DrAAAafaaa{D{Aataaaa{Z}at}A{~B}Aatadaauaaaaatu}aafr
