Compound ID,ESOL predicted log solubility in mols per litre,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area,measured log solubility in mols per litre,smiles,transformed_solubility,transformed_smiles
Amigdalin,-0.9740000000000001,1,457.4320000000001,7,3,7,202.31999999999996,-0.77,OCC3OC(OCC2OC(OC(C#N)c1ccccc1)C(O)C(O)C2O)C(O)C(O)C3O ,17.830045523520486,BAAtBA{BAAsBA{BA{A^D}araaaaar}A{B}A{B}AsB}A{B}A{B}AtB 
Fenfuram,-2.885,1,201.22500000000002,1,2,2,42.24,-3.3,Cc1occc1C(=O)Nc2ccccc2,37.025796661608496,AarbaaarA{~B}Dasaaaaas
citral,-2.5789999999999997,1,152.237,0,0,4,17.07,-2.06,CC(C)=CCCC(C)=CC(=O),27.617602427921092,AA{A}~AAAA{A}~AA{~B}
Picene,-6.617999999999999,2,278.354,0,5,0,0.0,-7.87,c1ccc2c(c1)ccc3c2ccc4c5ccccc5ccc43,71.69954476479514,araaasa{ar}aaatasaaauavaaaaavaaaut
Thiophene,-2.2319999999999998,2,84.14299999999999,0,1,0,0.0,-1.33,c1ccsc1,22.078907435508345,araasar
benzothiazole,-2.733,2,135.191,0,2,0,12.89,-1.5,c2ccc1scnc1c2 ,23.368740515933233,asaaarsadaras 
"2,2,4,6,6'-PCB",-6.545,1,326.437,0,2,1,0.0,-7.32,Clc1cc(Cl)c(c(Cl)c1)c2c(Cl)cccc2Cl,67.52655538694992,Zaraa{Z}a{a{Z}ar}asa{Z}aaaasZ
Estradiol,-4.138,1,272.388,2,4,0,40.46,-5.03,CC12CCC3C(CCc4cc(O)ccc34)C2CCC1O,50.15174506828528,AArsAAAtA{AAauaa{B}aaatu}AsAAArB
Dieldrin,-4.533,1,380.913,0,5,0,12.53,-6.29,ClC4=C(Cl)C5(Cl)C3C1CC(C2OC12)C3C4(Cl)C5(Cl)Cl,59.71168437025797,ZAu~A{Z}Av{Z}AtArAA{AsBArs}AtAu{Z}Av{Z}Z
Rotenone,-5.246,1,394.42300000000023,0,5,3,63.22,-4.42,COc5cc4OCC3Oc2c1CC(Oc1ccc2C(=O)C3c4cc5OC)C(C)=C ,45.52352048558422,ABavaauBAAtBasarAA{BaraaasA{~B}AtauaavBA}A{A}~A 
2-pyrrolidone,0.243,1,85.10600000000001,1,1,0,29.1,1.07,O=C1CCCN1,3.8694992412746587,B~ArAAADr
2-Chloronapthalene,-4.063,1,162.61899999999997,0,2,0,0.0,-4.14,Clc1ccc2ccccc2c1,43.39908952959029,Zaraaasaaaaasar
1-Pentene ,-2.01,1,70.135,0,0,2,0.0,-2.68,CCCC=C,32.3216995447648,AAAA~A
Primidone,-1.8969999999999998,1,218.256,2,2,2,58.2,-2.64,CCC1(C(=O)NCNC1=O)c2ccccc2,32.01820940819424,AAAr{A{~B}DADAr~B}asaaaaas
Tetradecane,-5.45,1,198.39399999999995,0,0,11,0.0,-7.96,CCCCCCCCCCCCCC,72.3823975720789,AAAAAAAAAAAAAA
2-Chloropropane,-1.585,1,78.542,0,0,0,0.0,-1.41,CC(C)Cl,22.68588770864947,AA{A}Z
2-Methylbutanol,-1.0270000000000001,1,88.14999999999999,1,0,2,20.23,-0.47,CCC(C)CO,15.553869499241273,AAA{A}AB
Benzonitrile,-2.03,1,103.12399999999997,0,1,0,23.79,-1.0,N#Cc1ccccc1,19.575113808801213,D^Aaraaaaar
Diazinon,-3.989,1,304.35200000000003,0,1,7,53.47,-3.64,CCOP(=S)(OCC)Oc1cc(C)nc(n1)C(C)C,39.60546282245828,AABK{~E}{BAA}Baraa{A}da{dr}A{A}A
2-Undecanol,-3.096,1,172.312,1,0,8,20.23,-2.94,CCCCCCCCCC(C)O,34.29438543247344,AAAAAAAAAA{A}B
"2,2',3,4,6-PCB",-6.627000000000001,1,326.437,0,2,1,0.0,-7.43,Clc1ccc(c(Cl)c1)c2c(Cl)ccc(Cl)c2Cl ,68.36115326251897,Zaraaa{a{Z}ar}asa{Z}aaa{Z}asZ 
Lenacil,-3.355,1,234.29899999999995,1,3,1,54.86,-4.593999999999999,O=c2[nH]c1CCCc1c(=O)n2C3CCCCC3,46.84370257966616,B~as{dH}arAAAara{~B}dsAtAAAAAt
Phorate,-3.747,1,260.38599999999997,0,0,8,18.46,-4.11,CCOP(=S)(OCC)SCSCC,43.171471927162365,AABK{~E}{BAA}EAEAA
Phenacetin,-2.342,1,179.219,1,1,3,38.33,-2.35,CCOc1ccc(NC(=O)C)cc1,29.817905918057665,AABaraaa{DA{~B}A}aar
Dinitramine,-4.479,1,322.243,1,1,5,115.54000000000002,-5.47,CCN(CC)c1c(cc(c(N)c1N(=O)=O)C(F)(F)F)N(=O)=O,53.49013657056146,AAD{AA}ara{aa{a{D}arD{~B}~B}A{G}{G}G}D{~B}~B
1-Heptanol,-1.751,1,116.204,1,0,5,20.23,-1.81,CCCCCCCO,25.720789074355086,AAAAAAAB
Theophylline,-1.452,1,180.16699999999997,1,2,0,72.68,-1.39,Cn1c(=O)n(C)c2nc[nH]c2c1=O,22.534142640364188,Adra{~B}d{A}asda{dH}asar~B
Butethal,-1.974,1,212.249,2,1,4,75.27000000000001,-1.661,CCCCC1(CC)C(=O)NC(=O)NC1=O,24.590288315629746,AAAAAr{AA}A{~B}DA{~B}DAr~B
"P,P'-DDE",-6.553,1,318.0300000000001,0,2,2,0.0,-6.9,ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,64.33990895295904,ZA{Z}~A{araaa{Z}aar}asaaa{Z}aas
Methyl octanoate,-2.608,1,158.24099999999999,0,0,6,26.3,-3.17,CCCCCCCC(=O)OC,36.03945371775417,AAAAAAAA{~B}BA
"1,4-Diethylbenzene ",-3.633,1,134.22199999999998,0,1,2,0.0,-3.75,CCc1ccc(CC)cc1,40.44006069802732,AAaraaa{AA}aar
Terbufos,-4.367,1,288.44,0,0,7,18.46,-4.755,CCOP(=S)(OCC)SCSC(C)(C)C,48.06525037936267,AABK{~E}{BAA}EAEA{A}{A}A
Phenmedipham,-4.229,1,300.314,2,2,3,76.66,-4.805,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,48.44461305007587,ABA{~B}Daraaaa{BA{~B}Dasaaaa{A}as}ar
"1,1-Dichloroethylene",-1.939,1,96.94399999999999,0,0,0,0.0,-1.64,ClC(=C)Cl,24.430955993930198,ZA{~A}Z
1-Methylfluorene,-4.478,1,180.25000000000003,0,3,0,0.0,-5.22,Cc1cccc2c1Cc3ccccc32,51.59332321699545,AaraaaasarAataaaaats
Valeraldehyde,-1.103,1,86.13399999999999,0,0,3,17.07,-0.85,CCCCC=O,18.43702579666161,AAAAA~B
Diphenylamine,-3.8569999999999998,2,169.227,1,2,2,12.03,-3.5039999999999996,N(c1ccccc1)c2ccccc2,38.57359635811836,D{araaaaar}asaaaaas
Fenothiocarb,-3.2969999999999997,1,253.367,0,1,6,29.540000000000003,-3.927,CN(C)C(=O)SCCCCOc1ccccc1,41.78300455235205,AD{A}A{~B}EAAAABaraaaaar
Piperophos,-4.637,1,353.4900000000001,0,1,9,38.77,-4.15,CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,43.47496206373293,AAABK{~E}{BAAA}EAA{~B}DrAAAAArA
1-Iodoheptane,-3.904,1,226.101,0,0,5,0.0,-4.81,CCCCCCCI,48.482549317147196,AAAAAAAH
3-Chlorobiphenyl,-4.685,1,188.657,0,2,1,0.0,-4.88,c1c(Cl)cccc1c2ccccc2,49.013657056145675,ara{Z}aaaarasaaaaas
4-Pentene-1-ol,-0.7909999999999999,1,86.134,1,0,3,20.23,-0.15,OCCCC=C,13.125948406676784,BAAAA~A
Cyclobutyl-5-spirobarbituric acid,-0.527,1,168.15200000000002,2,2,0,75.27,-1.655,O=C2NC(=O)C1(CCC1)C(=O)N2,24.54476479514416,B~AsDA{~B}Ar{AAAr}A{~B}Ds
menthol,-2.782,1,156.269,1,1,1,20.23,-2.53,CC(C)C1CCC(C)CC1O ,31.183611532625186,AA{A}ArAAA{A}AArB 
Isopropyl formate,-0.684,1,88.106,0,0,2,26.3,-0.63,CC(C)OC=O,16.76783004552352,AA{A}BA~B
2-Heptanol ,-1.6780000000000002,1,116.20399999999998,1,0,4,20.23,-1.55,CCCCCC(C)O,23.748103186646436,AAAAAA{A}B
p-Bromoacetanilide,-3.012,1,214.06199999999998,1,1,1,29.1,-3.083,CC(=O)Nc1ccc(Br)cc1,35.379362670713206,AA{~B}Daraaa{X}aar
brompyrazone,-3.005,1,266.098,1,2,1,60.910000000000004,-3.127,c1ccccc1n2ncc(N)c(Br)c2(=O),35.71320182094082,araaaaardsdaa{D}a{X}as{~B}
nifedipine,-4.248,1,346.33900000000017,1,2,4,107.77,-4.76,COC(=O)C1=C(C)NC(=C(C1c2ccccc2N(=O)=O)C(=O)OC)C ,48.10318664643399,ABA{~B}Ar~A{A}DA{~A{ArasaaaaasD{~B}~B}A{~B}BA}A 
"2,7-dimethylquinoline",-3.342,1,157.216,0,2,0,12.89,-1.94,c2c(C)cc1nc(C)ccc1c2 ,26.70713201820941,asa{A}aarda{A}aaaras 
1-Octyne ,-2.509,1,110.19999999999999,0,0,4,0.0,-3.66,CCCCCCC#C,39.75720789074355,AAAAAAA^A
cyclobarbital,-2.421,1,236.27099999999993,2,2,2,75.27000000000001,-2.17,CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2 ,28.452200303490137,AAAr{A{~B}DA{~B}DAr~B}As~AAAAAs 
Chrysene,-5.568,2,228.29399999999998,0,4,0,0.0,-8.057,c1ccc2c(c1)ccc3c4ccccc4ccc23,73.11836115326253,araaasa{ar}aaatauaaaaauaaast
Bromacil,-3.4189999999999996,1,261.11899999999997,1,1,2,54.86,-2.523,CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O ,31.13050075872534,AAA{A}dra{~B}{dH}a{A}a{X}ar~B 
