name,smiles,bp_celsius
water,O,99.98
methanol,CO,64.7
ethanol,CCO,78.23
1-propanol,CCCO,97.2
2-propanol,CC(O)C,82.6
1-butanol,CCCCO,117.7
acetone,CC(=O)C,56.08
benzene,c1ccccc1,80.1
toluene,Cc1ccccc1,110.6
acetic acid,CC(=O)O,118.1
formic acid,C(=O)O,100.8
diethyl ether,CCOCC,34.6
chloroform,ClC(Cl)Cl,61.15
dichloromethane,ClCCl,39.6
carbon tetrachloride,ClC(Cl)(Cl)Cl,76.72
n-hexane,CCCCCC,68.7
n-pentane,CCCCC,36.1
cyclohexane,C1CCCCC1,80.74
ethyl acetate,CCOC(=O)C,77.1
acetonitrile,CC#N,81.6
dimethyl sulfoxide,CS(=O)C,189.0
pyridine,c1ccncc1,115.2
aniline,Nc1ccccc1,184.13
phenol,Oc1ccccc1,181.7
nitrobenzene,O=[N+]([O-])c1ccccc1,210.9
tetrahydrofuran,C1CCOC1,66.0
carbon disulfide,S=C=S,46.24
formaldehyde,C=O,-19.0
acetaldehyde,CC=O,20.2
diethylamine,CCNCC,55.5
triethylamine,CCN(CC)CC,89.0
ethylene glycol,OCCO,197.3
glycerol,OCC(O)CO,290.0
n-heptane,CCCCCCC,98.38
n-octane,CCCCCCCC,125.6
methyl tert-butyl ether,COC(C)(C)C,55.5
"1,4-dioxane",C1COCCO1,101.1
propionic acid,CCC(=O)O,141.15
butanone,CCC(=O)C,79.64
styrene,C=Cc1ccccc1,145.0
naphthalene,c1ccc2ccccc2c1,218.0
dimethylformamide,CN(C)C=O,153.0
hexanol,CCCCCCO,157.0
benzaldehyde,O=Cc1ccccc1,178.1
anisole,COc1ccccc1,154.0
