smiles,u0_atom,transformed_solubility,transformed_smiles
COCCN,-1262.44,47.98558574690004,ABAAD
C=C1CN2CC1C2,-1916.81,84.60148171359505,A~ArADsAArAs
CNCC(=O)OC,-1544.03,63.742222122744984,ADAA{~B}BA
C#CC(C)C(C)C,-1890.91,83.15222257039261,A^AA{A}A{A}A
CCC(O)CC#N,-1604.09,67.10293656833342,AAA{B}AA^D
ON=C1CCCN1,-1615.57,67.7453108912664,BD~ArAAADr
CC1NC1CCN,-1531.87,63.06179775280898,AArDArAAD
CC1CC1NC=N,-1659.62,70.21017055374008,AArAArDA~D
CC1=NN=C(C)C1,-1509.69,61.82069474909352,AAr~DD~A{A}Ar
CC1NN=CC1O,-1461.29,59.11242669770356,AArDD~AArB
CC1C=CC(=O)O1,-1419.65,56.782420878284626,AArA~AA{~B}Br
NC1CC1C1CO1,-1565.74,64.95702582926721,DArAArArABr
COC(=O)C1CC1,-1536.16,63.301848784636746,ABA{~B}ArAAr
C#CCN(C)[N][CH2],-1458.11,58.934486772013074,A^AAD{A}{D}{AHs}
CCC=CCOC,-1840.09,80.30854111643315,AAA~AABA
CNC1CCC1O,-1709.99,73.0286718295358,ADArAAArB
OCC1C=NOC1,-1568.62,65.11817896951518,BAArA~DBAr
CCC(O)[CH][N]O,-1505.83,61.60470477640001,AAA{B}{AH}{D}B
CC1CN1CCN,-1767.64,76.2545324320695,AArADrAAD
C#CC1CCNC1,-1909.79,84.20867093424057,A^AArAADAr
CCCC(C)=NN,-1784.25,77.1839607860692,AAAA{A}~DD
CNC(=O)C1CC1,-1609.38,67.39894355163615,ADA{~B}ArAAr
C#CC(CC)CO,-1692.83,72.06846770222481,A^AA{AA}AB
CCC(CO)=NN,-1583.0,65.92282555172568,AAA{AB}~DD
C=CC1CC1,-1306.46,50.4487667308295,A~AArAAr
C=C(CC)OC,-1550.87,64.12496083083396,A~A{AA}BA
C#CCC(=C)C=O,-1421.59,56.890975424146106,A^AAA{~A}A~B
C1NC2CC1C2,-1481.17,60.22483101302655,ArDAsAArAs
C1=COC2(CC2)O1,-1364.97,53.72274945163168,Ar~ABAs{AAs}Br
C=CCOC=C,-1403.46,55.876494023904385,A~AABA~A
ON=C1C=CCN1,-1524.08,62.62590089081874,BD~ArA~AADr
C#CC(O)C(=C)C,-1547.65,63.944782667084475,A^AA{B}A{~A}A
NCC1(N)CCC1,-1788.61,77.42792873450021,DAAr{D}AAAr
CN1N=CC2CC21,-1505.19,61.56889296745602,ADrD~AAsAAsr
CC1CCC2NC12,-1739.46,74.677693719504,AArAAAsDArs
C=CCCC=C,-1606.19,67.22044406643091,A~AAAA~A
C#CC#CCCC,-1588.99,66.25800170106093,A^AA^AAAA
C=CN1C=NCC1,-1531.07,63.017032991628994,A~ADrA~DAAr
Cc1occc1O,-1405.15,55.971059581897144,AarbaaarB
NC1CC2CC1N2,-1641.44,69.19289135592462,DArAAsAArDs
CC=CC1CNC1,-1614.22,67.66977035677516,AA~AArADAr
CC#CC1CCO1,-1546.75,63.894422310756966,AA^AArAABr
Cn1cccc1,-1379.4,54.53019383141592,Adraaaar
C#CC=C(C)C#C,-1455.46,58.78620350060433,A^AA~A{A}A^A
CCC(C#N)=CN,-1542.16,63.63758449348674,AAA{A^D}~AD
CCC(C)N(C)C,-2049.73,92.03914678365192,AAA{A}D{A}A
CC=CC=COC,-1708.19,72.92795111688079,AA~AA~ABA
CC#CC(C)=CC,-1759.05,75.77387080889923,AA^AA{A}~AA
C=C1CCNC1C,-1938.48,85.81404718205829,A~ArAADArA
CCC(CC)OC,-1983.72,88.34549442678724,AAA{AA}BA
CCC[CH][N]O,-1409.78,56.230135637226375,AAA{AH}{D}B
CCOC=CC=O,-1524.16,62.630377366936756,AABA~AA~B
CCN(C)C,-1459.29,59.00051479475356,AAD{A}A
C=CC1(N)CCC1,-1767.04,76.22095886118449,A~AAr{D}AAAr
CC1=CCC=CO1,-1590.23,66.32738708088992,AAr~AAA~ABr
CCNC=O,-1159.28,42.21316979273916,AADA~B
CCNCC(=O)O,-1555.53,64.38571556470747,AADAA{~B}B
NC1COCC1O,-1533.0,63.12502797797573,DArABAArB
C=CCCN,-1325.85,51.533752629929715,A~AAAD
O=C1C2CCC1C2,-1581.02,65.81203276780518,B~ArAsAAArAs
C=CC(=O)CC=O,-1390.9,55.173687273378405,A~AA{~B}AA~B
OC1CC=NNC1,-1284.54,49.222212274497515,BArAA~DDAr
C=C(C)C=C(C)C,-1909.99,84.21986212453557,A~A{A}A~A{A}A
C1=COCON=C1,-1230.57,46.20226957339183,Ar~ABABD~Ar
O=CCCN1CC1,-1438.29,57.82543981377859,B~AAADrAAr
CCC(C#N)C=O,-1466.92,59.42745870450781,AAA{A^D}A~B
C=C(C#N)C=CC,-1645.08,69.3965710192936,A~A{A^D}A~AA
CC(C)C#CC=O,-1564.2,64.87085366399572,AA{A}A^AA~B
CC(C)(C)C(N)=O,-1759.32,75.78897891579749,AA{A}{A}A{D}~B
C=C1CC=CC1=O,-1464.9,59.31442768252832,A~ArAA~AAr~B
CC=CC(N)CC,-1920.55,84.81075697211156,AA~AA{D}AA
C=C(CCC)OC,-1847.05,80.69799453869913,A~A{AAA}BA
N=C1CCCCN1,-1685.95,71.68349075607684,D~ArAAAADr
O=C1CC=COC1,-1397.03,55.51669725592014,B~ArAA~ABAr
C=CC(=O)C(N)=O,-1416.11,56.584336810063114,A~AA{~B}A{D}~B
COCC1CC1,-1540.48,63.543578495008724,ABAArAAr
C=C1CC2CC2C1,-1910.29,84.23664890997807,A~ArAAsAAsAr
CCC(=N)NC,-1509.69,61.82069474909352,AAA{~D}DA
CC#CCC(C)O,-1701.38,72.54689108733605,AA^AAA{A}B
NC1C2C=COC12,-1442.99,58.0884327857111,DArAsA~ABArs
CCC=C(C)CO,-1851.45,80.94420072518915,AAA~A{A}AB
COCC(C)(C)C,-1984.45,88.386342271364,ABAA{A}{A}A
CC1(C)NCC1O,-1718.05,73.47967679842428,AAr{A}DAArB
C=C1C=CCC1=C,-1659.96,70.2291955772416,A~ArA~AAAr~A
CCC1(O)CC1,-1552.41,64.21113299610548,AAAr{B}AAr
C=C1C=CC=C1C,-2062.1,92.73132190339763,A~ArA~AA~ArA
N#CCC=CCO,-1453.25,58.662540847844575,D^AAA~AAB
O=C1CNCCN1,-1910.33,84.23888714803705,B~ArADAADr
CC#CCC(C)=O,-1573.22,65.3755763463002,AA^AAA{A}~B
CC1=CN[C]([NH])S1,-1249.79,47.27774296074131,AAr~AD{A}{{DH}}Er
CC1CC2CN2C1,-1781.28,77.01777161018846,AArAAsADsAr
C#CC#CC1CN1,-1775.15,76.67476162764672,A^AA^AArADr
C1OCC1C1CO1,-1488.77,60.65009624423653,ArBAArArABr
CC(=O)NN(C)C,-1601.52,66.95912977304266,AA{~B}DD{A}A
CC1(N)CC(N)C1,-1679.81,71.33992121402032,AAr{D}AA{D}Ar
C#CC(=O)CC#N,-1298.51,50.00391691660325,A^AA{~B}AA^D
[NH][C]1CCCN1O,-1257.1,47.68678096602354,{DH}{A}rAAADrB
C=CCC(O)C=C,-1704.48,72.72035453690854,A~AAA{B}A~A
C#CC=CC(C)N,-1622.39,68.12693048032591,A^AA~AA{A}D
CC(C#N)CC#N,-1407.43,56.09863915126013,AA{A^D}AA^D
O=CCC1COC1,-1511.16,61.90294999776177,B~AAArABAr
CC(C)=NNC=O,-1476.44,59.9601593625498,AA{A}~DDA~B
CCNC1COC1,-1703.79,72.68174493039079,AADArABAr
CC=C(C)CO,-1555.85,64.40362146917946,AA~A{A}AB
CC(N)CC(C)O,-1870.48,82.00904248175837,AA{D}AA{A}B
NCC1OC=CO1,-1384.73,54.828439052777654,DAArBA~ABr
CC(=O)NCC=O,-1426.35,57.1573257531671,AA{~B}DAA~B
C=CC=C(C)CC,-1911.31,84.29372398048255,A~AA~A{A}AA
C#CC(O)[CH][N]N,-1935.64,85.6551322798693,A^AA{B}{AH}{D}D
O=CC1CC1CO,-1518.24,62.29911813420477,B~AArAArAB
CC1CNC1C#N,-1639.37,69.07706253637136,AArADArA^D
O=C1NC=CCN1,-1435.95,57.69450288732711,B~ArDA~AADr
NC(=O)C1CC1,-1315.91,50.97755047226824,DA{~B}ArAAr
C=CCNCC#N,-1520.29,62.4138278347285,A~AADAA^D
CC1(C)OC=NO1,-1384.49,54.81500962442366,AAr{A}BA~DBr
CC(O)C[CH][N]O,-1508.17,61.73564170285152,AA{B}A{AH}{D}B
C=CC(N)C(C)N,-1788.97,77.44807287703121,A~AA{D}A{A}D
Cn1sccc1=O,-1318.6,51.12807198173597,Adrsaaar~B
C=C1C=CC=CO1,-1452.95,58.64575406240209,A~ArA~AA~ABr
C=CC(N)C(C)C,-1917.23,84.62498321321456,A~AA{D}A{A}A
C=C1C=CC(O)C1,-1587.87,66.19533103540891,A~ArA~AA{B}Ar
CC1C(=O)CN1C,-1582.17,65.87638211200144,AArA{~B}ADrA
CC1(C)CCCC1,-2065.25,92.9075831505439,AAr{A}AAAAr
CNC(C)C=O,-1430.54,57.39178118984735,ADA{A}A~B
CC1=NOCC=C1,-1431.8,57.462285688705855,AAr~DBAA~Ar
CCC(C)C(C)N,-2062.0,92.72572630825015,AAA{A}A{A}D
C[CH][N]N1CC1,-1329.86,51.75813599534446,A{AH}{D}DrAAr
CCCC(=O)C=O,-1532.25,63.083061014369484,AAAA{~B}A~B
CC=C(C)CC#N,-1781.46,77.02784368145396,AA~A{A}AA^D
C#CC1CCOC1,-1559.03,64.58156139486996,A^AArAABAr
C=C(C)C(=C)CO,-1706.13,72.8126818568423,A~A{A}A{~A}AB
C[C]1O[N]N=C1C,-1327.39,51.61992479520123,A{A}rB{D}D~ArA
OC1C2C=CCC12,-1574.49,65.44664040467346,BArAsA~AAArs
CC=CCOC=O,-1533.23,63.13789784681498,AA~AABA~B
O=CN1CC=CC1,-1219.26,45.56940776220959,B~ADrAA~AAr
COC1CC1(C)O,-1637.22,68.95675724070013,ABArAAr{A}B
CC1CC(C)C1C,-2047.12,91.89310175030215,AArAA{A}ArA
ON=C1CCCO1,-1448.92,58.420251577957835,BD~ArAAABr
