mol_id,smiles,value,smiles_random,smiles_blind,value_blind
C#CC(=O)N1CCN(Cc2cccc(Cl)c2)[C@H]2CS(=O)(=O)C[C@H]21,C#CC(=O)N1CCN(Cc2cccc(Cl)c2)[C@H]2CS(=O)(=O)C[C@H]21,5.32,S1(=O)(=O)C[C@H]2N(C(=O)C#C)CCN(Cc3cccc(Cl)c3)[C@H]2C1,A^AA{~B}DrAAD{Aasaaaa{Z}as}{A*Q}sAE{~B}{~B}A{A*Q}sr,72.09302325581395
C#CC1(C)CCN(C(=O)Cc2cncc3ccccc23)CC1,C#CC1(C)CCN(C(=O)Cc2cncc3ccccc23)CC1,5.33,C(C1(C)CCN(C(=O)Cc2cncc3ccccc23)CC1)#C,A^AAr{A}AAD{A{~B}Aasadaataaaaast}AAr,71.8816067653277
C#Cc1ccc([C@H]2CCCCN2C(=O)Cc2cncc3ccccc23)cc1,C#Cc1ccc([C@H]2CCCCN2C(=O)Cc2cncc3ccccc23)cc1,4.85,C(C(N1[C@@H](c2ccc(C#C)cc2)CCCC1)=O)c1cncc2ccccc12,A^Aaraaa{{A*Q}sAAAADsA{~B}Aasadaataaaaast}aar,82.02959830866808
C#Cc1ccc2c(c1)[C@@H](C(=O)Nc1cncc3ccccc13)CN(C)C2=O,C#Cc1ccc2c(c1)[C@@H](C(=O)Nc1cncc3ccccc13)CN(C)C2=O,4.66,c1c2c(NC([C@@H]3c4cc(C#C)ccc4C(=O)N(C)C3)=O)cncc2ccc1,A^Aaraaasa{ar}{A**Q}{A{~B}Daradaataaaaart}AD{A}As~B,86.04651162790697
C=C(C(=O)Nc1ccccc1)[C@H]1C[C@]2(CN(CC(=O)NC)C(=O)c3ccc(Cl)cc32)C(=O)N1c1cncc2ccccc12,C=C(C(=O)Nc1ccccc1)[C@H]1C[C@]2(CN(CC(=O)NC)C(=O)c3ccc(Cl)cc32)C(=O)N1c1cncc2ccccc12,5.59,c1c2c(ccc1Cl)C(=O)N(CC(=O)NC)C[C@@]21C(=O)N(c2cncc3ccccc32)[C@@H](C(=C)C(Nc2ccccc2)=O)C1,A~A{A{~B}Daraaaaar}{A*Q}rA{A*}s{AD{AA{~B}DA}A{~B}ataaa{Z}aats}A{~B}Draradaasaaaaars,66.38477801268499
C=C(C(=O)O)[C@H]1C[C@]2(CN(CC(=O)OC(C)(C)C)C(=O)c3ccc(Cl)cc32)C(=O)N1c1cncc2ccccc12,C=C(C(=O)O)[C@H]1C[C@]2(CN(CC(=O)OC(C)(C)C)C(=O)c3ccc(Cl)cc32)C(=O)N1c1cncc2ccccc12,5.53,c1(N2C(=O)[C@@]3(C[C@@H]2C(C(=O)O)=C)c2cc(Cl)ccc2C(=O)N(CC(=O)OC(C)(C)C)C3)c2ccccc2cnc1,A~A{A{~B}B}{A*Q}rA{A*}s{AD{AA{~B}BA{A}{A}A}A{~B}ataaa{Z}aats}A{~B}Draradaasaaaaars,67.65327695560254
C=C(C(=O)OC)[C@H]1C[C@]2(CN(CC(=O)OC(C)(C)C)C(=O)c3ccc(Cl)cc32)C(=O)N1c1cncc2ccccc12,C=C(C(=O)OC)[C@H]1C[C@]2(CN(CC(=O)OC(C)(C)C)C(=O)c3ccc(Cl)cc32)C(=O)N1c1cncc2ccccc12,6.17,c1cc2c(cc1Cl)[C@]1(C(=O)N(c3c4ccccc4cnc3)[C@@H](C(C(=O)OC)=C)C1)CN(CC(OC(C)(C)C)=O)C2=O,A~A{A{~B}BA}{A*Q}rA{A*}s{AD{AA{~B}BA{A}{A}A}A{~B}ataaa{Z}aats}A{~B}Draradaasaaaaars,54.12262156448204
C=C(CN(C(=O)C1CCOc2ccc(Cl)cc21)c1cncc2ccccc12)C(=O)Nc1ccccc1,C=C(CN(C(=O)C1CCOc2ccc(Cl)cc21)c1cncc2ccccc12)C(=O)Nc1ccccc1,6.45,C=C(C(=O)Nc1ccccc1)CN(C(C1CCOc2c1cc(Cl)cc2)=O)c1cncc2ccccc12,A~A{AD{A{~B}ArAABasaaa{Z}aasr}aradaasaaaaars}A{~B}Daraaaaar,48.20295983086681
C=C(CN(C(=O)C1CCOc2ccc(Cl)cc21)c1cncc2ccccc12)C(N)=O,C=C(CN(C(=O)C1CCOc2ccc(Cl)cc21)c1cncc2ccccc12)C(N)=O,5.56,c1c(Cl)ccc2c1C(C(N(c1cncc3ccccc31)CC(C(N)=O)=C)=O)CCO2,A~A{AD{A{~B}ArAABasaaa{Z}aasr}aradaasaaaaars}A{D}~B,67.01902748414376
C=C(CN(C(=O)Nc1cncc2ccccc12)c1cccc(Cl)c1)C(=O)NCC,C=C(CN(C(=O)Nc1cncc2ccccc12)c1cccc(Cl)c1)C(=O)NCC,5.77,c1cccc2c1c(NC(N(CC(C(=O)NCC)=C)c1cc(Cl)ccc1)=O)cnc2,A~A{AD{A{~B}Daradaasaaaaars}araaaa{Z}ar}A{~B}DAA,62.579281183932366
