mol_id,smiles,value,smiles_random,smiles_blind,value_blind
BACE_1,O1CC[C@@H](NC(=O)[C@@H](Cc2cc3cc(ccc3nc2N)-c2ccccc2C)C)CC1(C)C,9.1549015,C1[C@@H](NC(=O)[C@@H](Cc2cc3c(nc2N)ccc(-c2c(C)cccc2)c3)C)CC(C)(C)OC1,BrAA{A**Q}{DA{~B}{A**Q}{Aasaataa{aaatdasD}_asaaaaasA}A}AAr{A}A,17.14615718780048
BACE_2,Fc1cc(cc(F)c1)C[C@H](NC(=O)[C@@H](N1CC[C@](NC(=O)C)(CC(C)C)C1=O)CCc1ccccc1)[C@H](O)[C@@H]1[NH2+]C[C@H](OCCC)C1,8.8538723,C(C)(C[C@@]1(NC(=O)C)CCN([C@@H](CCc2ccccc2)C(=O)N[C@H]([C@H](O)[C@@H]2[NH2+]C[C@H](OCCC)C2)Cc2cc(F)cc(F)c2)C1=O)C,Garaa{aa{G}ar}A{A*Q}{DA{~B}{A**Q}{DrAA{A*}{DA{~B}A}{AA{A}A}Ar~B}AAaraaaaar}{A*Q}{B}{A**Q}r{DQs%}A{A*Q}{BAAA}Ar,20.919241161270655
BACE_3,S1(=O)(=O)N(c2cc(cc3c2n(cc3CC)CC1)C(=O)N[C@H]([C@H](O)C[NH2+]Cc1cc(OC)ccc1)Cc1ccccc1)C,8.6989698,[NH2+](C[C@H]([C@H](Cc1ccccc1)NC(c1cc2c3n(cc2CC)CCS(=O)(=O)N(C)c3c1)=O)O)Cc1cccc(OC)c1,Er{~B}{~B}D{asaa{aatasd{aatAA}AAr}A{~B}D{A*Q}{{A*Q}{B}A{DQs%}Aaraa{BA}aaar}Aaraaaaar}A,22.860780853102774
BACE_4,S1(=O)(=O)C[C@@H](Cc2cc(O[C@H](COCC)C(F)(F)F)c(N)c(F)c2)[C@H](O)[C@@H]([NH2+]Cc2cc(ccc2)C(C)(C)C)C1,8.6989698,c1c(F)c(N)c(O[C@H](COCC)C(F)(F)F)cc1C[C@@H]1CS(=O)(=O)C[C@H]([NH2+]Cc2cc(C(C)(C)C)ccc2)[C@H]1O,Er{~B}{~B}A{A**Q}{Aasaa{B{A*Q}{ABAA}A{G}{G}G}a{D}a{G}as}{A*Q}{B}{A**Q}{{DQs%}Aasaa{aaas}A{A}{A}A}Ar,22.860780853102774
BACE_5,S1(=O)(=O)N(c2cc(cc3c2n(cc3CC)CC1)C(=O)N[C@H]([C@H](O)C[NH2+]Cc1cc(ccc1)C(F)(F)F)Cc1ccccc1)C,8.6989698,c1c(C(F)(F)F)cc(C[NH2+]C[C@@H](O)[C@@H](NC(=O)c2cc3c4n(cc3CC)CCS(=O)(=O)N(C)c4c2)Cc2ccccc2)cc1,Er{~B}{~B}D{asaa{aatasd{aatAA}AAr}A{~B}D{A*Q}{{A*Q}{B}A{DQs%}Aaraa{aaar}A{G}{G}G}Aaraaaaar}A,22.860780853102774
BACE_6,S1(=O)C[C@@H](Cc2cc(OC(C(F)(F)F)C(F)(F)F)c(N)c(F)c2)[C@H](O)[C@@H]([NH2+]Cc2cc(ccc2)C(C)(C)C)C1,8.6989698,c1(C(C)(C)C)cc(C[NH2+][C@H]2CS(=O)C[C@@H](Cc3cc(OC(C(F)(F)F)C(F)(F)F)c(N)c(F)c3)[C@@H]2O)ccc1,Er{~B}A{A**Q}{Aasaa{BA{A{G}{G}G}A{G}{G}G}a{D}a{G}as}{A*Q}{B}{A**Q}{{DQs%}Aasaa{aaas}A{A}{A}A}Ar,22.860780853102774
BACE_7,S(=O)(=O)(CCCCC)C[C@@H](NC(=O)c1cccnc1)C(=O)N[C@H]([C@H](O)C[NH2+]Cc1cc(ccc1)CC)Cc1cc(F)cc(F)c1,8.6989698,c1(CC)cc(C[NH2+]C[C@H]([C@H](Cc2cc(F)cc(F)c2)NC(=O)[C@H](NC(c2cnccc2)=O)CS(=O)(=O)CCCCC)O)ccc1,E{~B}{~B}{AAAAA}A{A**Q}{DA{~B}araaadar}A{~B}D{A*Q}{{A*Q}{B}A{DQs%}Aaraa{aaar}AA}Aaraa{G}aa{G}ar,22.860780853102774
BACE_8,Fc1c2c(ccc1)[C@@]([NH+]=C2N)(C=1C=C(C)C(=O)N(C=1)CC)c1cc(ccc1)-c1cc(cnc1)C#CC,8.6126099,Fc1cccc2c1C(N)=[NH+][C@@]2(c1cc(-c2cc(C#CC)cnc2)ccc1)c1cn(CC)c(=O)c(C)c1,Garasa{aaar}{A**}{{DQ%}~AsD}{A~rA~A{A}A{~B}D{A~r}AA}araa{aaar}_araa{adar}A^AA,23.943211244043216
BACE_9,O1c2c(cc(cc2)CC)[C@@H]([NH2+]C[C@@H](O)[C@H]2NC(=O)C=3C=CC(=O)N(CCCCc4cc(C2)ccc4)C=3)CC12CCC2,8.6020603,O=c1n2cc(cc1)C(=O)N[C@H]([C@H](O)C[NH2+][C@H]1CC3(CCC3)Oc3ccc(CC)cc31)Cc1cc(ccc1)CCCC2,Brasa{aa{aas}AA}{A**Q}{{DQs%}A{A**Q}{B}{A*Q}sDA{~B}A~tA~AA{~B}D{AAAAauaa{As}aaau}A~t}AArsAAAs,24.075439369044126
BACE_10,O=C1N(CCCC1)C(C)(C)[C@@H]1C[C@@H](CCC1)C(=O)N[C@H]([C@H](O)C[NH2+]Cc1cc(ccc1)C(C)C)Cc1ccccc1,8.6020603,c1cccc(C[C@H](NC(=O)[C@@H]2CCC[C@H](C(N3CCCCC3=O)(C)C)C2)[C@@H](C[NH2+]Cc2cc(C(C)C)ccc2)O)c1,B~ArD{AAAAr}A{A}{A}{A**Q}rA{A**Q}{AAAr}A{~B}D{A*Q}{{A*Q}{B}A{DQs%}Aaraa{aaar}A{A}A}Aaraaaaar,24.075439369044126
