mol_id,smiles,value,smiles_random,smiles_blind,value_blind
water,O,99.98,O,B,61.49514563106796
methanol,CO,64.7,OC,AB,72.9126213592233
ethanol,CCO,78.23,OCC,AAB,68.53398058252426
1-propanol,CCCO,97.2,OCCC,AAAB,62.394822006472495
2-propanol,CC(O)C,82.6,CC(C)O,AA{B}A,67.11974110032362
1-butanol,CCCCO,117.7,OCCCC,AAAAB,55.76051779935275
acetone,CC(=O)C,56.08,CC(C)=O,AA{~B}A,75.70226537216828
benzene,c1ccccc1,80.1,c1ccccc1,araaaaar,67.92880258899676
toluene,Cc1ccccc1,110.6,c1cc(C)ccc1,Aaraaaaar,58.05825242718446
acetic acid,CC(=O)O,118.1,OC(C)=O,AA{~B}B,55.63106796116505
formic acid,C(=O)O,100.8,OC=O,A{~B}B,61.22977346278317
diethyl ether,CCOCC,34.6,C(OCC)C,AABAA,82.6537216828479
chloroform,ClC(Cl)Cl,61.15,C(Cl)(Cl)Cl,ZA{Z}Z,74.06148867313915
dichloromethane,ClCCl,39.6,C(Cl)Cl,ZAZ,81.03559870550161
carbon tetrachloride,ClC(Cl)(Cl)Cl,76.72,C(Cl)(Cl)(Cl)Cl,ZA{Z}{Z}Z,69.02265372168284
n-hexane,CCCCCC,68.7,C(CCC)CC,AAAAAA,71.61812297734627
n-pentane,CCCCC,36.1,C(CC)CC,AAAAA,82.16828478964402
cyclohexane,C1CCCCC1,80.74,C1CCCCC1,ArAAAAAr,67.72168284789645
ethyl acetate,CCOC(=O)C,77.1,C(OCC)(C)=O,AABA{~B}A,68.89967637540452
acetonitrile,CC#N,81.6,N#CC,AA^D,67.44336569579288
dimethyl sulfoxide,CS(=O)C,189.0,CS(C)=O,AE{~B}A,32.68608414239482
pyridine,c1ccncc1,115.2,c1cnccc1,araadaar,56.56957928802589
aniline,Nc1ccccc1,184.13,c1(N)ccccc1,Daraaaaar,34.262135922330096
phenol,Oc1ccccc1,181.7,c1ccccc1O,Baraaaaar,35.0485436893204
nitrobenzene,O=[N+]([O-])c1ccccc1,210.9,c1cccc([N+](=O)[O-])c1,B~{D%}{{B_}}araaaaar,25.59870550161812
tetrahydrofuran,C1CCOC1,66.0,C1COCC1,ArAABAr,72.49190938511327
carbon disulfide,S=C=S,46.24,C(=S)=S,E~A~E,78.88673139158576
formaldehyde,C=O,-19.0,O=C,A~B,100.0
acetaldehyde,CC=O,20.2,C(=O)C,AA~B,87.31391585760518
diethylamine,CCNCC,55.5,C(C)NCC,AADAA,75.88996763754045
triethylamine,CCN(CC)CC,89.0,C(C)N(CC)CC,AAD{AA}AA,65.04854368932038
ethylene glycol,OCCO,197.3,C(O)CO,BAAB,29.999999999999993
glycerol,OCC(O)CO,290.0,OCC(CO)O,BAA{B}AB,0.0
n-heptane,CCCCCCC,98.38,C(CCCC)CC,AAAAAAA,62.01294498381877
n-octane,CCCCCCCC,125.6,C(CCC)CCCC,AAAAAAAA,53.20388349514563
methyl tert-butyl ether,COC(C)(C)C,55.5,CC(OC)(C)C,ABA{A}{A}A,75.88996763754045
"1,4-dioxane",C1COCCO1,101.1,O1CCOCC1,ArABAABr,61.13268608414239
propionic acid,CCC(=O)O,141.15,OC(CC)=O,AAA{~B}B,48.17152103559871
butanone,CCC(=O)C,79.64,CC(=O)CC,AAA{~B}A,68.07766990291262
styrene,C=Cc1ccccc1,145.0,c1cc(C=C)ccc1,A~Aaraaaaar,46.92556634304207
naphthalene,c1ccc2ccccc2c1,218.0,c1cc2c(cccc2)cc1,araaasaaaaasar,23.300970873786408
dimethylformamide,CN(C)C=O,153.0,N(C)(C)C=O,AD{A}A~B,44.336569579288025
hexanol,CCCCCCO,157.0,C(CCC)CCO,AAAAAAB,43.042071197411005
benzaldehyde,O=Cc1ccccc1,178.1,c1c(C=O)cccc1,B~Aaraaaaar,36.213592233009706
anisole,COc1ccccc1,154.0,c1c(OC)cccc1,ABaraaaaar,44.01294498381877
