mol_id,smiles,value,smiles_random,smiles_blind,value_blind
(-)-epicatechin,Oc1cc(O)c2c(c1)OC(c1ccc(O)c(O)c1)C(O)C2,-6.2199998,c1(C2C(O)Cc3c(cc(O)cc3O)O2)ccc(O)c(O)c1,Baraa{B}asa{ar}BA{araaa{B}a{B}ar}A{B}As,63.76469817577891
"(2E,4Z,8Z)-N-isobutyldodeca-2,4,10-triene-8 -ynamide",C/C=C\C#CCC/C=C\C=C\C(=O)NCC(C)C,-3.8599999,O=C(/C=C/C=C\CCC#C/C=C\C)NCC(C)C,A|A~A!A^AAA|A~A!A~A!A{~B}DAA{A}A,8.235291377162763
codeine,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@]314,-4.0900002,C1CN(C)[C@H]2[C@@H]3C=C[C@H](O)[C@H]4[C@@]13c1c(c(OC)ccc1C2)O4,ABaraaasatarB{A*Q}r{A**Q}{B}A~A{A*Q}u{A**Q}{As}D{A}AA{A*}tru,13.647062887197054
creatinine,CN1CC(=O)NC1=N,-5.935409099999998,C1(=N)N(C)CC(=O)N1,ADrAA{~B}DAr~D,57.0684467261907
danazol,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,-4.8400002,C1C[C@@H]2[C@@H]([C@@]3(C)Cc4cnoc4C=C13)CC[C@]1(C)[C@@](C#C)(O)CC[C@@H]21,A^A{A*}r{B}AA{A*Q}s{A**Q}tAAAu~AavbdaavA{A*}u{A}{A*Q}tAA{A**}srA,31.294120880276676
dexamethasone b D glucoside,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO[C@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@@H]1O,-6.54,[C@@H]1(CO)O[C@H](OCC(=O)[C@@]2(O)[C@H](C)C[C@@H]3[C@]2(C)C[C@H](O)[C@]2(F)[C@]4(C)C(=CC(=O)C=C4)CC[C@@H]32)[C@@H](O)[C@H](O)[C@H]1O,A{A**Q}rA{A*Q}s{A**Q}tAAAu~AA{~B}A~A{A*}u{A}{A**}t{G}{A**Q}{B}A{A*}s{A}{A**}r{B}A{~B}AB{A*Q}rB{A**Q}{AB}{A*Q}{B}{A**Q}{B}{A**Q}rB,71.29411429204167
dexamethasone b D glucuronide,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO[C@H]1O[C@@H](C(=O)O)[C@H](O)[C@@H](O)[C@@H]1O,-6.119999900000002,O[C@]1(C(CO[C@@H]2[C@@H](O)[C@H](O)[C@@H](O)[C@H](C(O)=O)O2)=O)[C@H](C)C[C@H]2[C@H]3[C@@](F)([C@@]4(C)C=CC(=O)C=C4CC3)[C@@H](O)C[C@@]21C,A{A**Q}rA{A*Q}s{A**Q}tAAAu~AA{~B}A~A{A*}u{A}{A**}t{G}{A**Q}{B}A{A*}s{A}{A**}r{B}A{~B}AB{A*Q}rB{A**Q}{A{~B}B}{A*Q}{B}{A**Q}{B}{A**Q}rB,61.411759462976065
DMXAA-G,Cc1ccc2c(=O)c3cccc(CC(=O)OC4OC(C(=O)O)[C@@H](O)[C@@H](O)[C@@H]4O)c3oc2c1C,-6.52,O=C(Cc1cccc2c(=O)c3c(c(C)c(C)cc3)oc21)OC1[C@@H](O)[C@H](O)[C@H](O)C(C(=O)O)O1,Aaraaasa{~B}ataaaa{AA{~B}BAuBA{A{~B}B}{A**Q}{B}{A**Q}{B}{A**Q}uB}atbasarA,70.82352607889288
d-praeruptorin,C/C=C(\C)C(=O)O[C@H]1[C@@H](OC(C)=O)c2c(ccc3ccc(=O)oc23)OC1(C)C,-4.579999900000002,c1cc2c(c3c1OC(C)(C)[C@@H](OC(=O)/C(C)=C/C)[C@H]3OC(C)=O)oc(=O)cc2,A|A~A{!A}A{~B}B{A*Q}r{A**Q}{BA{A}~B}asa{aaataaa{~B}bast}BAr{A}A,25.176467050519236
echinacoside,C[C@@H]1O[C@@H](O[C@@H]2[C@@H](O)[C@H](OCCc3ccc(O)c(O)c3)O[C@H](CO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H]2OC(=O)/C=C/c2ccc(O)c(O)c2)[C@H](O)[C@H](O)[C@H]1O,-6.650000099999999,O[C@@H]1[C@@H](O)[C@@H](O)[C@H](O[C@@H]2[C@@H](O)[C@H](OCCc3ccc(O)c(O)c3)O[C@H](CO[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H]2OC(=O)/C=C/c2cc(O)c(O)cc2)O[C@H]1C,A{A**Q}rB{A**Q}{B{A**Q}s{A**Q}{B}{A*Q}{BAAataaa{B}a{B}at}B{A*Q}{AB{A**Q}tB{A*Q}{AB}{A**Q}{B}{A*Q}{B}{A*Q}tB}{A*Q}sBA{~B}|A~A|asaaa{B}a{B}as}{A*Q}{B}{A*Q}{B}{A*Q}rB,73.88235181730106
EF5154,O=C(O)COc1ccc(C(=O)CN2CCN(C3CCNCC3)CC2=O)cc1,-6.119999900000002,c1cc(OCC(O)=O)ccc1C(CN1C(=O)CN(C2CCNCC2)CC1)=O,B~A{B}ABaraaa{A{~B}ADsAAD{AtAADAAt}AAs~B}aar,61.411759462976065
EF5170,CCCCOC(=O)COc1ccc(C(=O)CN2CCN(C3CCNCC3)CC2=O)cc1,-5.79,O(C(=O)COc1ccc(C(CN2C(=O)CN(C3CCNCC3)CC2)=O)cc1)CCCC,AAAABA{~B}ABaraaa{A{~B}ADsAAD{AtAADAAt}AAs~B}aar,53.647056298962056
EF5232,CCCCC(C)OC(=O)COc1ccc(C(=O)CN2CCN(C3CCNCC3)CC2=O)cc1,-5.29,c1c(C(CN2C(=O)CN(C3CCNCC3)CC2)=O)ccc(OCC(OC(CCCC)C)=O)c1,AAAAA{A}BA{~B}ABaraaa{A{~B}ADsAAD{AtAADAAt}AAs~B}aar,41.88235097024231
