mol_id,smiles,value,smiles_random,smiles_blind,value_blind
CHEMBL596271,Cn1c(CN2CCN(CC2)c3ccc(Cl)cc3)nc4ccccc14,3.54,c12c(cccc1)n(C)c(CN1CCN(c3ccc(Cl)cc3)CC1)n2,Adra{ADsAAD{AAs}ataaa{Z}aat}dauaaaaaru,16.0
CHEMBL1951080,COc1cc(OC)c(cc1NC(=O)CSCC(=O)O)S(=O)(=O)N2C(C)CCc3ccccc23,-1.18,c1c(OC)c(NC(=O)CSCC(=O)O)cc(S(=O)(=O)N2c3c(cccc3)CCC2C)c1OC,ABaraa{BA}a{aarDA{~B}AEAA{~B}B}E{~B}{~B}DsA{A}AAataaaaast,94.66666666666667
CHEMBL1771,COC(=O)[C@@H](N1CCc2sccc2C1)c3ccccc3Cl,3.69,c1(Cl)c([C@@H](C(=O)OC)N2CCc3c(ccs3)C2)cccc1,ABA{~B}{A**Q}{DrAAaseaaasAr}ataaaaatZ,13.5
CHEMBL234951,OC[C@H](O)CN1C(=O)C(Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3,3.37,s1c2[nH]c(C(=O)NC3Cc4c(cccc4)N(C[C@@H](O)CO)C3=O)cc2cc1Cl,BA{A*Q}{B}ADrA{~B}A{Aasaaaaars}DA{~B}ataauaa{Z}eau{dQ}t,18.833333333333332
CHEMBL565079,Cc1cccc(C[C@H](NC(=O)c2cc(nn2C)C(C)(C)C)C(=O)NCC#N)c1,3.1,c1(C(N[C@@H](Cc2cc(C)ccc2)C(NCC#N)=O)=O)n(C)nc(C(C)(C)C)c1,Aaraaaa{A{A*Q}{DA{~B}asaa{ddsA}A{A}{A}A}A{~B}DAA^D}ar,23.333333333333332
CHEMBL317462,OC1(CN2CCC1CC2)C#Cc3ccc(cc3)c4ccccc4,3.14,c1c(-c2ccc(C#CC3(O)C4CCN(C3)CC4)cc2)cccc1,BAr{ADsAAArAAs}A^Aataaa{aat}auaaaaau,22.666666666666668
CHEMBL1951182,COc1cc(OC)c(cc1NC(=O)CCC(=O)O)S(=O)(=O)NCc2ccccc2N3CCCCC3,-0.72,COc1cc(OC)c(NC(CCC(=O)O)=O)cc1S(NCc1c(N2CCCCC2)cccc1)(=O)=O,ABaraa{BA}a{aarDA{~B}AAA{~B}B}E{~B}{~B}DAasaaaaasDtAAAAAt,87.0
CHEMBL2030960,CNc1cccc(CCOc2ccc(C[C@H](NC(=O)c3c(Cl)cccc3Cl)C(=O)O)cc2C)n1,0.34,Cc1c(OCCc2cccc(NC)n2)ccc(C[C@@H](C(O)=O)NC(c2c(Cl)cccc2Cl)=O)c1,ADaraaaa{AABasaaa{A{A*Q}{DA{~B}ata{Z}aaaatZ}A{~B}B}aasA}dr,69.33333333333333
CHEMBL13097,COc1ccc(cc1)C2=COc3cc(OC)cc(OC)c3C2=O,3.05,c1(-c2ccc(OC)cc2)coc2cc(OC)cc(OC)c2c1=O,ABaraaa{aar}As~ABataa{BA}aa{BA}atAs~B,24.16666666666667
CHEMBL1527751,Oc1ncnc2scc(c3ccsc3)c12,2.25,c1(-c2csc3c2c(O)ncn3)ccsc1,Bardadaseaa{ataaeat}ars,37.5
CHEMBL1940306,CS(=O)(=O)c1ccc(Oc2ccc(cc2)C#C[C@]3(O)CN4CCC3CC4)cc1,1.51,C12[C@](O)(C#Cc3ccc(Oc4ccc(S(=O)(=O)C)cc4)cc3)CN(CC1)CC2,AE{~B}{~B}araaa{Basaaa{aas}A^A{A*}t{B}ADuAAAtAAu}aar,49.833333333333336
CHEMBL578201,C[C@H](Nc1nc(Nc2cc(C)[nH]n2)c(C)nc1C#N)c3ccc(F)cn3,2.61,C[C@H](Nc1nc(Nc2cc(C)[nH]n2)c(C)nc1C#N)c1ncc(F)cc1,A{A*Q}{Darda{Dasaa{A}{dQ}ds}a{A}darA^D}ataaa{G}adt,31.5
CHEMBL276218,O=C1CCCCCN1,-0.08,C1(=O)CCCCCN1,B~ArAAAAADr,76.33333333333333
CHEMBL2153181,CCCSc1ncccc1C(=O)N2CCCC2c3ccncc3,1.95,C(C)CSc1ncccc1C(N1C(c2ccncc2)CCC1)=O,AAAEardaaaarA{~B}DsAAAAsataadaat,42.49999999999999
CHEMBL1916276,CC1CCCCC1NC(=O)c2cnn(c2NS(=O)(=O)c3ccc(C)cc3)c4ccccc4,1.34,O=C(NC1CCCCC1C)c1c(NS(=O)(c2ccc(C)cc2)=O)n(-c2ccccc2)nc1,AArAAAAArDA{~B}asadd{asDE{~B}{~B}ataaa{A}aat}auaaaaau,52.666666666666664
CHEMBL93884,Nc1ccc(cc1)c2nc3ccc(O)cc3s2,3.2,Nc1ccc(-c2nc3ccc(O)cc3s2)cc1,Daraaa{aar}asdataaa{B}aates,21.66666666666666
CHEMBL2171986,COc1ccc(cc1)N2CCN(CC2)C(=O)[C@@H]3CCCC[C@H]3C(=O)NCC#N,1.6,C1CCC[C@@H](C(N2CCN(c3ccc(OC)cc3)CC2)=O)[C@@H]1C(NCC#N)=O,ABaraaa{aar}DsAAD{AAs}A{~B}{A**Q}tAAAA{A*Q}tA{~B}DAA^D,48.333333333333336
CHEMBL190044,CCC(COC(=O)c1cc(OC)c(OC)c(OC)c1)(N(C)C)c2ccccc2,3.77,c1cc(C(COC(=O)c2cc(OC)c(OC)c(OC)c2)(CC)N(C)C)ccc1,AAA{ABA{~B}araa{BA}a{BA}a{BA}ar}{D{A}A}asaaaaas,12.166666666666666
CHEMBL469790,COc1cc(ccc1N2CC[C@@H](O)C2)N3N=Nc4cc(sc4C3=O)c5ccc(Cl)cc5,3.15,N1(c2c(OC)cc(-n3c(=O)c4sc(-c5ccc(Cl)cc5)cc4nn3)cc2)C[C@H](O)CC1,ABaraa{aaarDsAA{A**Q}{B}As}DtD~Dauaa{eauAt~B}avaaa{Z}aav,22.5
CHEMBL2165055,CO[C@H]1CN(CCN2C(=O)C=Cc3ccc(cc23)C#N)CC[C@H]1NCc4ccc5OCC(=O)Nc5n4,0.32,c12c(ccc(C#N)c1)ccc(=O)n2CCN1CC[C@@H](NCc2ccc3c(n2)NC(=O)CO3)[C@@H](OC)C1,AB{A*Q}rAD{AADsA{~B}A~Aataaa{aast}A^D}AA{A*Q}rDAauaaavBAA{~B}Davdu,69.66666666666667
CHEMBL322479,CC(C)(CCCCCOCCc1ccccc1)NCCc2ccc(O)c3nc(O)sc23,2.92,c1cccc(CCOCCCCCC(C)(C)NCCc2c3c(c(O)cc2)nc(O)s3)c1,AA{A}{AAAAABAAaraaaaar}DAAasaaa{B}atda{B}east,26.333333333333332
