mol_id,smiles,value,smiles_random,smiles_blind,value_blind
CHEMBL2206790,COCC[C@H](Oc1ncnc2c1cnn2-c1ccccc1Cl)C(=O)Nc1ccc(C)cn1,95.43,C(C[C@H](Oc1c2c(n(-c3ccccc3Cl)nc2)ncn1)C(=O)Nc1ccc(C)cn1)OC,ABAA{A*Q}{Bardadasaradds_araaaaarZ}A{~B}Daraaa{A}adr,5.091810296271258
CHEMBL1459588,CCCCCOc1ccc(C(=O)NC(C(=O)O)C(C)C)cc1,98.29,C(CCCOc1ccc(C(=O)NC(C(C)C)C(=O)O)cc1)C,AAAAABaraaa{A{~B}DA{A{~B}B}A{A}A}aar,1.8700011265066987
CHEMBL1916543,COc1ncc2ccc(=O)n(CCN3CCC(NCc4cc5c(cn4)OCCO5)CC3)c2n1,72.45,C1COc2cc(CNC3CCN(CCn4c5nc(OC)ncc5ccc4=O)CC3)ncc2O1,ABardaasaaa{~B}d{AADtAAA{DAauaava{adu}BAABv}AAt}asdr,30.978934324659228
CHEMBL521407,CN1CCN(c2ccc3ncc(C(N)=O)c(Nc4ccc(Cl)cc4Cl)c3c2)CC1,98.21,c12cc(N3CCN(C)CC3)ccc1ncc(C(N)=O)c2Nc1ccc(Cl)cc1Cl,ADrAAD{asaaatdaa{A{D}~B}a{Dauaaa{Z}aauZ}atas}AAr,1.9601216627239033
CHEMBL1807851,C[C@H]1O[C@@H](n2cnc3c(N)nc(OCC4CC45CC5)nc32)[C@H](O)[C@@H]1O,75.12,Nc1c2c(nc(OCC3CC34CC4)n1)n([C@@H]1O[C@H](C)[C@@H](O)[C@H]1O)cn2,A{A*Q}rB{A**Q}{dsadata{D}da{BAAuAAuvAAv}dats}{A*Q}{B}{A**Q}rB,27.971161428410497
CHEMBL2335893,COCCC(=O)N[C@H](C)c1ccc(Nc2ncc3cc(-c4ccncc4)ccc3n2)cc1,98.17,n1c2c(cnc1Nc1ccc([C@H](NC(CCOC)=O)C)cc1)cc(-c1ccncc1)cc2,ABAAA{~B}D{A*Q}{A}araaa{Dasdaataa{_auaadaau}aaatds}aar,2.0051819308324896
CHEMBL1824037,O=C1COc2ccc(CNC3CCN(CCN4C(=O)COc5ccc([N+](=O)[O-])cc54)CC3)nc2N1,75.12,c1cc2c(nc1CNC1CCN(CCN3c4c(ccc([N+](=O)[O-])c4)OCC3=O)CC1)NC(=O)CO2,B~ArABasaaa{ADAtAAD{AADuA{~B}ABavaaa{{D%}{~B}{B_}}aavu}AAt}dasDr,27.971161428410497
CHEMBL2158822,O=C(O)c1ccccc1N1CCC(CN2CCC(Oc3ccc(Cl)c(Cl)c3)CC2)CC1,82.05,N1(CC2CCN(c3c(C(=O)O)cccc3)CC2)CCC(Oc2cc(Cl)c(Cl)cc2)CC1,B~A{B}araaaaarDrAAA{ADsAAA{Bataaa{Z}a{Z}at}AAs}AAr,20.164469978596376
CHEMBL2331843,CCc1[nH]c2nc(Sc3cnc4ccc[n+]([O-])c4c3)nc(N3CC[C@@H](N)C3)c2c1Cl,79.55,[n+]1([O-])cccc2ncc(Sc3nc(N4CC[C@@H](N)C4)c4c(Cl)c(CC)[nH]c4n3)cc12,AAar{dQ}asda{Eatadauaaa{d%}{{B_}}auat}da{DtAA{A**Q}{D}At}asarZ,22.980736735383577
CHEMBL216981,CC[C@@H](Nc1c(Nc2cccc(C(=O)N(C)C)c2O)c(=O)c1=O)c1ccc(C)o1,98.21,CN(C)C(=O)c1c(O)c(Nc2c(=O)c(=O)c2N[C@@H](c2oc(C)cc2)CC)ccc1,AA{A**Q}{Dara{Dasaaaa{A{~B}D{A}A}asB}a{~B}ar~B}araaa{A}br,1.9601216627239033
