mol_id,smiles,value,smiles_random,smiles_blind,value_blind
COCCN,COCCN,-1262.44,C(CN)OC,ABAAD,47.98558574690004
C=C1CN2CC1C2,C=C1CN2CC1C2,-1916.81,C12C(=C)CN(C1)C2,A~ArADsAArAs,84.60148171359505
CNCC(=O)OC,CNCC(=O)OC,-1544.03,O(C)C(CNC)=O,ADAA{~B}BA,63.742222122744984
C#CC(C)C(C)C,C#CC(C)C(C)C,-1890.91,CC(C)C(C#C)C,A^AA{A}A{A}A,83.15222257039261
CCC(O)CC#N,CCC(O)CC#N,-1604.09,C(C(CC#N)O)C,AAA{B}AA^D,67.10293656833342
ON=C1CCCN1,ON=C1CCCN1,-1615.57,N(=C1CCCN1)O,BD~ArAAADr,67.7453108912664
CC1NC1CCN,CC1NC1CCN,-1531.87,N1C(CCN)C1C,AArDArAAD,63.06179775280898
CC1CC1NC=N,CC1CC1NC=N,-1659.62,N=CNC1CC1C,AArAArDA~D,70.21017055374008
CC1=NN=C(C)C1,CC1=NN=C(C)C1,-1509.69,N1=C(C)CC(C)=N1,AAr~DD~A{A}Ar,61.82069474909352
CC1NN=CC1O,CC1NN=CC1O,-1461.29,N1=CC(O)C(C)N1,AArDD~AArB,59.11242669770356
CC1C=CC(=O)O1,CC1C=CC(=O)O1,-1419.65,C1=CC(C)OC1=O,AArA~AA{~B}Br,56.782420878284626
NC1CC1C1CO1,NC1CC1C1CO1,-1565.74,C1(C2CO2)C(N)C1,DArAArArABr,64.95702582926721
COC(=O)C1CC1,COC(=O)C1CC1,-1536.16,O(C(=O)C1CC1)C,ABA{~B}ArAAr,63.301848784636746
C#CCN(C)[N][CH2],C#CCN(C)[N][CH2],-1458.11,N(CC#C)([N][CH2])C,A^AAD{A}{D}{AQs},58.934486772013074
CCC=CCOC,CCC=CCOC,-1840.09,COCC=CCC,AAA~AABA,80.30854111643315
CNC1CCC1O,CNC1CCC1O,-1709.99,C1C(NC)C(O)C1,ADArAAArB,73.0286718295358
OCC1C=NOC1,OCC1C=NOC1,-1568.62,O1N=CC(CO)C1,BAArA~DBAr,65.11817896951518
CCC(O)[CH][N]O,CCC(O)[CH][N]O,-1505.83,C(C)C([CH][N]O)O,AAA{B}{AQ}{D}B,61.60470477640001
CC1CN1CCN,CC1CN1CCN,-1767.64,C1C(C)N1CCN,AArADrAAD,76.2545324320695
C#CC1CCNC1,C#CC1CCNC1,-1909.79,C1NCC(C#C)C1,A^AArAADAr,84.20867093424057
CCCC(C)=NN,CCCC(C)=NN,-1784.25,N(N)=C(C)CCC,AAAA{A}~DD,77.1839607860692
CNC(=O)C1CC1,CNC(=O)C1CC1,-1609.38,CNC(C1CC1)=O,ADA{~B}ArAAr,67.39894355163615
C#CC(CC)CO,C#CC(CC)CO,-1692.83,C(C(CO)CC)#C,A^AA{AA}AB,72.06846770222481
CCC(CO)=NN,CCC(CO)=NN,-1583.0,C(=NN)(CO)CC,AAA{AB}~DD,65.92282555172568
C=CC1CC1,C=CC1CC1,-1306.46,C1C(C=C)C1,A~AArAAr,50.4487667308295
C=C(CC)OC,C=C(CC)OC,-1550.87,C(C(=C)OC)C,A~A{AA}BA,64.12496083083396
