dataset,tag,model,medae_L1,medae_L5,r_L1,r_L5,rank_mae_L1,rank_mae_L5,rank_r_L1,rank_r_L5,ds_ord
freesolv,opus5,Claude Opus 5,0.03500000000000057,1.22,0.9828591284692803,0.6553271003963114,1,3,2,4,0
freesolv,grok45,Grok 4.5,0.04999999999999982,0.8799999999999999,0.9870824537348413,0.8371448338924723,2,2,1,2,0
freesolv,sol,GPT-5.6 sol,0.26999999999999996,0.49,0.9616744572963026,0.8658251052392445,3,1,3,1,0
freesolv,kimik3,Kimi K3,0.47,1.5049999999999994,0.9444013518613762,0.6907638869712992,4,4,4,3,0
esol,opus5,Claude Opus 5,0.01550000000000018,0.7549999999999999,0.9880947278538721,0.5110589046577929,1,2,1,3,1
esol,grok45,Grok 4.5,0.06100000000000001,1.0499999999999998,0.9841822836028604,0.5926257324038162,2,3,2,2,1
esol,sol,GPT-5.6 sol,0.14000000000000035,0.22599999999999998,0.9682784912384114,0.9467140397638995,3,1,3,1,1
esol,kimik3,Kimi K3,0.3285,1.2520000000000002,0.9340304041190047,0.3180114931025723,4,4,4,4,1
ld50,opus5,Claude Opus 5,0.25950000000000006,0.6099999999999999,0.3824663807032411,0.4510714622392792,1,2,3,1,2
ld50,sol,GPT-5.6 sol,0.267,0.672,0.8313563854198499,0.20788260667834163,2,4,1,4,2
ld50,grok45,Grok 4.5,0.3025,0.5369999999999999,-0.024252090665789608,0.375196896833202,3,1,4,2,2
ld50,kimik3,Kimi K3,0.37549999999999994,0.6234999999999997,0.5422362473497485,0.2849426371883156,4,3,2,3,2
