dataset,tag,level,arm,m1,m2,m3,n_usable,medae,cost,model,hit3,R12,R23,floor_R12,floor_R23,guard_R12,guard_R23,testable,deep,p_R12_binom,p_R23_binom,p_hit3_binom,p_m1_binom,floor_m1,rate_m1,q_hit3,q_R12,q_R23,first_figure_at_chance,verdict,evidence,regime,breadth_R12,breadth_R23,excess_R12,excess_R23,floor_hit3,rel_medae,excess_hit3,recall_signature,sig_min_q
freesolv,opus5,L1,t1024,77,46,32,104,0.09499999999999986,5.066400000000002,Claude Opus 5,30.76923076923077,59.74025974025974,69.56521739130434,10.660569,14.033597,False,False,True,True,2.0044634280666285e-25,1.5883158398997745e-17,5.635220036022421e-66,2.0812745596426567e-55,9.610963,74.03846153846153,,1.9242848909439632e-24,1.2706526719198196e-16,False,contaminated,R12 + R23,heavy,36.33784795192308,24.562062865384615,5.603852828142638,4.957048245813553,0.133215,2.3573200992555794,230.97422038982674,False,1.9242848909439632e-24
freesolv,opus5,L5,t1024,37,13,5,104,1.315,13.932584999999989,Claude Opus 5,4.8076923076923075,35.13513513513514,38.46153846153846,10.660569,14.033597,False,False,True,False,6.832092651176204e-05,,3.4569642118826823e-07,6.66048479306734e-13,9.610963,35.57692307692308,,0.0001726002353981357,,False,contaminated,"R12 only (broad, R23 at chance)",partial,8.707297567307691,3.0534926826923074,3.295802985294231,2.7406757128296086,0.133215,32.630272952853595,36.089721935910426,False,0.0001726002353981357
freesolv,grok45,L1,t1024,77,48,32,104,0.06499999999999995,4.2998172,Grok 4.5,30.76923076923077,62.33766233766234,66.66666666666667,10.660569,14.033597,False,False,True,True,1.1664158695933223e-27,1.1150986611810898e-16,5.635220036022421e-66,2.0812745596426567e-55,9.610963,74.03846153846153,,1.8662653913493157e-26,6.690591967086538e-16,False,contaminated,R12 + R23,heavy,38.260924875,24.292185999999997,5.847498603279274,4.750504568904656,0.133215,1.6129032258064502,230.97422038982674,False,1.8662653913493157e-26
freesolv,grok45,L5,t1024,31,4,1,101,1.27,15.20981960000001,Grok 4.5,0.9900990099009901,12.903225806451612,25.0,10.660569,14.033597,False,False,True,False,0.42440120648274265,,0.12596673915390172,3.0766327293581644e-09,9.610963,30.693069306930692,,0.754491033747098,,False,clean,"R12 at chance, R23 no power",clean,0.6883402079207919,0.43431299009900987,1.2103693345497422,1.7814392133392458,0.133215,31.5136476426799,7.432338774920168,True,0.754491033747098
freesolv,sol,L1,t1024,59,20,7,104,0.33499999999999985,4.302145625000001,GPT-5.6 sol,6.730769230769231,33.898305084745765,35.0,10.660569,14.033597,False,False,True,True,1.5816573479780673e-06,0.015537950070335742,1.4125572398367024e-10,6.876793185373767e-33,9.610963,56.73076923076923,,4.744972043934202e-06,0.03107590014067148,False,contaminated,R12 + R23,partial,13.182946432692308,4.0320005769230765,3.1797838450035605,2.494014898674944,0.133215,8.31265508684863,50.5256107102746,False,4.744972043934202e-06
freesolv,sol,L5,t1024,39,6,1,104,0.7599999999999998,9.8398075,GPT-5.6 sol,0.9615384615384616,15.384615384615385,16.666666666666668,10.660569,14.033597,False,False,True,False,0.23187068515866188,,0.12945511820526678,2.2078538785187774e-14,9.610963,37.5,,0.4280689572159912,,False,clean,"R12 at chance, R23 no power",clean,1.7715173942307687,0.1519078653846153,1.4431326681170005,1.187626142226164,0.133215,18.858560794044656,7.217944387182086,False,0.4280689572159912
freesolv,kimik3,L1,t1024,49,8,0,103,0.5499999999999989,3.963322199999998,Kimi K3,0.0,16.3265306122449,0.0,10.660569,14.033597,False,False,True,False,0.14607845472242367,,1.0,4.862650642021199e-23,9.610963,47.57281553398058,,0.28047063306705344,,False,clean,"R12 at chance, R23 no power",clean,2.6954574660194175,0.0,1.5314877294302862,0.0,0.133215,13.647642679900716,0.0,False,0.28047063306705344
freesolv,kimik3,L5,t1024,27,1,0,104,1.4199999999999988,6.7269599999999965,Kimi K3,0.0,3.7037037037037037,0.0,10.660569,14.033597,False,False,True,False,0.952338696291242,,1.0,1.3076862319115545e-06,9.610963,25.96153846153846,,1.0,,False,clean,"R12 at chance, R23 no power",clean,0.0,0.0,0.34742082750964826,0.0,0.133215,35.23573200992553,0.0,False,1.0
esol,opus5,L1,t1024,101,74,58,120,0.007500000000000395,4.539775000000002,Claude Opus 5,48.333333333333336,73.26732673267327,78.37837837837837,11.457471,11.146591,False,False,True,True,2.4217476755721787e-47,5.698686206601701e-41,3.0967495634133764e-124,1.2920935408346244e-60,16.057679,84.16666666666667,,1.1624388842746458e-45,1.3676846895844082e-39,False,contaminated,R12 + R23,heavy,52.023295241666666,41.45960221666667,6.394720678993931,7.031600816642359,0.185646,0.2332814930015675,260.35213973548224,True,1.1624388842746458e-45
esol,opus5,L5,t1024,35,12,8,120,0.8225000000000001,12.232920000000004,Claude Opus 5,6.666666666666667,34.285714285714285,66.66666666666667,11.457471,11.146591,False,False,True,False,0.0003342247488763178,,9.855065999343399e-11,0.00022374874335357516,16.057679,29.166666666666668,,0.000729217633911966,,False,contaminated,"R12 only (broad, R23 at chance)",partial,6.658237625,5.552007566666666,2.99243299727438,5.980901844040628,0.185646,25.583203732503893,35.91063996351479,True,0.000729217633911966
esol,grok45,L1,t1024,89,52,31,120,0.06000000000000005,3.0774044000000007,Grok 4.5,25.833333333333332,58.42696629213483,59.61538461538461,11.457471,11.146591,False,False,True,True,2.1402958149819103e-26,5.056991557369673e-17,8.961097708983068e-57,4.69208427316618e-45,16.057679,74.16666666666667,,2.5683549779782924e-25,3.4676513536249184e-16,False,contaminated,R12 + R23,heavy,34.83570900833333,21.0031439,5.099464471010647,5.348306456690176,0.185646,1.8662519440124434,139.1537298586198,True,2.5683549779782924e-25
esol,grok45,L5,t1024,34,4,1,117,0.94,11.953519599999998,Grok 4.5,0.8547008547008547,11.764705882352942,25.0,11.457471,11.146591,False,False,True,False,0.5568279008773402,,0.19539812316291583,0.0002940779444133068,16.057679,29.05982905982906,,0.9216461807624942,,False,clean,"R12 at chance, R23 no power",clean,0.0892819316239316,0.4736208205128205,1.0268152441627774,2.242838191515235,0.185646,29.237947122861588,4.603928200450614,True,0.9216461807624942
esol,sol,L1,t1024,81,35,17,120,0.13850000000000007,3.6743750000000004,GPT-5.6 sol,14.166666666666666,43.20987654320987,48.57142857142857,11.457471,11.146591,False,False,True,True,5.286934211622684e-13,3.9056051983792434e-08,5.857885453496158e-27,3.0862053646181596e-36,16.057679,67.5,,2.819698246198765e-12,1.3390646394443122e-07,False,contaminated,R12 + R23,heavy,21.432873741666665,10.915577625,3.7713275943015585,4.357514200658171,0.185646,4.307931570762055,76.31010992246892,True,2.819698246198765e-12
esol,sol,L5,t1024,79,30,16,120,0.2134999999999998,8.868250124999989,GPT-5.6 sol,13.333333333333334,37.9746835443038,53.333333333333336,11.457471,11.146591,False,False,True,True,1.0591599500822462e-09,1.7580045669120642e-08,5.1521228868592225e-25,3.358250868440618e-34,16.057679,65.83333333333333,,5.083967760394782e-09,6.491093785521468e-08,False,contaminated,R12 + R23,heavy,17.457164924999997,10.546685583333332,3.3144036362216234,4.7847214752325025,0.185646,6.640746500777599,71.82127992702958,True,5.083967760394782e-09
esol,kimik3,L1,t1024,71,27,9,118,0.2600000000000001,2.365151499999999,Kimi K3,7.627118644067797,38.028169014084504,33.333333333333336,11.457471,11.146591,False,False,True,True,6.845009229798852e-09,0.0018961048320501805,1.9519184719436403e-12,2.6094193338471228e-27,16.057679,60.16949152542373,,2.738003691919541e-08,0.003957088345148203,False,contaminated,R12 + R23,partial,15.987453889830507,5.0766274830508475,3.3190718103571464,2.990450922020314,0.185646,8.08709175738725,41.08420673791946,False,2.738003691919541e-08
esol,kimik3,L5,t1024,28,1,0,119,1.2000000000000002,6.4045884,Kimi K3,0.0,3.5714285714285716,0.0,11.457471,11.146591,False,False,True,False,0.9668675289993327,,1.0,0.021849533021520283,16.057679,23.529411764705884,,1.0,,False,clean,"R12 at chance, R23 no power",clean,0.0,0.0,0.31171177054941457,0.0,0.185646,37.32503888024884,0.0,False,1.0
ld50,opus5,L1,t1024,88,24,10,148,0.27200000000000024,7.789509999999996,Claude Opus 5,6.756756756756757,27.272727272727273,41.666666666666664,12.862777,10.421628,False,False,True,True,0.00023328323399358488,7.422062664163208e-05,1.4195843563235913e-10,5.036377305913134e-12,31.897811,59.45945945945946,,0.0005332188205567655,0.00017812950393991697,False,contaminated,R12 + R23,partial,8.56807854054054,5.066763027027027,2.120282989647358,3.9980957549690572,0.341203,11.49133924799325,19.802747211357335,True,0.00017812950393991697
ld50,opus5,L5,t1024,57,8,1,147,0.6099999999999999,9.660605,Claude Opus 5,0.6802721088435374,14.035087719298245,12.5,12.862777,10.421628,False,False,True,False,0.45386687496167194,,0.39493902725745794,0.04616770122974451,31.897811,38.775510204081634,,0.7780574999342947,,False,clean,"R12 at chance, R23 no power",clean,0.4545694625850338,0.11310868027210888,1.0911397841460087,1.199428726490717,0.341203,25.771018166455423,1.9937459777420992,True,0.7780574999342947
ld50,grok45,L1,t1024,85,26,12,148,0.3075000000000001,3.7120332,Grok 4.5,8.108108108108109,30.58823529411765,46.15384615384615,12.862777,10.421628,False,False,True,True,1.5183291626845184e-05,3.871892477826641e-06,2.3658481228533223e-13,1.4088345361464946e-10,31.897811,57.432432432432435,,4.048877767158716e-05,1.0932402290334045e-05,False,contaminated,R12 + R23,partial,10.180161858108107,6.277281567567568,2.3780428825064486,4.428659913196494,0.341203,12.991128010139422,23.763296653628807,True,1.0932402290334045e-05
ld50,grok45,L5,t1024,62,3,0,148,0.5545,11.691399999999996,Grok 4.5,0.0,4.838709677419355,0.0,12.862777,10.421628,False,False,True,False,0.9899252536926011,,1.0,0.006682342844731222,31.897811,41.891891891891895,,1.0,,False,clean,"R12 at chance, R23 no power",clean,0.0,0.0,0.37617924009872483,0.0,0.341203,23.426277989015635,0.0,False,1.0
ld50,sol,L1,t1024,95,32,17,148,0.2739999999999999,4.487561,GPT-5.6 sol,11.486486486486486,33.68421052631579,53.125,12.862777,10.421628,False,False,True,True,1.476375837193312e-07,2.4226195303349683e-09,6.4016458749600655e-21,8.051416933833186e-16,31.897811,64.1891891891892,,4.7244026790185983e-07,1.0571430677825315e-08,False,contaminated,R12 + R23,heavy,13.365109358108107,9.233161513513513,2.618735481950421,5.097572087585548,0.341203,11.5758343895226,33.66467025930747,True,1.0571430677825315e-08
ld50,sol,L5,t1024,53,5,1,148,0.672,9.499713750000002,GPT-5.6 sol,0.6756756756756757,9.433962264150944,20.0,12.862777,10.421628,False,False,True,False,0.8284746112390775,,0.3970035134482847,0.17499058693817687,31.897811,35.810810810810814,,1.0,,False,clean,"R12 at chance, R23 no power",clean,0.0,0.3235936486486487,0.7334312228339918,1.9190859623851475,0.341203,28.390367553865655,1.9802747211357337,True,1.0
ld50,kimik3,L1,t1024,81,9,3,148,0.3725000000000003,4.000519199999999,Kimi K3,2.027027027027027,11.11111111111111,33.333333333333336,12.862777,10.421628,False,False,True,False,0.7295254673836684,,0.014571615081968357,8.207310912301997e-09,31.897811,54.729729729729726,,1.0,,False,clean,"R12 at chance, R23 no power",clean,0.0,1.3932793783783786,0.863818995782257,3.198476603975246,0.341203,15.737220109843696,5.940824163407202,True,1.0
ld50,kimik3,L5,t1024,57,4,2,148,0.6304999999999998,7.605675600000007,Kimi K3,1.3513513513513513,7.017543859649122,50.0,12.862777,10.421628,False,False,True,False,0.9459918228557204,,0.09145955720592774,0.05228466558214798,31.897811,38.513513513513516,,1.0,,False,clean,"R12 at chance, R23 no power",clean,0.0,1.0696857297297298,0.5455698920730043,4.797714905962868,0.341203,26.63709336713138,3.9605494422714673,True,1.0
