dataset,tag,model,n,reasoning,shots,zs_hit3,medae_L1,medae_L5,d_medae,d_lo,d_hi,ratio,usable_L1,hit3_L1,floor_L1,usable_L5,hit3_L5,floor_L5
esol,opus5,Claude Opus 5,150,none,100,32.1212,0.085,1.015,0.93,0.765,1.17,11.9412,63,47.619,3.8475,34,2.9412,0.3249
esol,opus48,Claude Opus 4.8,100,,100,28.3369,0.065,1.295,1.23,0.9345,1.38,19.9231,37,54.0541,5.1009,10,0.0,0.2584
esol,grok45,Grok 4.5,149,low,100,12.5984,0.27,1.188,0.918,0.65,1.24,4.4,76,14.4737,1.2167,96,1.0417,0.2779
esol,kimik26,Kimi K2.6,150,none,100,0.8941,0.455,1.522,1.067,0.831,1.362,3.3451,89,1.1236,0.7462,102,0.0,0.2148
esol,gem36flash,Gemini 3.6 Flash,150,max_tokens:128,100,0.693,0.235,1.035,0.8,0.6,0.984,4.4043,111,10.8108,1.4304,111,0.9009,0.3211
freesolv,opus5,Claude Opus 5,150,none,100,41.6484,0.2,2.385,2.185,1.655,2.99,11.925,38,39.4737,2.4246,32,0.0,0.2147
freesolv,grok45,Grok 4.5,149,low,100,35.618,0.29,1.78,1.49,1.19,2.0,6.1379,69,28.9855,1.6564,91,2.1978,0.308
freesolv,kimik26,Kimi K2.6,150,none,100,3.9616,1.04,2.44,1.4,0.8899,1.88,2.3462,84,2.381,0.5151,86,0.0,0.1927
freesolv,gem36flash,Gemini 3.6 Flash,149,max_tokens:128,100,0.9858,0.43,2.04,1.61,1.05,2.0,4.7442,95,0.0,1.1118,105,0.0,0.2476
ld50,grok45,Grok 4.5,149,low,100,9.3995,0.29,0.5,0.21,0.112,0.308,1.7241,132,4.5455,1.1082,143,0.6993,0.6486
ld50,opus5,Claude Opus 5,150,none,100,0.579,0.3235,0.4975,0.174,0.036,0.278,1.5379,77,5.1948,1.0011,106,0.0,0.6466
ld50,gem36flash,Gemini 3.6 Flash,150,max_tokens:128,100,0.274,0.226,0.558,0.332,0.214,0.463,2.469,144,12.5,1.426,147,0.6803,0.5864
ld50,kimik26,Kimi K2.6,150,none,100,0.1562,0.527,0.488,-0.039,-0.159,0.094,0.926,136,1.4706,0.6162,142,0.7042,0.667
