dataset,tag,model,n,arm,reasoning,shots,zs_hit3,medae_L1,medae_L5,d_medae,d_lo,d_hi,ratio,usable_L1,hit3_L1,floor_L1,usable_L5,hit3_L5,floor_L5
esol,opus5,Claude Opus 5,150,t1024,max_tokens:1024,100,27.1357,0.0155,0.755,0.7395,0.5415,0.976,48.7097,79,72.1519,19.2003,28,28.5714,0.427
esol,grok45,Grok 4.5,147,t1024,max_tokens:1024,100,13.3501,0.062,1.05,0.988,0.699,1.17,16.9355,89,32.5843,5.2619,99,1.0101,0.3123
esol,sol,GPT-5.6 sol,150,t1024,max_tokens:1024,100,1.7632,0.14,0.226,0.086,-0.004,0.1675,1.6143,93,18.2796,2.3666,87,18.3908,1.4698
esol,kimik3,Kimi K3,147,t1024,max_tokens:1024,100,0.7538,0.327,1.252,0.925,0.737,1.2,3.8287,79,11.3924,0.9996,78,0.0,0.2664
freesolv,opus5,Claude Opus 5,150,t1024,max_tokens:1024,100,36.1979,0.035,1.22,1.185,0.555,1.45,34.8571,54,59.2593,11.6927,28,21.4286,0.4294
freesolv,grok45,Grok 4.5,144,t1024,max_tokens:1024,100,32.5521,0.05,0.87,0.82,0.495,1.335,17.4,80,38.75,8.4438,76,1.3158,0.5761
freesolv,sol,GPT-5.6 sol,150,t1024,max_tokens:1024,100,6.25,0.27,0.49,0.22,0.045,0.41,1.8148,66,10.6061,1.7949,69,1.4493,0.9678
freesolv,kimik3,Kimi K3,149,t1024,max_tokens:1024,100,1.5666,0.47,1.51,1.04,0.76,1.39,3.2128,63,0.0,1.0233,80,0.0,0.321
ld50,grok45,Grok 4.5,150,t1024,max_tokens:1024,100,7.0565,0.3025,0.537,0.2345,0.112,0.3255,1.7752,118,10.1695,1.0621,131,0.0,0.6052
ld50,opus5,Claude Opus 5,149,t1024,max_tokens:1024,100,0.8065,0.258,0.61,0.352,0.203,0.478,2.3643,68,13.2353,1.2544,49,0.0,0.5365
ld50,kimik3,Kimi K3,150,t1024,max_tokens:1024,100,0.4024,0.3755,0.6235,0.248,0.166,0.3445,1.6605,99,4.0404,0.8658,125,1.6,0.5094
ld50,sol,GPT-5.6 sol,150,t1024,max_tokens:1024,100,0.4024,0.267,0.672,0.405,0.239,0.553,2.5169,122,13.9344,1.2099,108,0.9259,0.4818
