dataset,dataset_name,ds_class,model,tag,vendor,arm,blocks,n_call,n_queried,trunc,reasoning,cost,think,n_pred,n_usable,n_mol,level,n_bins,mp_chance_hit,mp_p_hit,mp_chance_deep,mp_p_deep,rs_chance_hit,rs_p_hit,rs_chance_deep,rs_p_deep,rs_chance_hit3,rs_p_hit3,rs_chance_R23,rs_p_R23,pearson,spearman,rmse,medae,m1,m2,m3,h1,h2,h3,hit,hit_stat,deep,deep_stat,hit3,hit3_all,R12,R23,chance_hit,p_hit,chance_deep,p_deep,mb_chance_hit,mb_p_hit,mb_chance_deep,mb_p_deep,hit_lo,hit_hi,deep_lo,deep_hi,chance_hit3,p_hit3,chance_R12,p_R12,chance_R23,p_R23,mb_chance_hit3,mb_p_hit3,mb_chance_R12,mb_p_R12,mb_chance_R23,mb_p_R23,q_hit_joint,q_deep_joint,decided_at,q_hit_used,q_deep_used,regime,excess
antiviral,Antiviral potency (ASAP/Polaris 2025),neg_control,Gemini 2.5 Pro,gem25pro,Google,reg,1,500,500,0.0,minimal,2.4546,950.0,500,458,458,3,20,0.3136,0.7751,11.6752,0.6917,0.2291,0.6597,6.9354,0.4068,0.2291,0.6597,6.9354,0.4068,0.3401,0.2926,1.1684,0.86,137,13,1,137,14,1,0.2183,hit3,7.6923,R23,0.2183,0.2,9.4891,7.6923,0.2229,0.6402,9.4292,0.5752,0.3053,0.7681,11.4149,0.6867,0.0,0.655,0.0,27.2727,0.2229,0.6402,8.8345,0.3773,9.4292,0.5752,0.3053,0.7681,8.9006,0.3743,11.4149,0.6867,1.0,1.0,2,,,clean,1.066119138035638
antiviral,Antiviral potency (ASAP/Polaris 2025),neg_control,Gemini 2.5 Pro,gem25pro,Google,t1024,2,500,500,0.0,max_tokens:1024,1.9384,756.5,500,458,458,3,20,0.4308,1.0,13.6182,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.3204,0.2943,1.1332,0.8,153,13,0,153,16,0,0.0,hit3,0.0,R23,0.0,0.0,8.4967,0.0,0.2607,1.0,10.1777,1.0,0.4431,1.0,13.9213,1.0,0.0,0.0,0.0,0.0,0.2607,1.0,9.134,0.5912,10.1777,1.0,0.4431,1.0,9.3352,0.6857,13.9213,1.0,1.0,1.0,2,,,clean,0.9101786785500043
antiviral,Antiviral potency (ASAP/Polaris 2025),neg_control,Gemini 3.1 Flash-Lite,gem31flashlite,Google,reg,1,500,500,0.0,none,0.0122,0.0,500,458,458,3,20,0.5882,0.7701,14.2175,0.7316,0.3293,0.4423,6.7404,0.2839,0.3293,0.4423,6.7404,0.2839,0.3182,0.2599,1.2204,0.69,168,21,2,168,21,2,0.4367,hit3,9.5238,R23,0.4367,0.4,12.5,9.5238,0.4426,0.6052,12.1944,0.6077,0.5907,0.7901,14.2765,0.7561,0.0,1.0917,0.0,23.8095,0.4426,0.6052,10.7288,0.2369,12.1944,0.6077,0.5907,0.7901,11.3536,0.2774,14.2765,0.7561,1.0,1.0,3,0.9381659842519685,0.921000646203554,clean,0.739292364990689
antiviral,Antiviral potency (ASAP/Polaris 2025),neg_control,Gemini 3.1 Flash-Lite,gem31flashlite,Google,t1024,2,500,500,0.0,max_tokens:1024,0.3319,853.0,500,458,458,3,20,0.4843,0.0545,13.8167,0.065,1.1333,0.5927,28.7104,0.5207,1.1333,0.5927,28.7104,0.5207,0.387,0.3214,1.0996,0.835,152,18,5,152,18,5,1.0917,hit3,27.7778,R23,1.0917,1.0,11.8421,27.7778,0.2959,0.009,11.8594,0.0625,0.4638,0.0465,13.3479,0.0555,0.2183,2.1834,7.6923,50.0,0.2959,0.009,9.1271,0.1479,11.8594,0.0625,0.4638,0.0465,10.2214,0.1414,13.3479,0.0555,0.1291,0.1518,3,0.11495409836065573,0.134125,clean,2.353816300129366
antiviral,Antiviral potency (ASAP/Polaris 2025),neg_control,Gemini 3.1 Pro,gem31pro,Google,reg,1,500,500,0.0,max_tokens:128,0.8391,227.0,500,458,458,3,20,0.156,0.5262,5.3337,0.4658,0.2252,0.6467,7.4254,0.5357,0.2252,0.6467,7.4254,0.5357,0.469,0.3526,1.1985,0.81,125,15,1,125,17,1,0.2183,hit3,6.6667,R23,0.2183,0.2,12.0,6.6667,0.2001,0.6077,7.4665,0.5407,0.1624,0.5307,5.6946,0.4818,0.0,0.8734,0.0,22.2222,0.2001,0.6077,11.316,0.3993,7.4665,0.5407,0.1624,0.5307,10.5252,0.2254,5.6946,0.4818,0.9208,0.8898,3,0.7521575187969924,0.7179391304347826,clean,0.999814
antiviral,Antiviral potency (ASAP/Polaris 2025),neg_control,Gemini 3.1 Pro,gem31pro,Google,t1024,2,500,500,0.0,max_tokens:1024,1.4275,417.0,500,458,458,3,20,0.2729,0.7381,10.2881,0.4638,0.2213,0.6387,7.4989,0.3353,0.2213,0.6387,7.4989,0.3353,0.5069,0.4224,1.1543,0.75,129,10,1,129,16,1,0.2183,hit3,10.0,R23,0.2183,0.2,7.7519,10.0,0.194,0.5867,7.5904,0.3568,0.2809,0.7506,10.4672,0.4793,0.0,0.655,0.0,33.3333,0.194,0.5867,11.1521,0.8761,7.5904,0.3568,0.2809,0.7506,9.3829,0.8161,10.4672,0.4793,0.9914,0.7757,2,,,clean,0.8261731447633461
antiviral,Antiviral potency (ASAP/Polaris 2025),neg_control,Gemini 3.5 Flash,gem35flash,Google,reg,1,500,500,0.0,minimal,0.0735,0.0,500,458,458,3,20,0.369,1.0,9.6985,1.0,0.0064,1.0,0.1818,1.0,0.0064,1.0,0.1818,1.0,0.3991,0.357,1.2234,0.81,139,17,0,139,18,0,0.0,hit3,0.0,R23,0.0,0.0,12.2302,0.0,0.2029,1.0,8.6549,1.0,0.3892,1.0,10.2425,1.0,0.0,0.0,0.0,0.0,0.2029,1.0,9.4523,0.1559,8.6549,1.0,0.3892,1.0,12.854,0.6172,10.2425,1.0,1.0,1.0,3,1.0,1.0,clean,0.0
antiviral,Antiviral potency (ASAP/Polaris 2025),neg_control,Gemini 3.5 Flash,gem35flash,Google,t1024,2,500,500,0.0,max_tokens:1024,1.8238,753.0,500,458,458,3,20,0.2599,1.0,7.0876,1.0,0.009,1.0,0.1912,1.0,0.009,1.0,0.1912,1.0,0.6034,0.4851,0.9882,0.64,184,19,0,184,20,0,0.0,hit3,0.0,R23,0.0,0.0,10.3261,0.0,0.1384,1.0,5.2766,1.0,0.2737,1.0,7.5188,1.0,0.0,0.0,0.0,0.0,0.1384,1.0,10.0881,0.4493,5.2766,1.0,0.2737,1.0,9.5349,0.3303,7.5188,1.0,1.0,1.0,3,1.0,1.0,clean,0.0
antiviral,Antiviral potency (ASAP/Polaris 2025),neg_control,Gemini 3.6 Flash,gem36flash,Google,reg,1,500,500,0.0,minimal,0.0713,0.0,500,458,458,3,20,0.2485,0.6932,8.3745,0.6237,0.227,0.6452,9.8667,0.6222,0.227,0.6452,9.8667,0.6222,0.4287,0.3803,1.2001,0.84,142,15,1,142,15,1,0.2183,hit3,6.6667,R23,0.2183,0.2,10.5634,6.6667,0.2519,0.6912,10.3131,0.6642,0.2581,0.7171,8.7328,0.6482,0.0,0.655,0.0,22.2222,0.2519,0.6912,10.3873,0.4588,10.3131,0.6642,0.2581,0.7171,9.4957,0.2774,8.7328,0.6482,1.0,0.9873,3,0.9054304347826088,0.8587663157894737,clean,0.8457962030220845
antiviral,Antiviral potency (ASAP/Polaris 2025),neg_control,Gemini 3.6 Flash,gem36flash,Google,t1024,2,500,500,0.0,max_tokens:1024,1.296,481.5,485,445,445,3,20,0.4717,0.6357,15.6483,0.5082,0.4562,0.5932,13.627,0.4043,0.4562,0.5932,13.627,0.4043,0.517,0.4523,1.0506,0.77,150,13,2,150,13,2,0.4494,hit3,15.3846,R23,0.4494,0.4124,8.6667,15.3846,0.2163,0.2469,9.349,0.2404,0.4818,0.6432,16.0679,0.5197,0.0,1.1236,0.0,37.5149,0.2163,0.2469,9.811,0.6402,9.349,0.2404,0.4818,0.6432,9.0142,0.5837,16.0679,0.5197,0.9395,0.8089,2,,,clean,0.9614497126755563
