dataset,dataset_name,ds_class,model,tag,vendor,arm,blocks,n_call,n_queried,trunc,reasoning,cost,think,n_pred,n_usable,n_mol,level,n_bins,mp_chance_hit,mp_p_hit,mp_chance_deep,mp_p_deep,rs_chance_hit,rs_p_hit,rs_chance_deep,rs_p_deep,rs_chance_hit3,rs_p_hit3,rs_chance_R23,rs_p_R23,pearson,spearman,rmse,medae,m1,m2,m3,h1,h2,h3,hit,hit_stat,deep,deep_stat,hit3,hit3_all,R12,R23,chance_hit,p_hit,chance_deep,p_deep,mb_chance_hit,mb_p_hit,mb_chance_deep,mb_p_deep,hit_lo,hit_hi,deep_lo,deep_hi,chance_hit3,p_hit3,chance_R12,p_R12,chance_R23,p_R23,mb_chance_hit3,mb_p_hit3,mb_chance_R12,mb_p_R12,mb_chance_R23,mb_p_R23,q_hit_joint,q_deep_joint,regime_old,smooth_floor,R12_smooth_floor,R23_smooth_floor,R13_smooth_floor,hit1_smooth_floor,floor_R12,floor_R23,guard_R12,guard_R23,testable,p_R12_binom,p_R23_binom,p_hit3_binom,p_m1_binom,floor_m1,rate_m1,q_hit3,q_R12,q_R23,first_figure_at_chance,verdict,evidence,regime,breadth_R12,breadth_R23,excess_R12,excess_R23,floor_hit3,rel_medae,excess_hit3,recall_signature
antiviral,Antiviral potency (ASAP/Polaris 2025),neg_control,Gemini 2.5 Pro,gem25pro,Google,reg,1,500,500,0.0,minimal,2.4546,950.0,500,458,458,3,20,0.3136,0.7751,11.6752,0.6917,0.2291,0.6597,6.9354,0.4068,0.2291,0.6597,6.9354,0.4068,0.3401,0.2926,1.1684,0.86,137,13,1,137,14,1,0.2183,hit3,False,R23,0.2183,0.2,9.4891,7.6923,0.2229,0.6402,9.4292,0.5752,0.3053,0.7681,11.4149,0.6867,0.0,0.655,0.0,27.2727,0.2229,0.6402,8.8345,0.3773,9.4292,0.5752,0.3053,0.7681,8.9006,0.3743,11.4149,0.6867,1.0,1.0,untestable,0.3854,11.8373,10.3066,1.22,31.5873,14.685185,11.678801,False,False,True,0.9728238769114769,,0.7807007678217539,0.002681377092646667,24.119154,29.912663755458514,,1.0,,False,clean,"R12 at chance, R23 no power",clean,0.0,0.0,0.6461682300903938,0.6586549424037622,0.330744,16.459330143540672,0.6600270904385265,True
antiviral,Antiviral potency (ASAP/Polaris 2025),neg_control,Gemini 3.1 Flash-Lite,gem31flashlite,Google,reg,1,500,500,0.0,none,0.0122,0.0,500,458,458,3,20,0.5882,0.7701,14.2175,0.7316,0.3293,0.4423,6.7404,0.2839,0.3293,0.4423,6.7404,0.2839,0.3182,0.2599,1.2204,0.69,168,21,2,168,21,2,0.4367,hit3,True,R23,0.4367,0.4,12.5,9.5238,0.4426,0.6052,12.1944,0.6077,0.5907,0.7901,14.2765,0.7561,0.0,1.0917,0.0,23.8095,0.4426,0.6052,10.7288,0.2369,12.1944,0.6077,0.5907,0.7901,11.3536,0.2774,14.2765,0.7561,1.0,1.0,clean,0.5273,12.6269,11.2903,1.4256,36.9869,14.685185,11.678801,False,False,True,0.8173178759835,0.7217123419079786,0.4474022770275284,1.3438027261045732e-09,24.119154,36.68122270742358,,1.0,1.0,False,clean,both rungs at chance,clean,0.0,0.0,0.8511979930794198,0.8154775477379912,0.330744,13.205741626794259,1.3203565295213215,False
antiviral,Antiviral potency (ASAP/Polaris 2025),neg_control,Gemini 3.1 Pro,gem31pro,Google,reg,1,500,500,0.0,max_tokens:128,0.8391,227.0,500,458,458,3,20,0.156,0.5262,5.3337,0.4658,0.2252,0.6467,7.4254,0.5357,0.2252,0.6467,7.4254,0.5357,0.469,0.3526,1.1985,0.81,125,15,1,125,17,1,0.2183,hit3,True,R23,0.2183,0.2,12.0,6.6667,0.2001,0.6077,7.4665,0.5407,0.1624,0.5307,5.6946,0.4818,0.0,0.8734,0.0,22.2222,0.2001,0.6077,11.316,0.3993,7.4665,0.5407,0.1624,0.5307,10.5252,0.2254,5.6946,0.4818,0.9208,0.8898,clean,0.3963,11.8687,10.1681,1.2068,32.8373,14.685185,11.678801,False,False,True,0.8349901176777275,0.8447704700073462,0.7807007678217539,0.06411158809854615,24.119154,27.292576419213972,,1.0,1.0,False,clean,both rungs at chance,clean,0.0,0.0,0.817150073356243,0.5708377084257193,0.330744,15.50239234449761,0.6600270904385265,False
antiviral,Antiviral potency (ASAP/Polaris 2025),neg_control,Gemini 3.5 Flash,gem35flash,Google,reg,1,500,500,0.0,minimal,0.0735,0.0,500,458,458,3,20,0.369,1.0,9.6985,1.0,0.0064,1.0,0.1818,1.0,0.0064,1.0,0.1818,1.0,0.3991,0.357,1.2234,0.81,139,17,0,139,18,0,0.0,hit3,True,R23,0.0,0.0,12.2302,0.0,0.2029,1.0,8.6549,1.0,0.3892,1.0,10.2425,1.0,0.0,0.0,0.0,0.0,0.2029,1.0,9.4523,0.1559,8.6549,1.0,0.3892,1.0,12.854,0.6172,10.2425,1.0,1.0,1.0,clean,0.4192,11.9694,10.6815,1.2785,32.7893,14.685185,11.678801,False,False,True,0.8250638828556439,1.0,1.0,0.0013829853610287607,24.119154,30.349344978165938,,1.0,1.0,False,clean,both rungs at chance,clean,0.0,0.0,0.8328257355967936,0.0,0.330744,15.50239234449761,0.0,False
antiviral,Antiviral potency (ASAP/Polaris 2025),neg_control,Gemini 3.6 Flash,gem36flash,Google,reg,1,500,500,0.0,minimal,0.0713,0.0,500,458,458,3,20,0.2485,0.6932,8.3745,0.6237,0.227,0.6452,9.8667,0.6222,0.227,0.6452,9.8667,0.6222,0.4287,0.3803,1.2001,0.84,142,15,1,142,15,1,0.2183,hit3,True,R23,0.2183,0.2,10.5634,6.6667,0.2519,0.6912,10.3131,0.6642,0.2581,0.7171,8.7328,0.6482,0.0,0.655,0.0,22.2222,0.2519,0.6912,10.3873,0.4588,10.3131,0.6642,0.2581,0.7171,9.4957,0.2774,8.7328,0.6482,1.0,0.9873,clean,0.4072,12.2447,10.3698,1.2697,32.0699,14.685185,11.678801,False,False,True,0.9393589889939353,0.8447704700073462,0.7807007678217539,0.00047693159933800603,24.119154,31.004366812227076,,1.0,1.0,False,clean,both rungs at chance,clean,0.0,0.0,0.7193235904076114,0.5708377084257193,0.330744,16.076555023923447,0.6600270904385265,False
antiviral,Antiviral potency (ASAP/Polaris 2025),neg_control,Gemini 3 Flash,gem3flash,Google,reg,1,500,500,0.0,none,0.0245,0.0,500,458,458,3,20,0.3904,0.2629,11.2284,0.2634,0.651,0.5877,16.6789,0.4843,0.651,0.5877,16.6789,0.4843,0.5247,0.4502,1.1686,0.7,155,18,3,155,21,3,0.655,hit3,True,R23,0.655,0.6,11.6129,16.6667,0.2394,0.0975,10.113,0.2524,0.3689,0.2364,10.5903,0.2239,0.0,1.5284,0.0,36.3636,0.2394,0.0975,9.6655,0.2414,10.113,0.2524,0.3689,0.2364,10.3844,0.2549,10.5903,0.2239,0.6043,0.5871,clean,0.5404,12.6103,11.7466,1.4813,36.4814,14.685185,11.678801,False,False,True,0.8865012529507074,0.3523955426778898,0.19467605245364802,1.7642613750804336e-06,24.119154,33.842794759825324,,1.0,1.0,False,clean,both rungs at chance,clean,0.0,0.19602965502183403,0.7907901739065595,1.4270899898028915,0.330744,13.397129186602871,1.9803836199598484,True
antiviral,Antiviral potency (ASAP/Polaris 2025),neg_control,GPT-4.1,gpt41,OpenAI,reg,1,500,500,0.0,none,0.1931,0.0,500,458,458,3,20,0.3493,0.076,14.6917,0.0465,0.8981,0.5992,28.788,0.2744,0.8981,0.5992,28.788,0.2744,0.4901,0.3917,1.4104,1.15,109,11,4,109,12,4,0.8734,hit3,False,R23,0.8734,0.8,10.0917,36.3636,0.2284,0.015,15.9574,0.094,0.3279,0.0525,13.9926,0.032,0.2183,1.7467,8.3333,66.6667,0.2284,0.015,8.3392,0.2794,15.9574,0.094,0.3279,0.0525,9.7195,0.4428,13.9926,0.032,0.2289,0.1482,untestable,0.274,11.5235,9.6132,1.1078,24.7358,14.685185,11.678801,False,False,True,0.9381077938642777,,0.06720115961497332,0.5814676076779898,24.119154,23.799126637554586,,1.0,,True,clean,"R12 at chance, R23 no power",clean,0.0,0.5928672248908297,0.6872027829407664,3.1136415459086937,0.330744,22.00956937799043,2.640713059042643,True
antiviral,Antiviral potency (ASAP/Polaris 2025),neg_control,GPT-5,gpt5,OpenAI,reg,1,500,500,0.0,minimal,0.215,0.0,500,458,458,3,20,0.3088,0.7641,12.5071,0.6612,0.1983,0.5852,7.3604,0.4233,0.1983,0.5852,7.3604,0.4233,0.2427,0.2145,1.2604,0.9933,105,12,1,105,12,1,0.2183,hit3,False,R23,0.2183,0.2,11.4286,8.3333,0.2653,0.7131,11.6464,0.6442,0.3079,0.7821,12.5781,0.6807,0.0,0.6605,0.0,25.0417,0.2653,0.7131,11.8165,0.5342,11.6464,0.6442,0.3079,0.7821,11.2119,0.4583,12.5781,0.6807,1.0,1.0,untestable,0.3646,11.3745,11.4658,1.3042,27.9585,14.685185,11.678801,False,False,True,0.8618074602630319,,0.7807007678217539,0.7408935982280263,24.119154,22.925764192139738,,1.0,,True,clean,"R12 at chance, R23 no power",clean,0.0,0.0,0.7782401106965965,0.7135407136400389,0.330744,19.010526315789473,0.6600270904385265,False
antiviral,Antiviral potency (ASAP/Polaris 2025),neg_control,GPT-5.5,gpt55,OpenAI,reg,1,500,500,0.0,none,0.2726,0.0,500,458,458,3,20,0.2412,0.6922,10.277,0.6412,0.2201,0.6412,8.2415,0.5152,0.2201,0.6412,8.2415,0.5152,0.4057,0.316,1.0773,0.78,139,13,1,139,15,1,0.2183,hit3,False,R23,0.2183,0.2,9.3525,7.6923,0.2568,0.6967,10.3484,0.6212,0.2509,0.7051,10.6858,0.6577,0.0,0.655,0.0,26.6818,0.2568,0.6967,9.6777,0.5352,10.3484,0.6212,0.2509,0.7051,7.5634,0.1444,10.6858,0.6577,1.0,0.9873,untestable,0.4203,12.1536,10.2068,1.2405,33.8821,14.685185,11.678801,False,False,True,0.9766171207879984,,0.7807007678217539,0.0013829853610287607,24.119154,30.349344978165938,,1.0,,False,clean,"R12 at chance, R23 no power",clean,0.0,0.0,0.6368663384220218,0.6586549424037622,0.330744,14.928229665071772,0.6600270904385265,True
antiviral,Antiviral potency (ASAP/Polaris 2025),neg_control,Grok 4.3,grok43,xAI,reg,1,500,500,0.0,none,0.1052,0.0,500,458,458,3,20,0.0745,1.0,6.4348,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0087,0.0214,1.8296,1.47,73,2,0,73,2,0,0.0,hit3,False,R23,0.0,0.0,2.7397,0.0,0.1291,1.0,7.9942,1.0,0.079,1.0,6.4715,1.0,0.0,0.0,0.0,0.0,0.1291,1.0,9.6838,0.9855,7.9942,1.0,0.079,1.0,7.4158,0.9745,6.4715,1.0,1.0,1.0,untestable,0.2303,11.1064,10.1005,1.1218,20.5338,14.685185,11.678801,False,False,True,0.9998749110060647,,1.0,0.9999926661483879,24.119154,15.93886462882096,,1.0,,True,clean,"R12 at chance, R23 no power",clean,0.0,0.0,0.18656217133117492,0.0,0.330744,28.13397129186603,0.0,False
