dataset,dataset_name,ds_class,index,n_queried,header_count,header_detail,smiles_present,smiles_rate,row_present,row_rate
esol,ESOL / Delaney,measured,v4_olmo-mix-1124_llama,59,28.0,"{""measured log solubility in mols per litre"": 28, ""delaney-processed"": 15}",13,22.033898305084747,0,0.0
esol,ESOL / Delaney,measured,v4_dclm-baseline_llama,59,5.0,"{""measured log solubility in mols per litre"": 5, ""delaney-processed"": 2}",9,15.254237288135593,0,0.0
esol,ESOL / Delaney,measured,v4_dolma-v1_7_llama,59,24.0,"{""measured log solubility in mols per litre"": 24, ""delaney-processed"": 13}",18,30.508474576271187,0,0.0
freesolv,FreeSolv / SAMPL,measured,v4_olmo-mix-1124_llama,55,1729.0,"{""FreeSolv"": 1729, ""SAMPL.csv"": 0}",11,20.0,0,0.0
freesolv,FreeSolv / SAMPL,measured,v4_dclm-baseline_llama,55,470.0,"{""FreeSolv"": 470, ""SAMPL.csv"": 0}",6,10.909090909090908,0,0.0
freesolv,FreeSolv / SAMPL,measured,v4_dolma-v1_7_llama,55,1798.0,"{""FreeSolv"": 1798, ""SAMPL.csv"": 0}",20,36.36363636363637,0,0.0
lipophilicity,Lipophilicity,measured,v4_olmo-mix-1124_llama,60,0.0,"{""CMPD_CHEMBLID"": 0, ""Lipophilicity.csv"": 0}",2,3.3333333333333335,0,0.0
lipophilicity,Lipophilicity,measured,v4_dclm-baseline_llama,60,0.0,"{""CMPD_CHEMBLID"": 0, ""Lipophilicity.csv"": null}",2,3.3333333333333335,0,0.0
lipophilicity,Lipophilicity,measured,v4_dolma-v1_7_llama,60,0.0,"{""CMPD_CHEMBLID"": 0, ""Lipophilicity.csv"": 0}",0,0.0,0,0.0
bace,BACE,measured,v4_olmo-mix-1124_llama,60,5.0,"{""bace.csv"": 5, ""ChiralCenterCountAllPossible"": 0}",0,0.0,0,0.0
bace,BACE,measured,v4_dclm-baseline_llama,60,0.0,"{""bace.csv"": 0, ""ChiralCenterCountAllPossible"": 0}",0,0.0,0,0.0
bace,BACE,measured,v4_dolma-v1_7_llama,60,5.0,"{""bace.csv"": 5, ""ChiralCenterCountAllPossible"": 0}",0,0.0,0,0.0
aqsoldb,AqSolDB,measured,v4_olmo-mix-1124_llama,59,208.0,"{""AqSolDB"": 208}",2,3.389830508474576,0,0.0
aqsoldb,AqSolDB,measured,v4_dclm-baseline_llama,59,140.0,"{""AqSolDB"": 140}",2,3.389830508474576,0,0.0
aqsoldb,AqSolDB,measured,v4_dolma-v1_7_llama,59,114.0,"{""AqSolDB"": 114}",3,5.084745762711864,0,0.0
caco2,Caco-2 (Wang),measured,v4_olmo-mix-1124_llama,59,15.0,"{""Caco2_Wang"": 15}",1,1.694915254237288,0,0.0
caco2,Caco-2 (Wang),measured,v4_dclm-baseline_llama,59,8.0,"{""Caco2_Wang"": 8}",1,1.694915254237288,0,0.0
caco2,Caco-2 (Wang),measured,v4_dolma-v1_7_llama,59,10.0,"{""Caco2_Wang"": 10}",0,0.0,0,0.0
ld50,LD50 (Zhu),measured,v4_olmo-mix-1124_llama,59,0.0,"{""LD50_Zhu"": 0}",4,6.779661016949152,0,0.0
ld50,LD50 (Zhu),measured,v4_dclm-baseline_llama,59,0.0,"{""LD50_Zhu"": 0}",3,5.084745762711864,0,0.0
ld50,LD50 (Zhu),measured,v4_dolma-v1_7_llama,59,0.0,"{""LD50_Zhu"": 0}",3,5.084745762711864,0,0.0
ppbr,PPBR (AZ),measured,v4_olmo-mix-1124_llama,60,0.0,"{""PPBR_AZ"": 0}",1,1.6666666666666667,0,0.0
ppbr,PPBR (AZ),measured,v4_dclm-baseline_llama,60,0.0,"{""PPBR_AZ"": 0}",1,1.6666666666666667,0,0.0
ppbr,PPBR (AZ),measured,v4_dolma-v1_7_llama,60,0.0,"{""PPBR_AZ"": 0}",0,0.0,0,0.0
qm7,QM7,computed,v4_olmo-mix-1124_llama,56,3.0,"{""u0_atom"": 3, ""qm7.csv"": 1}",1,1.7857142857142858,0,0.0
qm7,QM7,computed,v4_dclm-baseline_llama,56,0.0,"{""u0_atom"": 0, ""qm7.csv"": 0}",0,0.0,0,0.0
qm7,QM7,computed,v4_dolma-v1_7_llama,56,5.0,"{""u0_atom"": 5, ""qm7.csv"": 1}",3,5.357142857142857,0,0.0
qm8,QM8,computed,v4_olmo-mix-1124_llama,60,4.0,"{""E1-CC2"": 4}",1,1.6666666666666667,0,0.0
qm8,QM8,computed,v4_dclm-baseline_llama,60,0.0,"{""E1-CC2"": 0}",0,0.0,0,0.0
qm8,QM8,computed,v4_dolma-v1_7_llama,60,5.0,"{""E1-CC2"": 5}",1,1.6666666666666667,0,0.0
qm9,QM9,computed,v4_olmo-mix-1124_llama,60,,"{""qm9.csv"": null, ""gdb_1"": null}",0,0.0,0,0.0
qm9,QM9,computed,v4_dclm-baseline_llama,60,61.0,"{""qm9.csv"": 0, ""gdb_1"": 61}",0,0.0,0,0.0
qm9,QM9,computed,v4_dolma-v1_7_llama,60,25.0,"{""qm9.csv"": 2, ""gdb_1"": 25}",0,0.0,0,0.0
antiviral,Antiviral potency (ASAP/Polaris 2025),neg_control,v4_olmo-mix-1124_llama,60,0.0,"{""ASAP Discovery"": 0, ""antiviral_potency.csv"": 0}",0,0.0,0,0.0
antiviral,Antiviral potency (ASAP/Polaris 2025),neg_control,v4_dclm-baseline_llama,60,0.0,"{""ASAP Discovery"": 0, ""antiviral_potency.csv"": 0}",0,0.0,0,0.0
antiviral,Antiviral potency (ASAP/Polaris 2025),neg_control,v4_dolma-v1_7_llama,60,1.0,"{""ASAP Discovery"": 1, ""antiviral_potency.csv"": 0}",0,0.0,0,0.0
boilingpoint,Wikipedia boiling points,pos_control,v4_olmo-mix-1124_llama,22,0.0,"{""known_boiling_points"": 0}",19,86.36363636363636,2,9.090909090909092
boilingpoint,Wikipedia boiling points,pos_control,v4_dclm-baseline_llama,22,0.0,"{""known_boiling_points"": 0}",18,81.81818181818181,2,9.090909090909092
boilingpoint,Wikipedia boiling points,pos_control,v4_dolma-v1_7_llama,22,0.0,"{""known_boiling_points"": 0}",19,86.36363636363636,0,0.0
