dataset,level,alpha,stat,cond,n,floor,k_min,pct_min,excess
antiviral,alpha,0.05,R12,m1,15,14.6852,6.0,40.0,25.3148
antiviral,alpha,0.05,R12,m1,30,14.6852,9.0,30.0,15.3148
antiviral,alpha,0.05,R12,m1,50,14.6852,13.0,26.0,11.3148
antiviral,alpha,0.05,R12,m1,100,14.6852,22.0,22.0,7.3148
antiviral,alpha,0.05,R12,m1,200,14.6852,39.0,19.5,4.8148
antiviral,alpha,0.05,R12,m1,500,14.6852,88.0,17.6,2.9148
antiviral,alpha,0.05,R23,m2,15,11.6788,5.0,33.3333,21.6545
antiviral,alpha,0.05,R23,m2,30,11.6788,8.0,26.6667,14.9879
antiviral,alpha,0.05,R23,m2,50,11.6788,11.0,22.0,10.3212
antiviral,alpha,0.05,R23,m2,100,11.6788,18.0,18.0,6.3212
antiviral,alpha,0.05,R23,m2,200,11.6788,32.0,16.0,4.3212
antiviral,alpha,0.05,R23,m2,500,11.6788,71.0,14.2,2.5212
antiviral,alpha,0.05,hit1,n,15,24.1192,7.0,46.6667,22.5475
antiviral,alpha,0.05,hit1,n,30,24.1192,12.0,40.0,15.8808
antiviral,alpha,0.05,hit1,n,50,24.1192,18.0,36.0,11.8808
antiviral,alpha,0.05,hit1,n,100,24.1192,32.0,32.0,7.8808
antiviral,alpha,0.05,hit1,n,200,24.1192,59.0,29.5,5.3808
antiviral,alpha,0.05,hit1,n,500,24.1192,137.0,27.4,3.2808
antiviral,alpha,0.05,hit3,n,15,0.3307,1.0,6.6667,6.3359
antiviral,alpha,0.05,hit3,n,30,0.3307,2.0,6.6667,6.3359
antiviral,alpha,0.05,hit3,n,50,0.3307,2.0,4.0,3.6693
antiviral,alpha,0.05,hit3,n,100,0.3307,2.0,2.0,1.6693
antiviral,alpha,0.05,hit3,n,200,0.3307,3.0,1.5,1.1693
antiviral,alpha,0.05,hit3,n,500,0.3307,5.0,1.0,0.6693
aqsoldb,alpha,0.05,R12,m1,15,12.1395,5.0,33.3333,21.1939
aqsoldb,alpha,0.05,R12,m1,30,12.1395,8.0,26.6667,14.5272
aqsoldb,alpha,0.05,R12,m1,50,12.1395,11.0,22.0,9.8605
aqsoldb,alpha,0.05,R12,m1,100,12.1395,19.0,19.0,6.8605
aqsoldb,alpha,0.05,R12,m1,200,12.1395,33.0,16.5,4.3605
aqsoldb,alpha,0.05,R12,m1,500,12.1395,74.0,14.8,2.6605
aqsoldb,alpha,0.05,R23,m2,15,11.0349,5.0,33.3333,22.2984
aqsoldb,alpha,0.05,R23,m2,30,11.0349,7.0,23.3333,12.2984
aqsoldb,alpha,0.05,R23,m2,50,11.0349,10.0,20.0,8.9651
aqsoldb,alpha,0.05,R23,m2,100,11.0349,17.0,17.0,5.9651
aqsoldb,alpha,0.05,R23,m2,200,11.0349,31.0,15.5,4.4651
aqsoldb,alpha,0.05,R23,m2,500,11.0349,68.0,13.6,2.5651
aqsoldb,alpha,0.05,hit1,n,15,10.1911,5.0,33.3333,23.1422
aqsoldb,alpha,0.05,hit1,n,30,10.1911,7.0,23.3333,13.1422
aqsoldb,alpha,0.05,hit1,n,50,10.1911,10.0,20.0,9.8089
aqsoldb,alpha,0.05,hit1,n,100,10.1911,16.0,16.0,5.8089
aqsoldb,alpha,0.05,hit1,n,200,10.1911,29.0,14.5,4.3089
aqsoldb,alpha,0.05,hit1,n,500,10.1911,63.0,12.6,2.4089
aqsoldb,alpha,0.05,hit3,n,15,0.1107,1.0,6.6667,6.556
aqsoldb,alpha,0.05,hit3,n,30,0.1107,1.0,3.3333,3.2226
aqsoldb,alpha,0.05,hit3,n,50,0.1107,2.0,4.0,3.8893
aqsoldb,alpha,0.05,hit3,n,100,0.1107,2.0,2.0,1.8893
aqsoldb,alpha,0.05,hit3,n,200,0.1107,2.0,1.0,0.8893
aqsoldb,alpha,0.05,hit3,n,500,0.1107,3.0,0.6,0.4893
bace,alpha,0.05,R12,m1,15,12.5964,5.0,33.3333,20.737
bace,alpha,0.05,R12,m1,30,12.5964,8.0,26.6667,14.0703
bace,alpha,0.05,R12,m1,50,12.5964,11.0,22.0,9.4036
bace,alpha,0.05,R12,m1,100,12.5964,19.0,19.0,6.4036
bace,alpha,0.05,R12,m1,200,12.5964,34.0,17.0,4.4036
bace,alpha,0.05,R12,m1,500,12.5964,76.0,15.2,2.6036
bace,alpha,0.05,R23,m2,15,24.3777,8.0,53.3333,28.9556
bace,alpha,0.05,R23,m2,30,24.3777,12.0,40.0,15.6223
bace,alpha,0.05,R23,m2,50,24.3777,18.0,36.0,11.6223
bace,alpha,0.05,R23,m2,100,24.3777,33.0,33.0,8.6223
bace,alpha,0.05,R23,m2,200,24.3777,60.0,30.0,5.6223
bace,alpha,0.05,R23,m2,500,24.3777,139.0,27.8,3.4223
bace,alpha,0.05,hit1,n,15,21.0161,7.0,46.6667,25.6506
bace,alpha,0.05,hit1,n,30,21.0161,11.0,36.6667,15.6506
bace,alpha,0.05,hit1,n,50,21.0161,16.0,32.0,10.9839
bace,alpha,0.05,hit1,n,100,21.0161,29.0,29.0,7.9839
bace,alpha,0.05,hit1,n,200,21.0161,53.0,26.5,5.4839
bace,alpha,0.05,hit1,n,500,21.0161,121.0,24.2,3.1839
bace,alpha,0.05,hit3,n,15,0.4172,2.0,13.3333,12.9161
bace,alpha,0.05,hit3,n,30,0.4172,2.0,6.6667,6.2494
bace,alpha,0.05,hit3,n,50,0.4172,2.0,4.0,3.5828
bace,alpha,0.05,hit3,n,100,0.4172,3.0,3.0,2.5828
bace,alpha,0.05,hit3,n,200,0.4172,4.0,2.0,1.5828
bace,alpha,0.05,hit3,n,500,0.4172,6.0,1.2,0.7828
boilingpoint,alpha,0.05,R12,m1,15,12.7368,5.0,33.3333,20.5965
boilingpoint,alpha,0.05,R12,m1,30,12.7368,8.0,26.6667,13.9298
boilingpoint,alpha,0.05,R12,m1,50,12.7368,11.0,22.0,9.2632
boilingpoint,alpha,0.05,R12,m1,100,12.7368,19.0,19.0,6.2632
boilingpoint,alpha,0.05,R12,m1,200,12.7368,34.0,17.0,4.2632
boilingpoint,alpha,0.05,R12,m1,500,12.7368,77.0,15.4,2.6632
boilingpoint,alpha,0.05,R23,m2,15,18.75,6.0,40.0,21.25
boilingpoint,alpha,0.05,R23,m2,30,18.75,10.0,33.3333,14.5833
boilingpoint,alpha,0.05,R23,m2,50,18.75,15.0,30.0,11.25
boilingpoint,alpha,0.05,R23,m2,100,18.75,26.0,26.0,7.25
boilingpoint,alpha,0.05,R23,m2,200,18.75,48.0,24.0,5.25
boilingpoint,alpha,0.05,R23,m2,500,18.75,109.0,21.8,3.05
boilingpoint,alpha,0.05,hit1,n,15,18.2927,6.0,40.0,21.7073
boilingpoint,alpha,0.05,hit1,n,30,18.2927,10.0,33.3333,15.0407
boilingpoint,alpha,0.05,hit1,n,50,18.2927,15.0,30.0,11.7073
boilingpoint,alpha,0.05,hit1,n,100,18.2927,26.0,26.0,7.7073
boilingpoint,alpha,0.05,hit1,n,200,18.2927,47.0,23.5,5.2073
boilingpoint,alpha,0.05,hit1,n,500,18.2927,107.0,21.4,3.1073
boilingpoint,alpha,0.05,hit3,n,15,0.3659,2.0,13.3333,12.9675
boilingpoint,alpha,0.05,hit3,n,30,0.3659,2.0,6.6667,6.3008
boilingpoint,alpha,0.05,hit3,n,50,0.3659,2.0,4.0,3.6341
boilingpoint,alpha,0.05,hit3,n,100,0.3659,3.0,3.0,2.6341
boilingpoint,alpha,0.05,hit3,n,200,0.3659,3.0,1.5,1.1341
boilingpoint,alpha,0.05,hit3,n,500,0.3659,5.0,1.0,0.6341
caco2,alpha,0.05,R12,m1,15,15.0798,6.0,40.0,24.9202
caco2,alpha,0.05,R12,m1,30,15.0798,9.0,30.0,14.9202
caco2,alpha,0.05,R12,m1,50,15.0798,13.0,26.0,10.9202
caco2,alpha,0.05,R12,m1,100,15.0798,22.0,22.0,6.9202
caco2,alpha,0.05,R12,m1,200,15.0798,40.0,20.0,4.9202
caco2,alpha,0.05,R12,m1,500,15.0798,90.0,18.0,2.9202
caco2,alpha,0.05,R23,m2,15,17.4,6.0,40.0,22.6
caco2,alpha,0.05,R23,m2,30,17.4,10.0,33.3333,15.9333
caco2,alpha,0.05,R23,m2,50,17.4,14.0,28.0,10.6
caco2,alpha,0.05,R23,m2,100,17.4,25.0,25.0,7.6
caco2,alpha,0.05,R23,m2,200,17.4,45.0,22.5,5.1
caco2,alpha,0.05,R23,m2,500,17.4,102.0,20.4,3.0
caco2,alpha,0.05,hit1,n,15,35.3807,9.0,60.0,24.6193
caco2,alpha,0.05,hit1,n,30,35.3807,16.0,53.3333,17.9527
caco2,alpha,0.05,hit1,n,50,35.3807,24.0,48.0,12.6193
caco2,alpha,0.05,hit1,n,100,35.3807,44.0,44.0,8.6193
caco2,alpha,0.05,hit1,n,200,35.3807,83.0,41.5,6.1193
caco2,alpha,0.05,hit1,n,500,35.3807,196.0,39.2,3.8193
caco2,alpha,0.05,hit3,n,15,0.5495,2.0,13.3333,12.7839
caco2,alpha,0.05,hit3,n,30,0.5495,2.0,6.6667,6.1172
caco2,alpha,0.05,hit3,n,50,0.5495,2.0,4.0,3.4505
caco2,alpha,0.05,hit3,n,100,0.5495,3.0,3.0,2.4505
caco2,alpha,0.05,hit3,n,200,0.5495,4.0,2.0,1.4505
caco2,alpha,0.05,hit3,n,500,0.5495,7.0,1.4,0.8505
esol,alpha,0.05,R12,m1,15,11.4575,5.0,33.3333,21.8759
esol,alpha,0.05,R12,m1,30,11.4575,7.0,23.3333,11.8759
esol,alpha,0.05,R12,m1,50,11.4575,11.0,22.0,10.5425
esol,alpha,0.05,R12,m1,100,11.4575,18.0,18.0,6.5425
esol,alpha,0.05,R12,m1,200,11.4575,32.0,16.0,4.5425
esol,alpha,0.05,R12,m1,500,11.4575,70.0,14.0,2.5425
esol,alpha,0.05,R23,m2,15,11.1466,5.0,33.3333,22.1867
esol,alpha,0.05,R23,m2,30,11.1466,7.0,23.3333,12.1867
esol,alpha,0.05,R23,m2,50,11.1466,10.0,20.0,8.8534
esol,alpha,0.05,R23,m2,100,11.1466,18.0,18.0,6.8534
esol,alpha,0.05,R23,m2,200,11.1466,31.0,15.5,4.3534
esol,alpha,0.05,R23,m2,500,11.1466,69.0,13.8,2.6534
esol,alpha,0.05,hit1,n,15,16.0577,6.0,40.0,23.9423
esol,alpha,0.05,hit1,n,30,16.0577,9.0,30.0,13.9423
esol,alpha,0.05,hit1,n,50,16.0577,13.0,26.0,9.9423
esol,alpha,0.05,hit1,n,100,16.0577,23.0,23.0,6.9423
esol,alpha,0.05,hit1,n,200,16.0577,42.0,21.0,4.9423
esol,alpha,0.05,hit1,n,500,16.0577,95.0,19.0,2.9423
esol,alpha,0.05,hit3,n,15,0.1856,1.0,6.6667,6.481
esol,alpha,0.05,hit3,n,30,0.1856,2.0,6.6667,6.481
esol,alpha,0.05,hit3,n,50,0.1856,2.0,4.0,3.8144
esol,alpha,0.05,hit3,n,100,0.1856,2.0,2.0,1.8144
esol,alpha,0.05,hit3,n,200,0.1856,3.0,1.5,1.3144
esol,alpha,0.05,hit3,n,500,0.1856,4.0,0.8,0.6144
freesolv,alpha,0.05,R12,m1,15,10.6606,5.0,33.3333,22.6728
freesolv,alpha,0.05,R12,m1,30,10.6606,7.0,23.3333,12.6728
freesolv,alpha,0.05,R12,m1,50,10.6606,10.0,20.0,9.3394
freesolv,alpha,0.05,R12,m1,100,10.6606,17.0,17.0,6.3394
freesolv,alpha,0.05,R12,m1,200,10.6606,30.0,15.0,4.3394
freesolv,alpha,0.05,R12,m1,500,10.6606,66.0,13.2,2.5394
freesolv,alpha,0.05,R23,m2,15,14.0336,5.0,33.3333,19.2997
freesolv,alpha,0.05,R23,m2,30,14.0336,9.0,30.0,15.9664
freesolv,alpha,0.05,R23,m2,50,14.0336,12.0,24.0,9.9664
