dataset,benchmark,ds_class,tag,model,n_mol,hit3,outcome,r_raw,r_clip,ref_pm5,ref_pm5_sd,ref_window,ref_window_sd,beats_pm5,beats_window
antiviral,Antiviral potency (ASAP/Polaris 2025),neg_control,gem35flash,Gemini 3.5 Flash,458,0.0,clean,0.6091,0.6091,0.964,0.0016,0.9488,0.0029,False,False
antiviral,Antiviral potency (ASAP/Polaris 2025),neg_control,terra,GPT-5.6 terra,458,0.4367,clean,0.6076,0.6076,0.964,0.0016,0.9488,0.0025,False,False
antiviral,Antiviral potency (ASAP/Polaris 2025),neg_control,sonnet5,Claude Sonnet 5,458,0.0,clean,0.5694,0.5694,0.9637,0.0016,0.9486,0.0031,False,False
antiviral,Antiviral potency (ASAP/Polaris 2025),neg_control,opus5,Claude Opus 5,458,0.2183,clean,0.5491,0.5491,0.9638,0.0017,0.9483,0.003,False,False
antiviral,Antiviral potency (ASAP/Polaris 2025),neg_control,sol,GPT-5.6 sol,458,0.4367,clean,0.5468,0.5491,0.9639,0.0015,0.9484,0.003,False,False
antiviral,Antiviral potency (ASAP/Polaris 2025),neg_control,gpt55,GPT-5.5,458,0.0,clean,0.5371,0.5388,0.9639,0.0016,0.9488,0.0028,False,False
antiviral,Antiviral potency (ASAP/Polaris 2025),neg_control,gem3flash,Gemini 3 Flash,458,0.0,clean,0.5259,0.5317,0.9639,0.0016,0.949,0.0025,False,False
antiviral,Antiviral potency (ASAP/Polaris 2025),neg_control,luna,GPT-5.6 luna,458,0.2183,clean,0.5287,0.5287,0.9638,0.0015,0.9485,0.0028,False,False
antiviral,Antiviral potency (ASAP/Polaris 2025),neg_control,gem36flash,Gemini 3.6 Flash,445,0.4494,clean,0.5237,0.5237,0.9636,0.0016,0.9483,0.0028,False,False
antiviral,Antiviral potency (ASAP/Polaris 2025),neg_control,gem31pro,Gemini 3.1 Pro,458,0.2183,clean,0.5018,0.502,0.9638,0.0016,0.9484,0.0029,False,False
antiviral,Antiviral potency (ASAP/Polaris 2025),neg_control,gpt41,GPT-4.1,458,0.4367,clean,0.491,0.491,0.9637,0.0016,0.9485,0.0028,False,False
antiviral,Antiviral potency (ASAP/Polaris 2025),neg_control,kimik3,Kimi K3,457,0.2188,clean,0.4851,0.4851,0.9637,0.0016,0.9488,0.003,False,False
antiviral,Antiviral potency (ASAP/Polaris 2025),neg_control,minimaxm3,MiniMax M3,453,0.0,clean,0.0083,0.416,0.9639,0.0016,0.9487,0.0029,False,False
antiviral,Antiviral potency (ASAP/Polaris 2025),neg_control,grok45,Grok 4.5,455,0.2198,clean,0.4093,0.4093,0.9637,0.0016,0.949,0.0028,False,False
antiviral,Antiviral potency (ASAP/Polaris 2025),neg_control,gem31flashlite,Gemini 3.1 Flash-Lite,458,1.0917,clean,0.3715,0.3715,0.9637,0.0016,0.9488,0.0027,False,False
antiviral,Antiviral potency (ASAP/Polaris 2025),neg_control,gem25pro,Gemini 2.5 Pro,458,0.0,clean,0.331,0.331,0.9639,0.0016,0.9485,0.0027,False,False
