dataset,benchmark,n_cells,best_model,best_r,best_hit3,best_outcome,n_clean,best_clean_model,best_clean_r,ref_pm5,ref_window,n_beats_pm5,n_beats_window,n_flagged
esol,ESOL / Delaney,22,Claude Opus 5,0.9807,62.0603,flagged,7,Gemini 3.1 Flash-Lite,0.9166,0.9864,0.9789,0,1,15
freesolv,FreeSolv / SAMPL,22,Claude Opus 5,0.9666,40.3646,flagged,8,Gemini 3.1 Flash-Lite,0.8615,0.9883,0.9781,0,0,14
ld50,LD50 (Zhu),22,Gemini 3.5 Flash,0.8037,14.6881,flagged,6,Gemini 2.5 Pro,0.4462,0.9445,0.9097,0,0,16
aqsoldb,AqSolDB,22,Claude Opus 5,0.919,6.823,flagged,7,Claude Sonnet 5,0.8648,0.9918,0.9879,0,0,15
lipophilicity,Lipophilicity,22,Claude Opus 5,0.7591,0.0,clean,21,Claude Opus 5,0.7591,0.9485,0.9146,0,0,1
bace,BACE,22,Claude Opus 5,0.6584,1.4768,clean,22,Claude Opus 5,0.6584,0.9674,0.9567,0,0,0
caco2,Caco-2 (Wang),22,Gemini 3.5 Flash,0.7668,0.4115,clean,22,Gemini 3.5 Flash,0.7668,0.9189,0.8823,0,0,0
ppbr,PPBR (AZ),22,Claude Opus 5,0.6164,1.0246,clean,21,Claude Opus 5,0.6164,0.9856,0.9838,0,0,1
qm7,QM7,22,Grok 4.5,0.795,2.8283,clean,19,Grok 4.5,0.795,0.7901,0.6963,1,2,3
qm8,QM8,22,Claude Opus 5,0.91,2.0,flagged,20,Gemini 3.6 Flash,0.9033,0.8036,0.7118,10,11,2
antiviral,Antiviral potency (ASAP/Polaris 2025),22,Gemini 3.5 Flash,0.6091,0.0,clean,22,Gemini 3.5 Flash,0.6091,0.9638,0.9486,0,0,0
boilingpoint,Wikipedia boiling points,22,GPT-5,1.0,90.2439,flagged,0,,,0.9465,0.9342,18,18,22
