dataset,tag,model,n_mol,n_hit,hit3,regime,r,rho,mae,rmse,medae,r_clip,mae_clip,rmse_clip,n_wild,r_res,rho_res,mae_res,rmse_res,medae_res,r_clip_res,mae_clip_res,rmse_clip_res,n_wild_res,r_res_lo,r_res_hi,dr,dr_clip,drho,dmae,drmse
aqsoldb,opus5,Claude Opus 5,469,33,6.823,partial,0.919,0.9294,0.5696,0.9374,0.32,0.919,0.5696,0.9374,0,0.9149,0.9253,0.6126,0.9722,0.3497,0.9149,0.6126,0.9722,0,0.8927,0.9352,0.0041,0.0041,0.0041,0.0429,0.0348
aqsoldb,gem35flash,Gemini 3.5 Flash,469,36,7.8891,partial,0.8988,0.9244,0.6464,1.1124,0.3591,0.9061,0.637,1.0592,5,0.8927,0.9193,0.6999,1.1577,0.4139,0.9004,0.6898,1.1024,4,0.863,0.9191,0.0061,0.0058,0.0051,0.0536,0.0453
aqsoldb,sol,GPT-5.6 sol,469,35,7.2495,partial,0.8925,0.9027,0.7396,1.1793,0.43,0.8936,0.7372,1.1701,2,0.8829,0.8919,0.7991,1.2259,0.4943,0.884,0.7965,1.2164,1,0.8568,0.9069,0.0096,0.0095,0.0108,0.0595,0.0466
aqsoldb,kimik3,Kimi K3,467,14,2.9979,partial,0.8903,0.9073,0.7817,1.1995,0.4892,0.8903,0.7817,1.1995,0,0.8885,0.9053,0.8058,1.2179,0.4995,0.8885,0.8058,1.2179,0,0.8648,0.9094,0.0018,0.0018,0.002,0.0241,0.0184
aqsoldb,gem36flash,Gemini 3.6 Flash,469,21,4.4776,partial,0.8813,0.9033,0.7075,1.1524,0.3987,0.8869,0.7019,1.1196,3,0.8755,0.8983,0.7406,1.1791,0.424,0.8813,0.7348,1.1456,2,0.8414,0.906,0.0058,0.0056,0.005,0.0331,0.0267
aqsoldb,gem3flash,Gemini 3 Flash,469,26,5.5437,partial,0.8738,0.904,0.7475,1.3176,0.3659,0.8838,0.7317,1.2394,5,0.8704,0.9001,0.7912,1.3557,0.4039,0.8805,0.7745,1.2752,5,0.8403,0.9003,0.0034,0.0033,0.0039,0.0438,0.0381
aqsoldb,gem31pro,Gemini 3.1 Pro,469,30,5.9701,partial,0.8537,0.8977,0.7976,1.4193,0.4318,0.8837,0.7624,1.2083,3,0.8464,0.8901,0.852,1.467,0.4752,0.8775,0.8144,1.2489,3,0.8036,0.8909,0.0072,0.0063,0.0076,0.0543,0.0477
aqsoldb,gpt55,GPT-5.5,469,30,6.1834,partial,0.8758,0.9056,0.7541,1.2599,0.4129,0.8825,0.7447,1.2125,6,0.867,0.8973,0.8055,1.3022,0.4487,0.874,0.7955,1.2533,5,0.8371,0.8962,0.0089,0.0085,0.0082,0.0514,0.0423
aqsoldb,grok45,Grok 4.5,469,24,5.1173,partial,0.8815,0.8862,0.7422,1.1587,0.46,0.8815,0.7422,1.1587,0,0.8769,0.8818,0.7822,1.1896,0.4915,0.8769,0.7822,1.1896,0,0.8475,0.904,0.0046,0.0046,0.0043,0.0399,0.0308
aqsoldb,terra,GPT-5.6 terra,469,18,3.6247,partial,0.8664,0.8977,0.8406,1.3334,0.53,0.8736,0.8283,1.2769,5,0.8597,0.892,0.8741,1.3598,0.55,0.867,0.8612,1.3021,4,0.8311,0.8881,0.0067,0.0065,0.0057,0.0335,0.0263
aqsoldb,gem31flashlite,Gemini 3.1 Flash-Lite,469,8,1.7058,trace,0.8654,0.8839,0.9044,1.3939,0.5287,0.8673,0.8981,1.3748,5,0.8645,0.8822,0.9201,1.4059,0.5425,0.8663,0.9136,1.3867,5,0.8383,0.8886,0.0009,0.0009,0.0016,0.0157,0.012
aqsoldb,sonnet5,Claude Sonnet 5,469,2,0.4264,clean,0.8648,0.8501,0.8513,1.2011,0.6157,0.8648,0.8513,1.2011,0,0.8647,0.8499,0.855,1.2037,0.6174,0.8647,0.855,1.2037,0,0.8305,0.8916,0.0002,0.0002,0.0002,0.0036,0.0026
aqsoldb,gem25pro,Gemini 2.5 Pro,468,2,0.4274,clean,0.8575,0.8656,1.0277,1.5327,0.6911,0.8615,1.0157,1.4889,4,0.8573,0.8651,1.0321,1.536,0.696,0.8613,1.02,1.4921,4,0.826,0.8859,0.0002,0.0002,0.0005,0.0044,0.0033
aqsoldb,luna,GPT-5.6 luna,469,10,2.1322,partial,0.8317,0.874,1.0099,1.6228,0.6443,0.8565,0.9794,1.4538,7,0.8274,0.8703,1.0318,1.6404,0.6585,0.8527,1.0007,1.4695,7,0.7723,0.8712,0.0043,0.0038,0.0038,0.022,0.0176
aqsoldb,minimaxm3,MiniMax M3,457,8,1.7505,trace,0.2706,0.8663,1.2486,7.9759,0.61,0.8551,0.8821,1.2368,2,0.2687,0.8652,1.2708,8.0467,0.6165,0.8528,0.8978,1.2477,2,0.2185,0.8701,0.0019,0.0023,0.0011,0.0222,0.0707
aqsoldb,gpt5,GPT-5,469,5,1.0661,partial,0.8348,0.8337,1.1346,1.6087,0.8427,0.8351,1.1331,1.605,4,0.8342,0.8329,1.1468,1.6174,0.87,0.8345,1.1453,1.6136,4,0.7989,0.8633,0.0006,0.0006,0.0009,0.0122,0.0086
aqsoldb,llama4mav,Llama 4 Maverick,469,1,0.2132,clean,0.7674,0.7678,1.1505,1.5387,0.8764,0.7674,1.1505,1.5387,0,0.7673,0.7673,1.153,1.5403,0.8767,0.7673,1.153,1.5403,0,0.7217,0.805,0.0001,0.0001,0.0005,0.0025,0.0016
aqsoldb,mistrall,Mistral Large 2512,469,2,0.4264,clean,0.7328,0.7129,1.2634,1.6341,1.01,0.7328,1.2634,1.6341,0,0.7328,0.7133,1.2688,1.6376,1.0112,0.7328,1.2688,1.6376,0,0.6741,0.7789,0.0001,0.0001,-0.0004,0.0054,0.0035
aqsoldb,gpt41,GPT-4.1,469,1,0.2132,clean,0.7108,0.7224,1.2916,1.7316,0.9664,0.7115,1.2891,1.7283,4,0.7105,0.722,1.2943,1.7335,0.9672,0.7112,1.2918,1.7301,4,0.6536,0.7577,0.0003,0.0003,0.0004,0.0028,0.0018
aqsoldb,qwen3,Qwen3-235B,469,2,0.4264,clean,0.6358,0.641,1.4909,1.8947,1.224,0.6373,1.4896,1.8919,2,0.6309,0.6386,1.4973,1.8987,1.23,0.6324,1.496,1.8959,2,0.5683,0.687,0.0049,0.0049,0.0023,0.0064,0.0041
aqsoldb,haiku45,Claude Haiku 4.5,457,0,0.0,clean,0.5784,0.6731,1.5354,2.3903,1.0599,0.6337,1.4406,2.1133,31,0.5784,0.6731,1.5354,2.3903,1.0599,0.6337,1.4406,2.1133,31,0.4903,0.662,0.0,0.0,0.0,0.0,0.0
aqsoldb,grok43,Grok 4.3,467,10,1.7131,partial,-0.0543,0.5289,56.7493,929.6106,0.6929,0.5078,1.4947,2.536,59,-0.0552,0.5148,57.9911,939.7263,0.7102,0.4918,1.5274,2.5636,58,-0.141,0.0853,0.001,0.016,0.0141,1.2417,10.1158
esol,opus5,Claude Opus 5,398,248,62.0603,heavy,0.9807,0.975,0.1537,0.37,0.0,0.9807,0.1537,0.37,0,0.9496,0.9362,0.4071,0.6027,0.2455,0.9496,0.4071,0.6027,0,0.9233,0.9676,0.0311,0.0311,0.0388,0.2534,0.2327
esol,grok45,Grok 4.5,397,54,13.3501,heavy,0.9604,0.9512,0.3529,0.5247,0.241,0.9604,0.3529,0.5247,0,0.9496,0.9425,0.4083,0.5645,0.31,0.9496,0.4083,0.5645,0,0.9357,0.9612,0.0108,0.0108,0.0087,0.0555,0.0398
esol,gem35flash,Gemini 3.5 Flash,398,52,12.8141,heavy,0.9579,0.9565,0.3153,0.5553,0.13,0.959,0.3141,0.5473,1,0.9543,0.9519,0.3626,0.5956,0.2,0.9555,0.3611,0.587,1,0.9388,0.9672,0.0036,0.0035,0.0046,0.0473,0.0403
esol,gem31pro,Gemini 3.1 Pro,398,54,13.3166,heavy,0.9582,0.9546,0.3301,0.5431,0.1585,0.9582,0.3301,0.5431,0,0.9508,0.9486,0.3818,0.5842,0.229,0.9508,0.3818,0.5842,0,0.9358,0.963,0.0074,0.0074,0.006,0.0517,0.0411
esol,gpt55,GPT-5.5,398,57,14.0704,heavy,0.9559,0.9533,0.343,0.5606,0.18,0.9559,0.343,0.5606,0,0.9458,0.944,0.4001,0.6056,0.254,0.9458,0.4001,0.6056,0,0.9303,0.9579,0.01,0.01,0.0092,0.0572,0.045
esol,gem36flash,Gemini 3.6 Flash,398,21,5.0251,partial,0.9487,0.9517,0.4245,0.6329,0.29,0.9487,0.4245,0.6329,0,0.947,0.9496,0.4481,0.6503,0.316,0.947,0.4481,0.6503,0,0.9351,0.9592,0.0018,0.0018,0.0021,0.0236,0.0174
esol,gem3flash,Gemini 3 Flash,398,21,5.2764,partial,0.9424,0.9399,0.4178,0.6459,0.2765,0.9471,0.4135,0.6181,1,0.9387,0.9365,0.441,0.6637,0.293,0.9437,0.4365,0.6351,1,0.9191,0.9571,0.0037,0.0034,0.0034,0.0233,0.0177
esol,sol,GPT-5.6 sol,398,50,12.3116,heavy,0.937,0.926,0.4519,0.7118,0.24,0.937,0.4519,0.7118,0,0.9244,0.9145,0.5167,0.7612,0.34,0.9244,0.5167,0.7612,0,0.904,0.9422,0.0126,0.0126,0.0115,0.0648,0.0494
esol,kimik3,Kimi K3,397,31,7.5567,partial,0.937,0.9434,0.4331,0.6687,0.27,0.937,0.4331,0.6687,0,0.9324,0.9387,0.4697,0.6965,0.31,0.9324,0.4697,0.6965,0,0.9151,0.9477,0.0046,0.0046,0.0047,0.0366,0.0277
esol,sonnet5,Claude Sonnet 5,398,9,2.2613,trace,0.9318,0.9237,0.5317,0.7229,0.4115,0.9318,0.5317,0.7229,0,0.9285,0.9216,0.544,0.7312,0.42,0.9285,0.544,0.7312,0,0.9106,0.9429,0.0032,0.0032,0.0021,0.0123,0.0083
esol,gem31flashlite,Gemini 3.1 Flash-Lite,398,1,0.2513,clean,0.9166,0.9211,0.5751,0.7825,0.415,0.9166,0.5751,0.7825,0,0.9166,0.9211,0.5765,0.7835,0.418,0.9166,0.5765,0.7835,0,0.8996,0.9322,0.0001,0.0001,0.0,0.0014,0.001
esol,terra,GPT-5.6 terra,398,23,5.7789,partial,0.9115,0.907,0.5365,0.8004,0.369,0.9115,0.5365,0.8004,0,0.9021,0.9012,0.5694,0.8246,0.396,0.9021,0.5694,0.8246,0,0.878,0.922,0.0094,0.0094,0.0058,0.0329,0.0242
esol,luna,GPT-5.6 luna,398,19,4.7739,partial,0.9034,0.8952,0.6881,0.982,0.525,0.9113,0.6788,0.9323,1,0.8956,0.8902,0.7226,1.0063,0.56,0.9039,0.7128,0.9554,1,0.8715,0.9171,0.0078,0.0074,0.005,0.0345,0.0243
esol,gem25pro,Gemini 2.5 Pro,394,3,0.7614,clean,0.9008,0.8829,0.6515,0.8724,0.483,0.9012,0.6505,0.8694,1,0.9005,0.8826,0.6565,0.8758,0.489,0.9009,0.6555,0.8727,1,0.8779,0.9177,0.0002,0.0002,0.0002,0.005,0.0033
esol,gpt5,GPT-5,397,16,4.0302,partial,0.8857,0.8756,0.7228,0.9864,0.56,0.8871,0.7206,0.9779,2,0.8817,0.8688,0.7531,1.0069,0.588,0.8832,0.7508,0.9983,2,0.8566,0.9044,0.004,0.004,0.0068,0.0303,0.0205
esol,llama4mav,Llama 4 Maverick,398,4,1.005,clean,0.8448,0.8204,0.7889,1.0248,0.615,0.8448,0.7889,1.0248,0,0.8436,0.8182,0.7969,1.03,0.62,0.8436,0.7969,1.03,0,0.8061,0.8696,0.0012,0.0012,0.0022,0.008,0.0052
esol,minimaxm3,MiniMax M3,387,17,4.3928,partial,0.7921,0.8748,0.6578,1.1784,0.45,0.8418,0.6337,1.0163,4,0.7861,0.8704,0.6879,1.2051,0.4895,0.8371,0.6628,1.0394,4,0.6564,0.8884,0.006,0.0047,0.0044,0.0302,0.0268
