dataset,n_label,level,mode_R12,mode_R23,med_abs_value,floor_R12,floor_R23,plugin_R12,plugin_R23,floor_hit1,floor_hit2,floor_hit3,n_prefix_R12,n_prefix_R23,pairs_R12,pairs_R23,widest_R12,widest_R23
antiviral,914,3,14.685185,11.678801,5.225,12.288965,11.158729,12.552633,15.836323,24.119154,2.963994,0.330744,6,48,201270,24734,11,10
aqsoldb,9389,3,12.139468,11.034906,2.6677,10.62106,10.228326,10.946037,13.861929,10.191138,1.082407,0.110712,56,392,8982870,954076,11,11
bace,1428,3,12.596369,24.377747,6.744728,10.867332,18.268156,11.139345,21.428458,21.016059,2.283885,0.417224,8,67,428256,46540,11,11
boilingpoint,41,3,12.736842,18.75,98.38,10.666667,18.75,30.894309,75.609756,18.292683,1.95122,0.365854,9,29,300,32,7,3
caco2,888,3,15.079775,17.4,5.140065,11.372265,13.656443,11.948048,17.203908,35.380674,4.023584,0.549478,5,42,278678,31692,11,11
esol,872,3,11.457471,11.146591,3.215,10.524762,10.98473,13.01988,21.221685,16.057679,1.690033,0.185646,22,101,121960,12836,11,10
freesolv,486,3,10.660569,14.033597,4.03,10.550013,13.138075,13.027061,34.381825,9.610963,1.013958,0.133215,15,120,22654,2390,11,8
ld50,7302,3,12.862777,10.421628,2.367,10.597466,10.0937,10.81878,10.814342,31.897811,3.38036,0.341203,16,96,17005330,1802134,11,11
lipophilicity,2319,3,12.564599,11.078632,2.53,10.612923,10.962388,11.105767,12.738261,30.329636,3.218861,0.352864,5,42,1630352,173028,11,10
ppbr,1578,3,20.231692,25.38015,95.23,18.390014,14.475587,15.689559,26.359456,33.538838,6.167797,0.892825,10,82,834616,153486,11,11
qm7,6833,3,32.594353,15.866618,1550.61,24.804121,11.40624,22.389792,12.130801,50.866571,12.617006,1.439126,7,43,23746070,5890004,11,11
qm8,21786,3,23.254475,12.06398,0.226667,14.726641,10.414461,16.087717,10.126507,50.642994,7.458012,0.776712,8,51,240355706,35396322,11,11
qm9,133885,3,22.064322,12.35073,1753.464714,15.823657,10.2217,16.617952,10.024792,75.682606,11.975756,1.224126,11,69,13566151972,2146661394,11,11
