dataset,tag,recall_map,maxhit_map,prevalence,tokens_lo,tokens_hi,hit3_zero,hit3_peak,gate,gate_ratio,rho_zero,rho_peak,medae_zero,medae_peak,spread_zero,spread_peak,depth4_peak,n_hit3_peak,sig3_zero,sig3_peak,hedging
ld50,gem3flash,72.727,16.946,6.78,0.0,6265.0,1.111,43.889,42.778,39.5,0.372,0.852,0.369,0.043,0.85,2.463,83.544,79,100.0,99.444,0.556
ld50,gem35flash,72.727,16.946,6.78,0.0,2318.0,1.111,37.222,36.111,33.5,0.337,0.835,0.386,0.078,0.875,2.819,14.925,67,100.0,90.0,10.0
ld50,gpt55,72.727,16.946,6.78,0.0,2065.5,0.833,23.333,22.5,28.0,0.147,0.694,0.502,0.165,0.881,0.969,50.0,28,96.667,92.5,4.167
esol,opus5,68.182,62.06,30.508,0.0,125.5,26.667,48.333,21.667,1.812,0.97,0.987,0.17,0.0,1.013,0.969,0.0,87,78.333,79.444,-1.111
qm7,gpt55,13.636,16.233,5.357,0.0,6732.0,0.0,20.0,20.0,66.667,-0.192,0.296,3136.635,18.655,1.62,8.157,8.333,36,100.0,99.444,0.556
freesolv,opus5,63.636,40.365,36.364,0.0,105.0,33.333,47.778,14.444,1.433,0.943,0.962,0.03,0.0,0.981,0.985,6.977,86,78.889,80.0,-1.111
boilingpoint,gem31flashlite,100.0,90.244,86.364,0.0,338.0,59.259,72.816,13.556,1.229,0.991,1.0,0.04,0.0,1.006,1.0,16.0,75,71.852,85.437,-13.585
esol,gem35flash,68.182,62.06,30.508,0.0,1917.5,0.556,13.966,13.411,25.14,0.949,0.982,0.377,0.06,0.992,1.035,0.0,25,82.222,77.095,5.127
ld50,gem31flashlite,72.727,16.946,6.78,0.0,2222.5,0.556,12.222,11.667,22.0,0.036,0.635,0.458,0.209,0.544,0.804,22.727,22,100.0,97.222,2.778
qm7,opus5,13.636,16.233,5.357,0.0,1380.0,1.111,12.36,11.248,11.124,0.575,0.878,170.365,32.855,0.951,1.039,18.182,22,100.0,98.315,1.685
boilingpoint,gem35flash,100.0,90.244,86.364,0.0,349.0,65.185,75.556,10.37,1.159,0.978,1.0,0.02,0.0,1.09,1.0,31.373,102,82.963,89.63,-6.667
boilingpoint,gpt55,100.0,90.244,86.364,0.0,516.0,70.0,77.778,7.778,1.111,0.989,1.0,0.0,0.0,1.038,1.0,32.857,70,92.222,93.333,-1.111
qm7,gem35flash,13.636,16.233,5.357,0.0,17599.0,0.556,7.222,6.667,13.0,0.153,0.444,370.115,103.83,7.049,7.021,7.692,13,100.0,88.889,11.111
esol,gem3flash,68.182,62.06,30.508,0.0,3592.5,1.111,7.222,6.111,6.5,0.947,0.978,0.409,0.248,0.968,0.99,7.692,13,90.556,84.444,6.111
boilingpoint,gem3flash,100.0,90.244,86.364,0.0,1299.0,71.852,77.778,5.926,1.082,0.987,1.0,0.0,0.0,0.994,1.0,36.19,105,91.111,92.593,-1.481
aqsoldb,gem3flash,68.182,7.889,5.085,0.0,5650.5,0.0,5.0,5.0,16.667,0.633,0.794,0.552,0.425,1.53,1.472,33.333,9,99.444,97.222,2.222
aqsoldb,gpt55,68.182,7.889,5.085,0.0,4619.5,0.0,4.444,4.444,14.815,0.588,0.719,0.655,0.37,3.943,1.482,0.0,8,85.0,93.889,-8.889
boilingpoint,opus5,100.0,90.244,86.364,0.0,19.0,68.889,71.852,2.963,1.043,1.0,1.0,0.02,0.0,1.0,1.0,26.804,97,84.444,88.889,-4.444
bace,gpt55,0.0,1.477,0.0,0.0,5115.0,0.556,3.371,2.815,6.067,0.205,0.166,0.981,0.663,2.011,1.174,100.0,6,95.0,93.82,1.18
freesolv,gem35flash,63.636,40.365,36.364,0.0,2995.5,0.556,3.333,2.778,6.0,0.907,0.972,0.58,0.32,1.009,1.092,0.0,6,95.0,88.333,6.667
aqsoldb,gem35flash,68.182,7.889,5.085,0.0,2590.0,0.556,2.778,2.222,5.0,0.686,0.726,0.551,0.521,1.474,1.643,20.0,5,90.556,69.444,21.111
freesolv,gem3flash,63.636,40.365,36.364,0.0,1808.0,0.556,2.778,2.222,5.0,0.911,0.955,0.67,0.345,0.967,1.119,0.0,5,90.0,88.333,1.667
caco2,gpt55,0.0,1.852,1.695,0.0,4660.0,0.0,1.705,1.705,5.682,0.187,0.575,0.675,0.469,0.549,0.858,66.667,3,93.333,96.023,-2.689
bace,gem3flash,0.0,1.477,0.0,0.0,11614.5,0.556,2.222,1.667,4.0,0.168,0.211,1.301,0.726,1.895,2.231,100.0,4,99.444,100.0,-0.556
qm8,opus5,9.091,2.4,1.667,0.0,143.0,1.667,3.333,1.667,2.0,0.871,0.912,0.018,0.013,0.837,0.939,16.667,6,100.0,98.333,1.667
qm8,gem3flash,9.091,2.4,1.667,0.0,7895.5,0.0,1.667,1.667,5.556,0.885,0.905,0.019,0.017,1.018,1.068,0.0,3,100.0,100.0,0.0
aqsoldb,opus5,68.182,7.889,5.085,0.0,119.5,0.556,1.667,1.111,3.0,0.594,0.661,0.469,0.238,1.529,1.477,0.0,3,62.778,58.333,4.444
qm8,gem35flash,9.091,2.4,1.667,0.0,4641.5,0.556,1.667,1.111,3.0,0.884,0.921,0.025,0.012,0.954,0.924,0.0,3,100.0,99.444,0.556
ppbr,gpt55,4.545,2.869,1.667,0.0,4305.5,1.111,2.222,1.111,2.0,0.413,0.376,3.215,2.89,0.963,1.389,0.0,4,84.444,68.333,16.111
caco2,gem3flash,0.0,1.852,1.695,0.0,7019.5,0.0,1.111,1.111,3.704,0.309,0.552,0.599,0.47,0.699,0.823,50.0,2,98.889,94.444,4.444
caco2,opus5,0.0,1.852,1.695,0.0,90.5,0.0,1.111,1.111,3.704,0.558,0.674,0.42,0.4,0.712,0.799,100.0,2,8.889,53.889,-45.0
freesolv,gem31flashlite,63.636,40.365,36.364,0.0,729.0,0.556,1.351,0.796,2.432,0.838,0.826,0.94,0.905,0.994,0.973,0.0,2,92.222,92.568,-0.345
qm7,gem31flashlite,13.636,16.233,5.357,0.0,3815.0,0.556,1.143,0.587,2.057,-0.052,0.235,275.15,247.23,6.355,2.957,0.0,2,99.444,99.429,0.016
ppbr,gem31flashlite,4.545,2.869,1.667,0.0,1798.0,2.778,3.333,0.556,1.2,0.309,0.231,2.36,2.67,0.568,0.772,0.0,6,92.778,86.667,6.111
caco2,gem35flash,0.0,1.852,1.695,0.0,4188.0,0.556,1.111,0.556,2.0,0.308,0.765,0.62,0.39,0.839,1.383,100.0,2,93.889,50.0,43.889
