dataset,tag,model,level,n_mol,n_calls,parsed,reasoning_med,reasoning_mean,cost,hit1,hit2,hit3,floor,p_hit,R23,m2,m3,n_usable,medae,spearman,selfcons
antiviral,gem31flashlite,Gemini 3.1 Flash-Lite,none,60,180,100.0,0.0,0.0,0.0042,35.5263,3.9474,0.0,0.3184,1.0,0.0,6,0,152,0.68,0.1931,0.0
antiviral,gem31flashlite,Gemini 3.1 Flash-Lite,minimal,60,180,100.0,0.0,0.0,0.0042,44.586,4.4586,0.0,0.0,1.0,0.0,6,0,157,0.63,0.1981,0.0
antiviral,gem31flashlite,Gemini 3.1 Flash-Lite,low,51,148,100.0,143.0,144.6081,0.0195,28.8,4.8,0.0,0.8,1.0,0.0,6,0,125,0.85,-0.2277,0.0
antiviral,gem31flashlite,Gemini 3.1 Flash-Lite,medium,60,180,100.0,816.0,803.6278,0.1126,39.0244,4.065,0.0,1.0902,1.0,0.0,5,0,123,0.67,0.1095,0.0
antiviral,gem31flashlite,Gemini 3.1 Flash-Lite,high,60,180,100.0,2525.5,2542.4833,0.3474,32.2034,1.6949,0.0,0.4297,1.0,0.0,2,0,118,0.73,0.1156,0.0
antiviral,gem35flash,Gemini 3.5 Flash,minimal,60,180,100.0,0.0,0.0,0.0251,37.7483,3.9735,0.0,0.6656,1.0,0.0,5,0,151,0.785,0.1399,0.0
antiviral,gem35flash,Gemini 3.5 Flash,low,60,180,100.0,641.0,660.9667,0.5599,39.3939,6.0606,0.0,0.0,1.0,0.0,2,0,33,1.025,-0.0326,1.6667
antiviral,gem35flash,Gemini 3.5 Flash,medium,60,180,100.0,2660.0,2859.5889,2.3406,13.3333,6.6667,0.0,0.0,1.0,0.0,1,0,15,1.005,-0.053,1.6667
antiviral,gem35flash,Gemini 3.5 Flash,high,60,180,100.0,4782.5,5183.4611,4.223,36.8421,0.0,0.0,0.0,1.0,,0,0,19,1.025,0.0444,1.6667
antiviral,gem3flash,Gemini 3 Flash,none,60,180,100.0,0.0,0.0,0.0112,27.7778,3.0864,0.0,0.3096,1.0,0.0,5,0,162,1.0309,0.2254,0.0
antiviral,gem3flash,Gemini 3 Flash,minimal,60,180,100.0,0.0,0.0,0.011,27.9503,1.8634,0.6211,0.0,0.0005,33.3333,3,1,161,1.0069,0.1827,0.0
antiviral,gem3flash,Gemini 3 Flash,low,60,180,100.0,860.5,826.8444,0.2455,19.8758,2.4845,0.0,0.0,1.0,0.0,4,0,161,1.3252,0.0218,0.0
antiviral,gem3flash,Gemini 3 Flash,medium,60,180,100.0,3408.5,3567.2667,0.9752,23.8994,4.4025,0.0,0.0,1.0,0.0,5,0,159,1.0564,-0.0247,0.0
antiviral,gem3flash,Gemini 3 Flash,high,60,180,100.0,13016.5,13089.9444,3.5476,29.1925,0.6211,0.0,0.0,1.0,0.0,1,0,161,1.017,-0.0445,0.0
antiviral,opus5,Claude Opus 5,high,60,180,100.0,72.0,69.8611,0.5686,100.0,0.0,0.0,0.0,1.0,,0,0,1,0.66,-0.0845,15.0
aqsoldb,gem31flashlite,Gemini 3.1 Flash-Lite,none,60,180,100.0,0.0,0.0,0.0038,37.7143,5.7143,0.0,0.0,1.0,0.0,9,0,175,0.5602,0.6808,1.6667
aqsoldb,gem31flashlite,Gemini 3.1 Flash-Lite,minimal,60,180,100.0,0.0,0.0,0.0038,34.4828,2.8736,0.5747,0.2822,0.4913,33.3333,3,1,174,0.5819,0.64,1.6667
aqsoldb,gem31flashlite,Gemini 3.1 Flash-Lite,low,60,180,100.0,144.0,147.05,0.0236,40.9357,5.848,0.5848,0.8684,0.8656,12.5,8,1,171,0.5749,0.6299,0.0
aqsoldb,gem31flashlite,Gemini 3.1 Flash-Lite,medium,60,174,100.0,704.5,725.6264,0.0983,46.7066,11.976,0.0,0.8967,1.0,0.0,19,0,167,0.4411,0.6697,1.6949
aqsoldb,gem31flashlite,Gemini 3.1 Flash-Lite,high,60,180,100.0,1839.0,2150.2,0.294,44.186,9.3023,0.5814,0.593,0.7566,7.1429,14,1,172,0.4644,0.626,0.0
aqsoldb,gem35flash,Gemini 3.5 Flash,minimal,60,180,100.0,0.0,0.0,0.0227,46.0123,5.5215,0.6135,0.2963,0.4833,12.5,8,1,163,0.5511,0.6859,0.0
aqsoldb,gem35flash,Gemini 3.5 Flash,low,60,180,100.0,521.0,556.1167,0.4729,45.0,9.2857,2.8571,0.3557,0.0005,36.3636,11,4,140,0.487,0.7194,0.0
aqsoldb,gem35flash,Gemini 3.5 Flash,medium,60,180,100.0,1865.0,2029.6611,1.6664,47.3684,14.0351,3.5088,0.4303,0.0005,26.6667,15,4,114,0.5118,0.7308,8.3333
aqsoldb,gem35flash,Gemini 3.5 Flash,high,60,180,100.0,2590.0,2872.8278,2.3522,44.0,13.6,4.0,0.7888,0.0005,35.7143,14,5,125,0.5157,0.748,10.0
aqsoldb,gem3flash,Gemini 3 Flash,none,60,180,100.0,0.0,0.0,0.0079,38.5475,3.352,0.0,0.0,1.0,0.0,6,0,179,0.575,0.6798,0.0
aqsoldb,gem3flash,Gemini 3 Flash,minimal,60,180,100.0,0.0,0.0,0.0079,37.4302,3.9106,0.0,0.2729,1.0,0.0,7,0,179,0.5521,0.6335,0.0
aqsoldb,gem3flash,Gemini 3 Flash,low,60,180,100.0,821.0,828.5389,0.2327,45.4023,12.069,2.2989,0.2891,0.0005,20.0,20,4,174,0.4247,0.6481,3.3333
aqsoldb,gem3flash,Gemini 3 Flash,medium,60,180,100.0,2461.0,2657.5,0.7256,43.4286,12.5714,5.1429,0.0,0.0005,42.8571,21,9,175,0.4252,0.7939,3.3333
aqsoldb,gem3flash,Gemini 3 Flash,high,60,180,100.0,5650.5,6256.4944,1.697,47.619,12.5,2.9762,0.5926,0.0005,26.3158,19,5,168,0.3949,0.7574,3.3333
aqsoldb,gpt55,GPT-5.5,none,60,180,100.0,0.0,0.0,0.0878,36.6013,7.1895,0.0,0.3261,1.0,0.0,11,0,153,0.6546,0.5885,0.0
aqsoldb,gpt55,GPT-5.5,minimal,60,180,100.0,516.0,616.2222,1.7569,50.2959,11.8343,4.7337,0.597,0.0005,44.4444,18,8,169,0.3697,0.7193,1.6667
aqsoldb,gpt55,GPT-5.5,low,60,180,100.0,516.0,633.9778,1.8049,44.7853,14.7239,3.0675,0.0,0.0005,25.0,20,5,163,0.4484,0.6983,6.6667
aqsoldb,gpt55,GPT-5.5,medium,60,180,98.8889,4619.5,4193.7333,11.4159,48.7654,10.4938,3.0864,0.0,0.0005,33.3333,15,5,162,0.4628,0.7144,3.3333
aqsoldb,opus5,Claude Opus 5,none,60,180,100.0,0.0,0.0,0.2106,46.0177,7.9646,0.885,0.4345,0.4913,16.6667,6,1,113,0.4694,0.5936,0.0
aqsoldb,opus5,Claude Opus 5,minimal,60,180,100.0,30.0,30.6056,0.3483,58.6957,14.1304,0.0,0.5375,1.0,0.0,10,0,92,0.2963,0.6558,1.6667
aqsoldb,opus5,Claude Opus 5,low,60,180,100.0,31.0,29.9111,0.3452,64.1975,13.5802,1.2346,3.7037,1.0,11.1111,9,1,81,0.3102,0.6508,3.3333
aqsoldb,opus5,Claude Opus 5,medium,60,180,100.0,70.0,72.2111,0.5355,66.0377,12.2642,0.0,0.0,1.0,0.0,11,0,106,0.2688,0.6524,0.0
aqsoldb,opus5,Claude Opus 5,high,60,180,100.0,119.5,126.0056,0.7776,61.9048,12.381,2.8571,0.4857,0.0005,25.0,12,3,105,0.2383,0.661,1.6667
bace,gem31flashlite,Gemini 3.1 Flash-Lite,none,60,180,100.0,0.0,0.0,0.0049,41.7143,2.2857,0.0,0.2954,1.0,0.0,4,0,175,0.558,0.1397,0.0
bace,gem31flashlite,Gemini 3.1 Flash-Lite,minimal,60,180,100.0,0.0,0.0,0.0049,43.3526,5.7803,0.578,0.1142,0.1979,10.0,10,1,173,0.5341,0.3204,0.0
bace,gem31flashlite,Gemini 3.1 Flash-Lite,low,60,171,100.0,159.0,160.4269,0.0252,16.4557,0.6329,0.0,0.0,1.0,0.0,1,0,158,1.0708,0.2451,0.0
bace,gem31flashlite,Gemini 3.1 Flash-Lite,medium,60,180,100.0,830.0,828.4444,0.1167,39.2308,3.0769,0.0,0.3715,1.0,0.0,4,0,130,0.5733,0.1507,0.0
bace,gem31flashlite,Gemini 3.1 Flash-Lite,high,60,180,100.0,2326.5,2384.6,0.3267,32.967,4.3956,0.0,0.0,1.0,0.0,4,0,91,0.5544,0.2989,0.0
bace,gem35flash,Gemini 3.5 Flash,minimal,60,180,100.0,0.0,0.0,0.0293,20.904,2.2599,0.0,0.0,1.0,0.0,4,0,177,1.2303,0.1929,0.0
bace,gem35flash,Gemini 3.5 Flash,low,60,180,100.0,642.0,666.5333,0.5687,32.0,2.0,0.0,0.0,1.0,0.0,1,0,50,0.5277,0.3432,1.6667
bace,gem35flash,Gemini 3.5 Flash,medium,60,180,100.0,2818.0,3129.4056,2.5651,44.0,4.0,4.0,5.954,1.0,100.0,1,1,25,0.3788,0.2747,15.0
bace,gem35flash,Gemini 3.5 Flash,high,60,180,100.0,5204.5,5618.7889,4.5799,55.102,6.1224,2.0408,2.0408,1.0,33.3333,3,1,49,0.3979,0.2087,1.6667
bace,gem3flash,Gemini 3 Flash,none,60,180,100.0,0.0,0.0111,0.0103,13.6364,0.0,0.0,0.0,1.0,,0,0,176,1.2533,0.2481,0.0
bace,gem3flash,Gemini 3 Flash,minimal,60,180,100.0,0.0,0.0,0.0102,14.6893,0.565,0.565,0.565,1.0,100.0,1,1,177,1.3008,0.1683,0.0
bace,gem3flash,Gemini 3 Flash,low,60,180,100.0,837.5,858.0389,0.2432,27.6836,3.3898,2.2599,2.1992,0.6547,66.6667,6,4,177,0.7264,0.2113,0.0
bace,gem3flash,Gemini 3 Flash,medium,60,180,100.0,3560.5,3745.1111,1.0235,42.3313,3.681,1.8405,1.4337,0.4453,50.0,6,3,163,0.5535,0.2063,1.6667
bace,gem3flash,Gemini 3 Flash,high,60,180,100.0,11614.5,12015.1944,3.2575,40.1274,1.2739,0.0,0.5261,1.0,0.0,2,0,157,0.5096,0.36,1.6667
bace,gpt55,GPT-5.5,none,60,180,100.0,0.0,0.0,0.1113,26.6272,2.3669,0.5917,0.8973,0.949,25.0,4,1,169,0.9814,0.2055,1.6667
bace,gpt55,GPT-5.5,minimal,60,180,100.0,516.0,638.3556,1.8373,50.8333,5.8333,0.8333,1.8225,0.946,14.2857,7,1,120,0.435,0.1596,0.0
bace,gpt55,GPT-5.5,low,60,180,100.0,516.0,618.2278,1.7835,40.8759,1.4599,0.0,0.7617,1.0,0.0,2,0,137,0.4231,0.2079,0.0
bace,gpt55,GPT-5.5,medium,60,180,98.8889,5115.0,4945.7778,13.4691,37.8049,6.7073,3.6585,2.0412,0.0585,54.5455,11,6,164,0.6634,0.166,3.3333
bace,opus5,Claude Opus 5,low,60,180,100.0,0.0,6.0167,0.3019,100.0,0.0,0.0,0.0,1.0,,0,0,1,0.4546,0.4824,6.6667
bace,opus5,Claude Opus 5,medium,60,180,100.0,49.0,50.7,0.503,71.4286,0.0,0.0,0.0,1.0,,0,0,7,0.5079,0.3802,8.3333
bace,opus5,Claude Opus 5,high,60,180,100.0,95.0,101.6333,0.7322,53.6585,19.5122,0.0,4.878,1.0,0.0,8,0,41,0.5969,0.3562,8.3333
boilingpoint,gem31flashlite,Gemini 3.1 Flash-Lite,none,45,135,100.0,0.0,0.0,0.0021,100.0,91.9192,84.8485,9.0909,0.0005,92.3077,91,84,99,0.04,0.9964,71.1111
boilingpoint,gem31flashlite,Gemini 3.1 Flash-Lite,minimal,45,135,100.0,0.0,0.0,0.0021,100.0,93.617,85.1064,8.5106,0.0005,90.9091,88,80,94,0.04,0.9908,68.8889
boilingpoint,gem31flashlite,Gemini 3.1 Flash-Lite,low,45,135,100.0,119.0,119.037,0.0142,100.0,94.0,86.0,9.0,0.0005,91.4894,94,86,100,0.02,0.9999,75.5556
