dataset,level,n_zero,n_think,hit_zero,hit_think,med_tok_think,n_common_mol,hit_zero_c,hit_think_c,lift
antiviral,medium,74,88,0.0,0.0,42.0,34,0.0,0.0,
aqsoldb,low,58,122,1.7241379310344827,1.639344262295082,40.0,20,3.571428571428571,0.0,0.9508196721311476
aqsoldb,minimal,54,126,5.555555555555555,1.5873015873015872,39.5,17,10.0,0.0,0.2857142857142857
bace,low,141,36,3.546099290780142,0.0,29.0,19,6.666666666666667,0.0,0.0
bace,minimal,147,30,2.0408163265306123,6.666666666666667,28.0,18,3.0303030303030303,4.761904761904762,3.2666666666666666
boilingpoint,low,93,33,82.79569892473118,75.75757575757575,15.0,11,94.44444444444444,100.0,0.9149940968122785
boilingpoint,medium,32,94,78.125,82.97872340425532,18.5,14,65.0,68.18181818181817,1.0621276595744682
boilingpoint,minimal,96,30,77.08333333333334,76.66666666666667,15.0,10,86.66666666666667,86.66666666666667,0.9945945945945945
caco2,medium,91,83,0.0,1.2048192771084338,56.0,30,0.0,0.0,
freesolv,low,18,132,72.22222222222221,43.93939393939394,34.5,11,58.333333333333336,47.61904761904761,0.6083916083916084
freesolv,minimal,17,133,52.94117647058824,45.86466165413533,34.0,10,72.72727272727273,68.42105263157895,0.8663324979114451
ld50,low,104,76,0.9615384615384616,19.736842105263158,58.0,19,0.0,14.285714285714285,20.526315789473685
ld50,minimal,120,60,0.0,26.666666666666668,57.5,26,0.0,20.51282051282051,
ppbr,low,45,135,0.0,3.7037037037037033,14.0,22,0.0,0.0,
ppbr,minimal,43,137,4.651162790697675,2.9197080291970803,15.0,19,9.090909090909092,2.857142857142857,0.6277372262773723
qm8,low,27,153,3.7037037037037033,2.6143790849673203,45.0,16,4.166666666666666,4.166666666666666,0.7058823529411765
qm8,minimal,28,152,0.0,5.921052631578947,46.5,21,0.0,2.857142857142857,
