tag,level,reasoning_tokens,completion,cost,finish,answered,text
kimik3,none,0,10,0.000795,stop,True,2.097
kimik3,minimal,1146,1159,0.018234,stop,True,2.97
kimik3,low,406,424,0.007095,stop,True,2.79
kimik3,medium,116,134,0.0020835,stop,True,2.712
kimik3,high,7734,7752,0.117015,stop,True,2.505
opus5,none,0,5,0.00133,stop,True,2.35
opus5,minimal,0,5,0.00133,stop,True,2.35
opus5,low,31,36,0.002105,stop,True,2.60
opus5,medium,83,88,0.003405,stop,True,2.60
opus5,high,139,144,0.004805,stop,True,2.55
sol,none,0,7,0.00051,stop,True,2.468
sol,minimal,331,340,0.005505,stop,True,2.183
sol,low,424,433,0.0069,stop,True,2.183
