dataset,tag,index,group,mol_id,smiles,count,present
esol,opus5,v4_dolma-v1_7_llama,reproduced,1-Heptene,CCCCCC=C,1.0,True
esol,opus5,v4_dolma-v1_7_llama,reproduced,3-Methylpentane,CCC(C)CC,26.0,True
esol,opus5,v4_dolma-v1_7_llama,reproduced,Glycerol,OCC(O)CO,9.0,True
esol,opus5,v4_dolma-v1_7_llama,reproduced,adrenosterone,CC34CC(=O)C1C(CCC2=CC(=O)CCC12C)C3CCC4(=O),1.0,True
esol,opus5,v4_dolma-v1_7_llama,reproduced,p-Nitroaniline,Nc1ccc(cc1)N(=O)=O,0.0,False
esol,opus5,v4_dolma-v1_7_llama,reproduced,"3,4-Dimethylphenol",Cc1ccc(O)cc1C,2.0,True
esol,opus5,v4_dolma-v1_7_llama,reproduced,Heptachlor,ClC1C=CC2C1C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,0.0,False
esol,opus5,v4_dolma-v1_7_llama,reproduced,Phenacetin,CCOc1ccc(NC(=O)C)cc1,0.0,False
esol,opus5,v4_dolma-v1_7_llama,reproduced,Propylisopropylether,CCCOC(C)C,1.0,True
esol,opus5,v4_dolma-v1_7_llama,reproduced,Benzophenone,O=C(c1ccccc1)c2ccccc2,0.0,False
esol,opus5,v4_dolma-v1_7_llama,reproduced,9-Methylanthracene,Cc1c2ccccc2cc3ccccc13,0.0,False
esol,opus5,v4_dolma-v1_7_llama,reproduced,Triadimefon,CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)n2cncn2,0.0,False
esol,opus5,v4_dolma-v1_7_llama,reproduced,"2,2',3,3',4,4',5,5'-PCB",Clc1cc(c(Cl)c(Cl)c1Cl)c2cc(Cl)c(Cl)c(Cl)c2Cl,0.0,False
esol,opus5,v4_dolma-v1_7_llama,reproduced,uric acid,O=c2[nH]c(=O)c1[nH]c(=O)[nH]c1[nH]2,0.0,False
esol,opus5,v4_dolma-v1_7_llama,reproduced,4-Ethyltoluene,CCc1ccc(C)cc1,0.0,False
esol,opus5,v4_dolma-v1_7_llama,reproduced,Permethrin,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc2cccc(Oc3ccccc3)c2,0.0,False
esol,opus5,v4_dolma-v1_7_llama,reproduced,p-Nitroanisole,COc1ccc(cc1)N(=O)=O,0.0,False
esol,opus5,v4_dolma-v1_7_llama,reproduced,Cyclobutyl-5-spirobarbituric acid,O=C2NC(=O)C1(CCC1)C(=O)N2,1.0,True
esol,opus5,v4_dolma-v1_7_llama,reproduced,Fenthion,COP(=S)(OC)Oc1ccc(SC)c(C)c1,0.0,False
esol,opus5,v4_dolma-v1_7_llama,reproduced,Isopropalin,CCCN(CCC)c1c(cc(cc1N(=O)=O)C(C)C)N(=O)=O,0.0,False
esol,opus5,v4_dolma-v1_7_llama,reproduced,"2,4,5-Trichlorophenol",Oc1cc(Cl)c(Cl)cc1Cl,0.0,False
esol,opus5,v4_dolma-v1_7_llama,reproduced,2-Methylpentane,CCCC(C)C,6.0,True
esol,opus5,v4_dolma-v1_7_llama,reproduced,4-Bromophenol,Oc1ccc(Br)cc1,1.0,True
esol,opus5,v4_dolma-v1_7_llama,reproduced,4-Bromotoluene,Cc1ccc(Br)cc1,2.0,True
esol,opus5,v4_dolma-v1_7_llama,reproduced,Dialifos,CCOP(=S)(OCC)SC(CCl)N2C(=O)c1ccccc1C2=O,0.0,False
esol,opus5,v4_dolma-v1_7_llama,reproduced,Methyl octanoate,CCCCCCCC(=O)OC,1.0,True
esol,opus5,v4_dolma-v1_7_llama,reproduced,Stirofos,COP(=O)(OC)OC(=CCl)c1cc(Cl)c(Cl)cc1Cl,0.0,False
esol,opus5,v4_dolma-v1_7_llama,reproduced,"1,4-Dimethylnaphthalene",Cc1ccc(C)c2ccccc12,0.0,False
esol,opus5,v4_dolma-v1_7_llama,reproduced,Carbetamide,c1c(NC(=O)OC(C)C(=O)NCC)cccc1,0.0,False
esol,opus5,v4_dolma-v1_7_llama,reproduced,mercaptobenzothiazole,Sc2nc1ccccc1s2,0.0,False
esol,opus5,v4_dolma-v1_7_llama,reproduced,Chrysene,c1ccc2c(c1)ccc3c4ccccc4ccc23,0.0,False
esol,opus5,v4_dolma-v1_7_llama,reproduced,Hydrocortisone 21-acetate,CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,0.0,False
esol,opus5,v4_dolma-v1_7_llama,reproduced,Napropamide,CCN(CC)C(=O)C(C)Oc1cccc2ccccc12,0.0,False
esol,opus5,v4_dolma-v1_7_llama,reproduced,1-Decene,CCCCCCCCC=C,1.0,True
esol,opus5,v4_dolma-v1_7_llama,reproduced,p-t-Butylphenol,CC(C)(C)c1ccc(O)cc1,0.0,False
esol,opus5,v4_dolma-v1_7_llama,reproduced,"2,6-PCB",Clc1cccc(Cl)c1c2ccccc2,0.0,False
esol,opus5,v4_dolma-v1_7_llama,reproduced,4-Chlorotoluene,Cc1ccc(Cl)cc1,1.0,True
esol,opus5,v4_dolma-v1_7_llama,reproduced,Piperophos,CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,1.0,True
esol,opus5,v4_dolma-v1_7_llama,reproduced,2-Methylphenanthrene,Cc1ccc2c(ccc3ccccc32)c1,0.0,False
esol,opus5,v4_dolma-v1_7_llama,reproduced,Dapsone,Nc1ccc(cc1)S(=O)(=O)c2ccc(N)cc2,0.0,False
esol,opus5,v4_dolma-v1_7_llama,reproduced,Mefenacet,CN(C(=O)COc1nc2ccccc2s1)c3ccccc3,1.0,True
esol,opus5,v4_dolma-v1_7_llama,reproduced,"2,4-Dichlorophenol",Oc1ccc(Cl)cc1Cl,0.0,False
esol,opus5,v4_dolma-v1_7_llama,reproduced,4-Methylbiphenyl,Cc1ccc(cc1)c2ccccc2,0.0,False
esol,opus5,v4_dolma-v1_7_llama,reproduced,Phenetole,CCOc1ccccc1,5.0,True
esol,opus5,v4_dolma-v1_7_llama,reproduced,Anthracene,c1ccc2cc3ccccc3cc2c1,1.0,True
esol,opus5,v4_dolma-v1_7_llama,reproduced,Sulfanilamide,Nc1ccc(cc1)S(N)(=O)=O,0.0,False
esol,opus5,v4_dolma-v1_7_llama,reproduced,Pyrolan,CN(C)C(=O)Oc1cc(C)nn1c2ccccc2,1.0,True
esol,opus5,v4_dolma-v1_7_llama,reproduced,Norea,CN(C)C(=O)NC1CC2CC1C3CCCC23,0.0,False
esol,opus5,v4_dolma-v1_7_llama,reproduced,Hexachloroethane,ClC(Cl)(Cl)C(Cl)(Cl)Cl,0.0,False
esol,opus5,v4_dolma-v1_7_llama,reproduced,Isoprocarb,CNC(=O)Oc1ccccc1C(C)C,0.0,False
esol,opus5,v4_dolma-v1_7_llama,reproduced,"2,2-Dimethylbutane",CCC(C)(C)C,3.0,True
esol,opus5,v4_dolma-v1_7_llama,reproduced,adenine,Nc1ncnc2nc[nH]c12,0.0,False
esol,opus5,v4_dolma-v1_7_llama,reproduced,Xipamide,Cc1cccc(C)c1NC(=O)c2cc(c(Cl)cc2O)S(N)(=O)=O,0.0,False
esol,opus5,v4_dolma-v1_7_llama,reproduced,"1,3,5-Trichlorobenzene",Clc1cc(Cl)cc(Cl)c1,0.0,False
esol,opus5,v4_dolma-v1_7_llama,reproduced,p-Chloroacetanilide,CC(=O)Nc1ccc(Cl)cc1,0.0,False
esol,opus5,v4_dolma-v1_7_llama,reproduced,Menthone,CC(C)C1CCC(C)CC1=O,0.0,False
esol,opus5,v4_dolma-v1_7_llama,reproduced,Fenarimol,OC(c1ccc(Cl)cc1)(c2cncnc2)c3ccccc3Cl,0.0,False
esol,opus5,v4_dolma-v1_7_llama,reproduced,Trietazine,CCNc1nc(Cl)nc(n1)N(CC)CC,0.0,False
esol,opus5,v4_dolma-v1_7_llama,reproduced,Thymol,CC(C)c1ccc(C)cc1O,0.0,False
esol,opus5,v4_dolma-v1_7_llama,reproduced,Tricresyl phosphate,Cc1ccc(OP(=O)(Oc2cccc(C)c2)Oc3ccccc3C)cc1,1.0,True
esol,opus5,v4_dolma-v1_7_llama,reproduced,Dicofol,OC(c1ccc(Cl)cc1)(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,0.0,False
esol,opus5,v4_dolma-v1_7_llama,reproduced,Tetrabromomethane,BrC(Br)(Br)Br,0.0,False
esol,opus5,v4_dolma-v1_7_llama,reproduced,"9,10-Dimethylanthracene",Cc1c2ccccc2c(C)c3ccccc13,0.0,False
esol,opus5,v4_dolma-v1_7_llama,reproduced,Diethyl phthalate,CCOC(=O)c1ccccc1C(=O)OCC,0.0,False
