model,r_can,r_rand,rmse_can,rmse_rand,hit3_can,hit3_rand,chance,R23_can,R23_rand,drop
Claude Opus 4.8,0.958,0.951,0.631,0.688,26.27,20.75,0.28,79.8,78.0,5.52
Claude Sonnet 5,0.947,0.944,0.706,0.728,2.13,3.6,0.27,25.0,38.0,-1.47
Gemini 3.5 Flash,0.933,0.234,0.782,7.38,10.83,10.53,0.22,38.9,38.6,0.3
Gemini 3.1 Pro,0.967,0.962,0.535,0.572,8.9,8.15,0.19,34.1,33.3,0.75
Gemini 3 Flash,0.86,0.848,1.173,1.239,3.65,4.04,0.21,25.7,28.2,-0.38
GLM 5.2,0.856,0.836,1.149,1.187,1.2,0.82,0.2,26.7,16.9,0.38
GPT-5.6 terra,0.854,0.856,1.197,1.214,0.65,0.79,0.2,13.1,20.2,-0.14
Gemini 2.5 Pro,0.853,0.844,1.193,1.205,0.53,0.57,0.21,15.7,19.7,-0.04
Gemini 3.1 Flash-Lite,0.9,0.892,1.01,1.059,0.4,0.53,0.22,9.7,14.8,-0.13
GPT-5,0.823,0.799,1.223,1.294,0.32,0.58,0.22,7.7,17.7,-0.27
GPT-4.1,0.814,0.798,1.295,1.376,0.34,0.29,0.19,8.9,11.5,0.05
Claude Haiku 4.5,0.074,0.047,20.965,36.702,0.48,0.49,0.17,16.4,17.5,-0.01
Qwen3-235B,0.012,0.017,149.686,19065785.617,0.38,0.49,0.2,13.0,20.9,-0.11
