dataset,tag,hit3_lo,hit3_all_lo,R12_lo,R23_lo,m1_lo,m2_lo,m3_lo,n_usable_lo,regime_lo,verdict_lo,spearman_lo,medae_lo,think_lo,cost_lo,floor_R12_lo,floor_R23_lo,hit3_hi,hit3_all_hi,R12_hi,R23_hi,m1_hi,m2_hi,m3_hi,n_usable_hi,regime_hi,verdict_hi,spearman_hi,medae_hi,think_hi,cost_hi,floor_R12_hi,floor_R23_hi,model,d_hit3,d_R23,d_rho,d_medae,flag_lo,flag_hi,crossed
antiviral,gem25pro,0.2183,0.2,9.4891,7.6923,137,13,1,458,clean,clean,0.2926,0.86,950.0,2.4546,14.685185,11.678801,0.0,0.0,8.4967,0.0,153,13,0,458,clean,clean,0.2943,0.8,756.5,1.9384,14.685185,11.678801,Gemini 2.5 Pro,-0.2183,-7.6923,0.0016999999999999793,-0.05999999999999994,False,False,False
antiviral,gem31flashlite,0.4367,0.4,12.5,9.5238,168,21,2,458,clean,clean,0.2599,0.69,0.0,0.0122,14.685185,11.678801,1.0917,1.0,11.8421,27.7778,152,18,5,458,clean,clean,0.3214,0.835,853.0,0.3319,14.685185,11.678801,Gemini 3.1 Flash-Lite,0.6549999999999999,18.253999999999998,0.0615,0.14500000000000002,False,False,False
antiviral,gem31pro,0.2183,0.2,12.0,6.6667,125,15,1,458,clean,clean,0.3526,0.81,227.0,0.8391,14.685185,11.678801,0.2183,0.2,7.7519,10.0,129,10,1,458,clean,clean,0.4224,0.75,417.0,1.4275,14.685185,11.678801,Gemini 3.1 Pro,0.0,3.3333000000000004,0.06979999999999997,-0.06000000000000005,False,False,False
antiviral,gem35flash,0.0,0.0,12.2302,0.0,139,17,0,458,clean,clean,0.357,0.81,0.0,0.0735,14.685185,11.678801,0.0,0.0,10.3261,0.0,184,19,0,458,clean,clean,0.4851,0.64,753.0,1.8238,14.685185,11.678801,Gemini 3.5 Flash,0.0,0.0,0.1281,-0.17000000000000004,False,False,False
antiviral,gem36flash,0.2183,0.2,10.5634,6.6667,142,15,1,458,clean,clean,0.3803,0.84,0.0,0.0713,14.685185,11.678801,0.4494,0.4124,8.6667,15.3846,150,13,2,445,clean,clean,0.4523,0.77,481.5,1.296,14.685185,11.678801,Gemini 3.6 Flash,0.23110000000000003,8.7179,0.07199999999999995,-0.06999999999999995,False,False,False
antiviral,gem3flash,0.655,0.6,11.6129,16.6667,155,18,3,458,clean,clean,0.4502,0.7,0.0,0.0245,14.685185,11.678801,0.0,0.0,10.3896,0.0,154,16,0,458,clean,clean,0.4615,0.76,889.0,0.6864,14.685185,11.678801,Gemini 3 Flash,-0.655,-16.6667,0.011300000000000032,0.06000000000000005,False,False,False
antiviral,gpt41,0.8734,0.8,10.0917,36.3636,109,11,4,458,clean,clean,0.3917,1.15,0.0,0.1931,14.685185,11.678801,0.4367,0.4,5.2632,33.3333,114,6,2,458,clean,clean,0.45,1.205,0.0,0.1931,14.685185,11.678801,GPT-4.1,-0.4367,-3.030299999999997,0.05830000000000002,0.05500000000000016,False,False,False
antiviral,gpt5,0.2183,0.2,11.4286,8.3333,105,12,1,458,clean,clean,0.2145,0.9933,0.0,0.215,14.685185,11.678801,0.4415,0.4049,11.7647,20.0,85,10,2,453,clean,clean,0.2572,1.305,640.0,3.9824,14.685185,11.678801,GPT-5,0.2232,11.6667,0.04269999999999999,0.3117,False,False,False
antiviral,gpt55,0.2183,0.2,9.3525,7.6923,139,13,1,458,clean,clean,0.316,0.78,0.0,0.2726,14.685185,11.678801,0.0,0.0,7.8788,0.0,165,13,0,458,clean,clean,0.475,0.73,516.0,4.9935,14.685185,11.678801,GPT-5.5,-0.2183,-7.6923,0.15899999999999997,-0.050000000000000044,False,False,False
antiviral,grok43,0.0,0.0,2.7397,0.0,73,2,0,458,clean,clean,0.0214,1.47,0.0,0.1052,14.685185,11.678801,0.2392,0.2188,10.0917,9.0909,109,11,1,418,clean,clean,0.2219,1.2,1549.5,2.1611,14.685185,11.678801,Grok 4.3,0.2392,9.0909,0.20049999999999998,-0.27,False,False,False
antiviral,grok45,0.4386,0.4016,13.4328,11.1111,134,18,2,456,clean,clean,0.3795,0.845,332.0,1.2406,14.685185,11.678801,0.2198,0.2012,10.7692,7.1429,130,14,1,455,clean,clean,0.3706,0.87,944.5,3.1355,14.685185,11.678801,Grok 4.5,-0.2188,-3.9682000000000004,-0.008900000000000019,0.025000000000000022,False,False,False
antiviral,haiku45,0.4367,0.4,7.8125,20.0,128,10,2,458,clean,clean,0.1743,0.89,0.0,0.135,14.685185,11.678801,0.0,0.0,0.0,,7,0,0,458,no-signal,no-signal,-0.0203,3.285,421.5,1.5335,14.685185,11.678801,Claude Haiku 4.5,-0.4367,,-0.1946,2.395,False,False,False
antiviral,kimik3,0.2183,0.2,15.4472,5.2632,123,19,1,458,clean,clean,0.2707,0.89,0.0,0.4199,14.685185,11.678801,0.2188,0.2004,8.7591,8.3333,137,12,1,457,clean,clean,0.3964,0.8433,417.5,10.9139,14.685185,11.678801,Kimi K3,0.0005000000000000004,3.070099999999999,0.12569999999999998,-0.046699999999999964,False,False,False
antiviral,llama4mav,0.0,0.0,7.7922,0.0,154,12,0,458,clean,clean,0.1075,0.8,0.0,0.0213,14.685185,11.678801,0.4367,0.4,8.3871,15.3846,155,13,2,458,clean,clean,0.168,0.78,0.0,0.0216,14.685185,11.678801,Llama 4 Maverick,0.4367,15.3846,0.06050000000000001,-0.020000000000000018,False,False,False
antiviral,luna,0.655,0.6,10.0,17.6471,170,17,3,458,clean,clean,0.3404,0.8,0.0,0.0055,14.685185,11.678801,0.2183,0.2,7.6433,8.3333,157,12,1,458,clean,clean,0.4432,0.855,516.0,0.474,14.685185,11.678801,GPT-5.6 luna,-0.43670000000000003,-9.313799999999999,0.1028,0.05499999999999994,False,False,False
antiviral,minimaxm3,0.0,0.0,10.8911,0.0,101,11,0,458,clean,clean,0.2351,1.07,0.0,1.0805,14.685185,11.678801,0.0,0.0,5.8824,0.0,119,7,0,453,clean,clean,0.3702,0.88,3109.0,3.575,14.685185,11.678801,MiniMax M3,0.0,0.0,0.13509999999999997,-0.19000000000000006,False,False,False
antiviral,mistrall,0.0,0.0,8.6538,0.0,104,9,0,458,clean,clean,0.2196,1.21,0.0,0.0263,14.685185,11.678801,0.0,0.0,8.8235,0.0,102,9,0,458,clean,clean,0.2333,1.16,0.0,0.0254,14.685185,11.678801,Mistral Large 2512,0.0,0.0,0.013700000000000018,-0.050000000000000044,False,False,False
