dataset,tag,arm,model,regime,medae,hit3,hit3_lo,bin_floor,smooth_floor,R12,R12_bin_floor,R12_smooth_floor,R23,R23_lo,R23_bin_floor,R23_smooth_floor,R13_smooth_floor,hit1_smooth_floor,excess_bin,excess_smooth,R23_excess_smooth,R12_excess_smooth
antiviral,gem25pro,reg,Gemini 2.5 Pro,untestable,0.86,0.2183,0.0,0.3053,0.3854,9.4891,8.9006,11.8373,7.6923,0.0,11.4149,10.3066,1.22,31.5873,0.715,0.5665,0.7463,0.8016
antiviral,gem25pro,t1024,Gemini 2.5 Pro,untestable,0.8,0.0,0.0,0.4431,0.4247,8.4967,9.3352,12.0917,0.0,0.0,13.9213,10.5506,1.2757,33.2882,0.0,0.0,0.0,0.7027
antiviral,gem31flashlite,reg,Gemini 3.1 Flash-Lite,clean,0.69,0.4367,0.0,0.5907,0.5273,12.5,11.3536,12.6269,9.5238,0.0,14.2765,11.2903,1.4256,36.9869,0.7393,0.8282,0.8435,0.9899
antiviral,gem31flashlite,t1024,Gemini 3.1 Flash-Lite,clean,0.835,1.0917,0.2183,0.4638,0.4148,11.8421,10.2214,12.2491,27.7778,7.6923,13.3479,10.6086,1.2995,31.9247,2.3538,2.6316,2.6184,0.9668
antiviral,gem31pro,reg,Gemini 3.1 Pro,clean,0.81,0.2183,0.0,0.1624,0.3963,12.0,10.5252,11.8687,6.6667,0.0,5.6946,10.1681,1.2068,32.8373,1.3442,0.5509,0.6557,1.0111
antiviral,gem31pro,t1024,Gemini 3.1 Pro,untestable,0.75,0.2183,0.0,0.2809,0.476,7.7519,9.3829,12.1471,10.0,0.0,10.4672,11.2603,1.3678,34.7991,0.7771,0.4586,0.8881,0.6382
antiviral,gem35flash,reg,Gemini 3.5 Flash,clean,0.81,0.0,0.0,0.3892,0.4192,12.2302,12.854,11.9694,0.0,0.0,10.2425,10.6815,1.2785,32.7893,0.0,0.0,0.0,1.0218
antiviral,gem35flash,t1024,Gemini 3.5 Flash,clean,0.64,0.0,0.0,0.2737,0.5393,10.3261,9.5349,12.8176,0.0,0.0,7.5188,10.8096,1.3855,38.9236,0.0,0.0,0.0,0.8056
antiviral,gem36flash,reg,Gemini 3.6 Flash,clean,0.84,0.2183,0.0,0.2581,0.4072,10.5634,9.4957,12.2447,6.6667,0.0,8.7328,10.3698,1.2697,32.0699,0.8458,0.5361,0.6429,0.8627
antiviral,gem36flash,t1024,Gemini 3.6 Flash,untestable,0.77,0.4494,0.0,0.4818,0.4323,8.6667,9.0142,12.4583,15.3846,0.0,16.0679,10.1931,1.2699,34.0437,0.9328,1.0395,1.5093,0.6957
antiviral,gem3flash,reg,Gemini 3 Flash,clean,0.7,0.655,0.0,0.3689,0.5404,11.6129,10.3844,12.6103,16.6667,0.0,10.5903,11.7466,1.4813,36.4814,1.7755,1.2121,1.4189,0.9209
antiviral,gem3flash,t1024,Gemini 3 Flash,clean,0.76,0.0,0.0,0.2418,0.4672,10.3896,9.2977,12.4105,0.0,0.0,8.2287,10.874,1.3495,34.6234,0.0,0.0,0.0,0.8372
antiviral,gpt41,reg,GPT-4.1,untestable,1.15,0.8734,0.2183,0.3279,0.274,10.0917,9.7195,11.5235,36.3636,8.3333,13.9926,9.6132,1.1078,24.7358,2.6636,3.1874,3.7827,0.8757
antiviral,gpt41,t1024,GPT-4.1,untestable,1.205,0.4367,0.0,0.1706,0.2718,5.2632,9.6666,11.3162,33.3333,0.0,7.0118,10.004,1.1321,24.012,2.5598,1.6065,3.332,0.4651
antiviral,gpt5,reg,GPT-5,untestable,0.9933,0.2183,0.0,0.3079,0.3646,11.4286,11.2119,11.3745,8.3333,0.0,12.5781,11.4658,1.3042,27.9585,0.709,0.5987,0.7268,1.0048
antiviral,gpt5,t1024,GPT-5,untestable,1.305,0.4415,0.0,0.2114,0.2631,11.7647,11.7035,11.3253,20.0,0.0,9.6809,10.3835,1.176,22.3734,2.0885,1.6781,1.9261,1.0388
antiviral,gpt55,reg,GPT-5.5,untestable,0.78,0.2183,0.0,0.2509,0.4203,9.3525,7.5634,12.1536,7.6923,0.0,10.6858,10.2068,1.2405,33.8821,0.8701,0.5194,0.7536,0.7695
antiviral,gpt55,t1024,GPT-5.5,untestable,0.73,0.0,0.0,0.2217,0.4793,7.8788,10.239,12.52,0.0,0.0,6.0869,10.8048,1.3528,35.4279,0.0,0.0,0.0,0.6293
antiviral,grok43,reg,Grok 4.3,untestable,1.47,0.0,0.0,0.079,0.2303,2.7397,7.4158,11.1064,0.0,0.0,6.4715,10.1005,1.1218,20.5338,0.0,0.0,0.0,0.2467
antiviral,grok43,t1024,Grok 4.3,untestable,1.2,0.2392,0.0,0.1693,0.2642,10.0917,8.8692,11.2723,9.0909,0.0,7.5899,9.7936,1.104,23.9312,1.4129,0.9054,0.9282,0.8953
