knob,value,heavy,partial,trace,clean,untestable,pos_heavy,pos_n,neg_flagged,neg_n
heavy_gate,2.0,56,10,0,151,169,30,30,1,29
heavy_gate,3.0,53,13,0,151,169,30,30,1,29
heavy_gate,4.0,46,20,0,151,169,30,30,1,29
heavy_gate,6.0,39,27,0,151,169,28,30,1,29
heavy_gate,8.0,30,36,0,151,169,24,30,1,29
partial_gate,1.2,46,20,0,151,169,30,30,1,29
partial_gate,1.5,46,20,0,151,169,30,30,1,29
partial_gate,2.0,46,15,5,151,169,30,30,1,29
partial_gate,3.0,46,9,11,151,169,30,30,1,29
min_cond,5.0,46,24,1,178,137,30,30,1,29
min_cond,10.0,46,20,0,157,163,30,30,1,29
min_cond,15.0,46,20,0,151,169,30,30,1,29
min_cond,30.0,45,20,0,128,193,30,30,1,29
min_cond,50.0,42,15,0,86,243,27,30,0,29
alpha,0.01,45,12,0,160,169,30,30,0,29
alpha,0.05,46,20,0,151,169,30,30,1,29
alpha,0.1,47,22,0,148,169,30,30,1,29
