timestamp,dataset,model,variant,n_calls,n_parsed,cost_usd,seconds
2026-07-26T16:55:11.814,esol,opus5,canonical,1,1,0.001280,5.2
2026-07-26T16:55:13.093,esol,gem31flashlite,canonical,1,1,0.000134,1.2
2026-07-26T16:55:14.998,esol,kimik3,canonical,1,1,0.000265,1.9
2026-07-26T16:55:51.662,esol,opus5,canonical,60,60,0.067740,23.2
2026-07-26T16:56:12.535,freesolv,opus5,canonical,60,60,0.066685,20.8
2026-07-26T16:56:32.486,lipophilicity,opus5,canonical,60,60,0.085515,19.8
2026-07-26T16:56:52.622,bace,opus5,canonical,60,60,0.091625,20.1
2026-07-26T16:57:12.514,aqsoldb,opus5,canonical,60,60,0.070190,19.9
2026-07-26T16:57:33.297,caco2,opus5,canonical,60,60,0.092855,20.8
2026-07-26T16:57:52.946,ld50,opus5,canonical,60,60,0.077355,19.6
2026-07-26T16:58:14.745,ppbr,opus5,canonical,60,60,0.081640,21.8
2026-07-26T16:58:36.230,qm7,opus5,canonical,60,60,0.069250,21.2
2026-07-26T16:58:57.349,qm8,opus5,canonical,60,60,0.069925,21.0
2026-07-26T16:59:16.300,qm9,opus5,canonical,60,60,0.057940,18.6
2026-07-26T16:59:36.296,antiviral,opus5,canonical,60,60,0.084725,20.0
2026-07-26T16:59:51.306,boilingpoint,opus5,canonical,45,45,0.042425,15.0
2026-07-26T17:00:07.353,esol,opus48,canonical,60,60,0.067715,16.0
2026-07-26T17:00:20.122,freesolv,opus48,canonical,60,60,0.066685,12.8
2026-07-26T17:00:34.255,lipophilicity,opus48,canonical,60,60,0.085515,14.1
2026-07-26T17:00:47.675,bace,opus48,canonical,60,60,0.091675,13.4
2026-07-26T17:01:00.565,aqsoldb,opus48,canonical,60,60,0.070165,12.9
2026-07-26T17:01:12.338,caco2,opus48,canonical,60,60,0.092855,11.8
2026-07-26T17:01:27.957,ld50,opus48,canonical,60,60,0.077355,15.6
2026-07-26T17:01:41.813,ppbr,opus48,canonical,60,60,0.081640,13.9
2026-07-26T17:01:54.450,qm7,opus48,canonical,60,60,0.059500,12.6
2026-07-26T17:02:07.259,qm8,opus48,canonical,60,60,0.071075,12.8
2026-07-26T17:02:22.087,qm9,opus48,canonical,60,60,0.058315,14.5
2026-07-26T17:02:37.008,antiviral,opus48,canonical,60,60,0.084725,14.9
2026-07-26T17:02:48.880,boilingpoint,opus48,canonical,45,45,0.042325,11.9
2026-07-26T17:03:00.406,esol,opus45,canonical,60,60,0.057180,11.5
2026-07-26T17:03:11.704,freesolv,opus45,canonical,60,60,0.053940,11.3
2026-07-26T17:03:24.054,lipophilicity,opus45,canonical,60,60,0.069885,12.3
2026-07-26T17:03:37.844,bace,opus45,canonical,60,60,0.078140,13.8
2026-07-26T17:03:48.967,aqsoldb,opus45,canonical,60,60,0.059455,11.1
2026-07-26T17:04:02.363,caco2,opus45,canonical,60,60,0.074725,13.4
2026-07-26T17:04:16.208,ld50,opus45,canonical,60,60,0.062795,13.8
2026-07-26T17:04:29.496,ppbr,opus45,canonical,60,60,0.064110,13.3
2026-07-26T17:04:41.767,qm7,opus45,canonical,60,60,0.050420,12.3
2026-07-26T17:04:55.340,qm8,opus45,canonical,60,60,0.061210,13.5
2026-07-26T17:05:08.641,qm9,opus45,canonical,60,60,0.049510,13.0
2026-07-26T17:05:22.169,antiviral,opus45,canonical,60,60,0.069460,13.5
2026-07-26T17:05:31.173,boilingpoint,opus45,canonical,45,45,0.034620,9.0
2026-07-26T17:05:49.784,esol,sonnet5,canonical,60,60,0.027086,18.6
2026-07-26T17:06:10.271,freesolv,sonnet5,canonical,60,60,0.026674,20.5
2026-07-26T17:06:28.456,lipophilicity,sonnet5,canonical,60,60,0.034196,18.2
2026-07-26T17:06:46.700,bace,sonnet5,canonical,60,60,0.036650,18.2
2026-07-26T17:07:09.777,aqsoldb,sonnet5,canonical,60,60,0.028076,23.1
2026-07-26T17:07:28.492,caco2,sonnet5,canonical,60,60,0.037142,18.7
2026-07-26T17:07:47.880,ld50,sonnet5,canonical,60,60,0.030942,19.4
2026-07-26T17:08:06.263,ppbr,sonnet5,canonical,60,60,0.032656,18.4
2026-07-26T17:08:26.347,qm7,sonnet5,canonical,60,60,0.023980,20.1
2026-07-26T17:08:43.632,qm8,sonnet5,canonical,60,60,0.027960,17.3
2026-07-26T17:09:04.015,qm9,sonnet5,canonical,60,60,0.023326,20.2
2026-07-26T17:09:25.478,antiviral,sonnet5,canonical,60,60,0.033890,21.5
2026-07-26T17:09:41.982,boilingpoint,sonnet5,canonical,45,45,0.016890,16.5
2026-07-26T17:09:50.844,esol,haiku45,canonical,60,60,0.017921,8.9
2026-07-26T17:10:00.381,freesolv,haiku45,canonical,60,60,0.012463,9.5
2026-07-26T17:10:09.359,lipophilicity,haiku45,canonical,60,60,0.017417,9.0
2026-07-26T17:10:17.796,bace,haiku45,canonical,60,60,0.016903,8.4
2026-07-26T17:10:27.770,aqsoldb,haiku45,canonical,60,59,0.022556,10.0
2026-07-26T17:10:36.570,caco2,haiku45,canonical,60,60,0.018290,8.8
2026-07-26T17:10:50.222,ld50,haiku45,canonical,60,60,0.045304,13.6
2026-07-26T17:10:59.185,ppbr,haiku45,canonical,60,60,0.020902,9.0
2026-07-26T17:11:13.986,qm7,haiku45,canonical,60,60,0.043194,14.8
2026-07-26T17:11:22.675,qm8,haiku45,canonical,60,60,0.014792,8.7
2026-07-26T17:11:31.160,qm9,haiku45,canonical,60,60,0.011062,8.2
2026-07-26T17:11:40.725,antiviral,haiku45,canonical,60,60,0.019897,9.6
2026-07-26T17:11:46.787,boilingpoint,haiku45,canonical,45,45,0.006714,6.1
2026-07-26T17:12:42.542,esol,gem36flash,canonical,60,60,0.080591,55.8
2026-07-26T17:13:35.242,freesolv,gem36flash,canonical,60,60,0.074939,52.7
2026-07-26T17:14:30.585,lipophilicity,gem36flash,canonical,60,60,0.101877,55.3
2026-07-26T17:15:29.373,bace,gem36flash,canonical,60,60,0.127419,58.8
2026-07-26T17:16:25.861,aqsoldb,gem36flash,canonical,60,60,0.095771,56.5
2026-07-26T17:17:19.629,caco2,gem36flash,canonical,60,60,0.079076,53.8
2026-07-26T17:18:16.368,ld50,gem36flash,canonical,60,60,0.108737,56.7
2026-07-26T17:19:11.947,ppbr,gem36flash,canonical,60,60,0.101816,55.6
2026-07-26T17:20:16.266,qm7,gem36flash,canonical,60,60,0.176454,64.3
2026-07-26T17:21:14.447,qm8,gem36flash,canonical,60,60,0.119878,58.2
2026-07-26T17:22:18.669,qm9,gem36flash,canonical,60,60,0.178830,63.9
2026-07-26T17:23:15.603,antiviral,gem36flash,canonical,60,60,0.104512,56.9
2026-07-26T17:23:52.340,boilingpoint,gem36flash,canonical,45,45,0.017197,36.7
2026-07-26T17:25:15.110,esol,gem35flash,canonical,60,60,0.128195,82.8
2026-07-26T17:26:39.178,freesolv,gem35flash,canonical,60,60,0.152037,84.1
2026-07-26T17:28:08.081,lipophilicity,gem35flash,canonical,60,60,0.191263,88.9
2026-07-26T17:29:35.286,bace,gem35flash,canonical,60,60,0.175302,87.2
2026-07-26T17:30:59.056,aqsoldb,gem35flash,canonical,60,60,0.146782,83.8
2026-07-26T17:32:21.872,caco2,gem35flash,canonical,60,60,0.139802,82.8
2026-07-26T17:33:45.550,ld50,gem35flash,canonical,60,60,0.165347,83.7
2026-07-26T17:35:09.883,ppbr,gem35flash,canonical,60,60,0.296694,84.3
2026-07-26T17:36:40.172,qm7,gem35flash,canonical,60,60,0.415876,90.3
2026-07-26T17:38:09.076,qm8,gem35flash,canonical,60,59,0.338198,88.9
2026-07-26T17:39:38.655,qm9,gem35flash,canonical,60,60,0.394903,89.2
2026-07-26T17:41:07.868,antiviral,gem35flash,canonical,60,59,0.306832,89.2
2026-07-26T17:42:06.681,boilingpoint,gem35flash,canonical,45,45,0.163319,58.8
2026-07-26T17:43:33.051,esol,gem31pro,canonical,60,60,0.398899,86.4
2026-07-26T17:45:03.314,freesolv,gem31pro,canonical,60,60,0.431559,90.3
2026-07-26T17:46:29.360,lipophilicity,gem31pro,canonical,60,60,0.317174,86.0
2026-07-26T17:47:56.305,bace,gem31pro,canonical,60,60,0.386973,86.9
2026-07-26T17:49:25.568,aqsoldb,gem31pro,canonical,60,60,1.199718,89.3
2026-07-26T17:50:52.550,caco2,gem31pro,canonical,60,60,0.848697,87.0
2026-07-26T17:52:20.581,ld50,gem31pro,canonical,60,60,1.812256,88.0
2026-07-26T17:53:44.639,ppbr,gem31pro,canonical,60,59,1.881377,84.1
2026-07-26T17:55:23.158,qm7,gem31pro,canonical,60,60,1.608071,98.5
2026-07-26T17:56:50.419,qm8,gem31pro,canonical,60,60,0.933008,87.2
2026-07-26T17:58:28.017,qm9,gem31pro,canonical,60,60,1.284417,97.3
2026-07-26T17:59:53.514,antiviral,gem31pro,canonical,60,60,1.459896,85.5
2026-07-26T18:00:59.619,boilingpoint,gem31pro,canonical,45,45,0.861706,66.1
2026-07-26T18:01:06.552,esol,gem31flashlite,canonical,60,60,0.157929,6.9
2026-07-26T18:01:13.155,freesolv,gem31flashlite,canonical,60,60,0.032738,6.6
2026-07-26T18:01:19.868,lipophilicity,gem31flashlite,canonical,60,60,0.180717,6.7
2026-07-26T18:01:27.080,bace,gem31flashlite,canonical,60,60,0.150733,7.2
2026-07-26T18:01:33.632,aqsoldb,gem31flashlite,canonical,60,60,0.177408,6.5
2026-07-26T18:01:40.458,caco2,gem31flashlite,canonical,60,60,0.139116,6.8
2026-07-26T18:01:47.355,ld50,gem31flashlite,canonical,60,60,0.130107,6.9
2026-07-26T18:02:04.619,ppbr,gem31flashlite,canonical,60,60,0.398680,17.3
2026-07-26T18:02:11.665,qm7,gem31flashlite,canonical,60,60,0.148067,7.0
2026-07-26T18:02:18.816,qm8,gem31flashlite,canonical,60,60,0.168981,7.1
2026-07-26T18:02:25.877,qm9,gem31flashlite,canonical,60,60,0.141114,6.8
2026-07-26T18:02:32.795,antiviral,gem31flashlite,canonical,60,60,0.159613,6.9
2026-07-26T18:02:37.936,boilingpoint,gem31flashlite,canonical,45,45,0.106198,5.1
2026-07-26T18:04:07.487,esol,gem3flash,canonical,60,60,0.929404,89.5
2026-07-26T18:05:31.120,freesolv,gem3flash,canonical,60,60,1.012470,83.6
2026-07-26T18:07:00.660,lipophilicity,gem3flash,canonical,60,60,0.954538,89.5
2026-07-26T18:08:29.524,bace,gem3flash,canonical,60,60,0.180078,88.9
2026-07-26T18:09:59.835,aqsoldb,gem3flash,canonical,60,60,0.145963,90.3
2026-07-26T18:11:27.855,caco2,gem3flash,canonical,60,60,0.964539,88.0
2026-07-26T18:13:00.086,ld50,gem3flash,canonical,60,60,1.674608,92.2
2026-07-26T18:14:29.356,ppbr,gem3flash,canonical,60,60,1.544011,89.3
2026-07-26T18:15:59.270,qm7,gem3flash,canonical,60,59,0.371690,89.9
2026-07-26T18:17:31.394,qm8,gem3flash,canonical,60,59,1.689420,92.1
2026-07-26T18:19:00.665,qm9,gem3flash,canonical,60,60,1.287665,88.9
2026-07-26T18:20:30.061,antiviral,gem3flash,canonical,60,60,1.068511,89.4
2026-07-26T18:21:32.357,boilingpoint,gem3flash,canonical,45,45,0.018867,62.3
2026-07-26T18:21:49.638,esol,gem25pro,canonical,60,60,0.031199,17.3
2026-07-26T18:22:06.780,freesolv,gem25pro,canonical,60,60,0.031040,17.1
2026-07-26T18:22:24.967,lipophilicity,gem25pro,canonical,60,60,0.034982,18.2
2026-07-26T18:22:43.560,bace,gem25pro,canonical,60,60,0.045338,18.6
2026-07-26T18:23:01.548,aqsoldb,gem25pro,canonical,60,60,0.033561,18.0
2026-07-26T18:23:20.090,caco2,gem25pro,canonical,60,60,0.043986,18.5
2026-07-26T18:23:39.206,ld50,gem25pro,canonical,60,60,0.034362,19.1
2026-07-26T18:23:59.748,ppbr,gem25pro,canonical,60,60,0.037658,20.5
2026-07-26T18:24:18.089,qm7,gem25pro,canonical,60,60,0.035006,18.3
2026-07-26T18:24:36.337,qm8,gem25pro,canonical,60,60,0.034888,18.2
2026-07-26T18:24:53.346,qm9,gem25pro,canonical,60,60,0.030372,16.7
2026-07-26T18:25:12.794,antiviral,gem25pro,canonical,60,60,0.040299,19.4
2026-07-26T18:25:26.366,boilingpoint,gem25pro,canonical,45,45,0.021969,13.6
2026-07-26T18:25:32.939,esol,terra,canonical,60,60,0.014254,6.6
2026-07-26T18:25:40.588,freesolv,terra,canonical,60,60,0.013340,7.6
2026-07-26T18:25:48.072,lipophilicity,terra,canonical,60,60,0.016968,7.5
2026-07-26T18:25:54.232,bace,terra,canonical,60,60,0.017709,6.2
2026-07-26T18:26:02.891,aqsoldb,terra,canonical,60,60,0.014641,8.7
2026-07-26T18:26:10.178,caco2,terra,canonical,60,60,0.018032,7.3
2026-07-26T18:26:16.489,ld50,terra,canonical,60,60,0.014840,6.3
2026-07-26T18:26:21.997,ppbr,terra,canonical,60,60,0.015467,5.5
2026-07-26T18:26:29.617,qm7,terra,canonical,60,60,0.014249,7.6
2026-07-26T18:26:36.246,qm8,terra,canonical,60,60,0.015251,6.6
2026-07-26T18:26:44.864,qm9,terra,canonical,60,60,0.014960,8.4
2026-07-26T18:26:50.826,antiviral,terra,canonical,60,60,0.015592,6.0
2026-07-26T18:26:56.012,boilingpoint,terra,canonical,45,45,0.008906,5.2
2026-07-26T18:27:03.224,esol,luna,canonical,60,60,0.005648,7.2
2026-07-26T18:27:11.475,freesolv,luna,canonical,60,60,0.005312,8.3
2026-07-26T18:27:16.603,lipophilicity,luna,canonical,60,60,0.006742,5.1
2026-07-26T18:27:22.389,bace,luna,canonical,60,60,0.007084,5.8
2026-07-26T18:27:29.119,aqsoldb,luna,canonical,60,60,0.005847,6.7
2026-07-26T18:27:35.575,caco2,luna,canonical,60,60,0.007204,6.5
2026-07-26T18:27:41.694,ld50,luna,canonical,60,60,0.005936,6.1
2026-07-26T18:27:47.239,ppbr,luna,canonical,60,60,0.006169,5.5
2026-07-26T18:27:52.567,qm7,luna,canonical,60,59,0.004829,5.3
2026-07-26T18:28:00.051,qm8,luna,canonical,60,60,0.005848,7.5
2026-07-26T18:28:05.524,qm9,luna,canonical,60,60,0.005048,5.2
2026-07-26T18:28:13.275,antiviral,luna,canonical,60,60,0.006219,7.8
2026-07-26T18:28:17.876,boilingpoint,luna,canonical,45,45,0.003533,4.6
2026-07-26T18:28:27.563,esol,sol,canonical,60,60,0.028283,9.7
2026-07-26T18:28:48.399,freesolv,sol,canonical,60,60,0.026195,20.8
2026-07-26T18:28:55.241,lipophilicity,sol,canonical,60,60,0.033695,6.8
2026-07-26T18:29:01.605,bace,sol,canonical,60,60,0.035523,6.4
2026-07-26T18:29:09.362,aqsoldb,sol,canonical,60,60,0.029223,7.7
2026-07-26T18:29:18.065,caco2,sol,canonical,60,60,0.036110,8.7
2026-07-26T18:29:32.789,ld50,sol,canonical,60,60,0.029755,14.7
2026-07-26T18:29:43.695,ppbr,sol,canonical,60,60,0.030845,10.9
2026-07-26T18:29:50.540,qm7,sol,canonical,60,60,0.024702,6.8
2026-07-26T18:29:57.236,qm8,sol,canonical,60,60,0.029243,6.7
2026-07-26T18:30:05.873,qm9,sol,canonical,60,60,0.025750,8.3
2026-07-26T18:30:12.989,antiviral,sol,canonical,60,60,0.031095,7.1
2026-07-26T18:30:20.746,boilingpoint,sol,canonical,45,45,0.017498,7.8
2026-07-26T18:31:27.637,esol,gpt55,canonical,60,40,0.554775,66.9
2026-07-26T18:32:40.667,freesolv,gpt55,canonical,60,39,0.567715,73.0
2026-07-26T18:33:41.598,lipophilicity,gpt55,canonical,60,49,0.545645,60.9
2026-07-26T18:34:41.100,bace,gpt55,canonical,60,52,0.538608,59.5
2026-07-26T18:35:50.404,aqsoldb,gpt55,canonical,60,43,0.553608,69.3
2026-07-26T18:36:55.003,caco2,gpt55,canonical,60,51,0.535055,64.6
